key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_WARPINNISHGARD_BAMPONCET_000_1","這裡是九霄雲舍。<hex:02100103>不過很抱歉，現在我們還沒開始營業……"
1,"TEXT_WARPINNISHGARD_BAMPONCET_000_2","請您等開店後再來吧。"
2,"TEXT_WARPINNISHGARD_00061_Q1_000_1","想了解什麼？"
3,"TEXT_WARPINNISHGARD_A1_000_1","什麼是「九霄雲舍」？"
4,"TEXT_WARPINNISHGARD_A1_000_2","取消"
5,"TEXT_WARPINNISHGARD_BAMPONCET_000_3","「九霄雲舍」是皇都伊修加德的住宿設施，<hex:02100103>迎接各位旅行者的光臨。"
6,"TEXT_WARPINNISHGARD_BAMPONCET_000_4","這裡備有柔軟的床鋪，<hex:02100103>躺上去就如同在九霄雲上一般，可以讓您度過美好而舒適的時刻。"
7,"TEXT_WARPINNISHGARD_BAMPONCET_000_5","等我們準備好了，會帶領客人入內的。<hex:02100103>還請耐心等待。"
8,"TEXT_WARPINNISHGARD_BAMPONCET_000_6","那麼祝您有一個愉快的心情。"
9,"TEXT_WARPINNISHGARD_BAMPONCET_000_10","這裡是九霄雲舍。<hex:02100103>請問您有什麼事嗎？"
10,"TEXT_WARPINNISHGARD_Q2_000_1","要做什麼？"
11,"TEXT_WARPINNISHGARD_A2_000_1","去客房"
12,"TEXT_WARPINNISHGARD_A2_000_3","詢問有關客房內的禁止事項"
13,"TEXT_WARPINNISHGARD_A2_000_4","什麼是「九霄雲舍」？"
14,"TEXT_WARPINNISHGARD_A2_000_5","取消"
15,"TEXT_WARPINNISHGARD_BAMPONCET_000_11","您是要住店啊。<hex:02100103>為客人準備的房間在這邊，<hex:02100103>請您好好休息吧。"
16,"TEXT_WARPINNISHGARD_BAMPONCET_000_17","非常抱歉，九霄雲舍的客房內是禁止「製作」的。"
17,"TEXT_WARPINNISHGARD_BAMPONCET_000_18","因為製作時發出的聲響會影響到其他客人的休息。<hex:02100103>為了確保客人們能夠更好地休息，<hex:02100103>還望敬請諒解。"
18,"TEXT_WARPINNISHGARD_SYSTEM_000_18","在旅店客房內，<hex:02100103>是不能進行「製作」「修理」等活動的。"
19,"TEXT_WARPINNISHGARD_BAMPONCET_000_19","「九霄雲舍」是皇都伊修加德的住宿設施，<hex:02100103>迎接各位旅行者的光臨。"
20,"TEXT_WARPINNISHGARD_BAMPONCET_000_20","這裡備有柔軟的床鋪，<hex:02100103>躺上去就如同在九霄雲上一般，可以讓您度過美好而舒適的時刻。"
21,"TEXT_WARPINNISHGARD_BAMPONCET_000_21","那麼祝您有一個愉快的心情。"
22,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_1","空"
23,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_2","空"
24,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_3","空"
25,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_4","空"
26,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_5","空"
27,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_6","空"
28,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_10","空"
29,"TEXT_WARPINNISHGARD_A2_000_2","空"
30,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_11","空"
31,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_12","空"
32,"TEXT_WARPINNISHGARD_SYSTEM_000_13","空"
33,"TEXT_WARPINNISHGARD_SYSTEM_100_13","空"
34,"TEXT_WARPINNISHGARD_SYSTEM_000_14","空"
35,"TEXT_WARPINNISHGARD_SYSTEM_000_15","空"
36,"TEXT_WARPINNISHGARD_SYSTEM_000_16","空"
37,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_17","空"
38,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_18","空"
39,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_19","空"
40,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_20","空"
41,"TEXT_WARPINNISHGARD_OTOPAPOTTOPA_000_21","空"
