key,0,1,2,3,4,5,6,7,8,9
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name{Rank},
offset,0,16,4,17,18,19,20,21,8,12
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str
0,"",0,"",0,0,0,0,0,"",""
1,"二等耀兵",0,"",0,0,0,0,0,"",""
2,"一等耀兵",0,"",0,0,0,0,0,"",""
3,"上等耀兵",0,"",0,0,0,0,0,"",""
4,"耀兵長",0,"",0,0,0,0,0,"",""
5,"協耀士",0,"",0,0,0,0,0,"",""
6,"副耀士",0,"",0,0,0,0,0,"",""
7,"正耀士",0,"",0,0,0,0,0,"",""
8,"耀士長",0,"",0,0,0,0,0,"",""
9,"協耀尉",0,"",0,0,0,0,0,"",""
10,"副耀尉",0,"",0,0,0,0,0,"",""
11,"正耀尉",0,"",0,0,0,0,0,"",""
12,"協耀校",0,"",0,0,0,0,0,"",""
13,"副耀校",0,"",0,0,0,0,0,"",""
14,"正耀校",0,"",0,0,0,0,0,"",""
15,"從耀將",0,"",0,0,0,0,0,"",""
16,"協耀將",0,"",0,0,0,0,0,"",""
17,"副耀將",0,"",0,0,0,0,0,"",""
18,"正耀將",0,"",0,0,0,0,0,"",""
19,"耀輝元帥",0,"",0,0,0,0,0,"",""
