key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Name,Announce,HowToPagePC[0],HowToPagePC[1],HowToPagePC[2],HowToPagePC[3],HowToPagePC[4],HowToPageController[0],HowToPageController[1],HowToPageController[2],HowToPageController[3],HowToPageController[4],Category,Sort
offset,0,26,4,6,8,10,12,14,16,18,20,22,25,24
int32,str,bit&01,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToPage,HowToCategory,byte
0,"",False,0,0,0,0,0,0,0,0,0,0,0,0
1,"基本操作",False,1,0,0,0,0,2,0,0,0,0,2,1
2,"開始任務",True,5,0,0,0,0,6,0,0,0,0,5,1
3,"目的列表",False,60,61,0,0,0,60,62,0,0,0,5,3
4,"地圖嚮導",True,30,31,0,0,0,32,33,0,0,0,5,4
5,"任務道具",True,65,0,0,0,0,66,0,0,0,0,5,11
6,"場景物體",True,70,0,0,0,0,71,0,0,0,0,5,12
7,"戰鬥",True,150,151,152,153,0,190,191,192,193,153,4,1
8,"打倒敵人的經驗值與報酬",True,1200,0,0,0,0,0,0,0,0,0,4,2
9,"交納所需道具",True,200,0,0,0,0,201,0,0,0,0,5,13
10,"職業轉換",True,110,0,0,0,0,0,0,0,0,0,2,8
11,"領取報酬",False,15,0,0,0,0,16,0,0,0,0,5,5
12,"接受任務",False,10,0,0,0,0,11,0,0,0,0,5,2
13,"關於返回",True,25,26,0,0,0,27,28,0,0,0,3,1
14,"快捷指令",True,20,21,22,0,0,0,0,0,0,0,2,2
15,"乙太之光",True,50,51,52,0,0,0,0,0,0,0,3,2
16,"無法戰鬥",True,90,91,0,0,0,0,0,0,0,0,4,2
17,"通訊貝",True,290,291,0,0,0,0,0,0,0,0,2,11
18,"關於裝備",True,35,36,0,0,0,37,36,0,0,0,7,1
19,"都市傳送網",True,45,0,0,0,0,0,0,0,0,0,3,3
20,"關於商店",True,135,136,0,0,0,137,136,0,0,0,6,5
21,"關於收藏櫃",True,1320,1321,0,0,0,0,0,0,0,0,7,11
22,"莫古力速遞",True,40,41,0,0,0,40,42,0,0,0,2,7
23,"尋找良材",True,890,891,892,0,0,890,893,894,0,0,13,1
24,"採集",True,900,901,902,0,0,0,0,0,0,0,13,2
25,"採集方法",True,910,911,912,0,0,0,0,0,0,0,13,5
26,"隱行",True,920,0,0,0,0,0,0,0,0,0,13,6
27,"割草",True,930,931,0,0,0,0,0,0,0,0,13,7
28,"製作筆記",True,700,701,702,0,0,0,0,0,0,0,12,1
29,"製作",True,710,711,712,713,0,714,711,712,713,0,12,2
30,"品質",True,720,721,722,0,0,720,723,722,0,0,12,3
31,"裝備劣化",True,750,751,752,0,0,0,0,0,0,0,7,5
32,"修理裝備",True,760,761,0,0,0,0,0,0,0,0,7,6
33,"領取公會理符任務",True,500,501,0,0,0,0,0,0,0,0,9,1
34,"公會理符任務",True,510,511,512,0,0,513,514,515,0,0,9,2
35,"調節任務難度",True,520,521,0,0,0,0,0,0,0,0,9,3
36,"休息區",True,170,171,172,173,0,170,171,172,173,0,2,6
37,"兵裝庫",True,160,161,162,0,0,160,161,163,0,0,7,3
38,"套裝",True,115,116,0,0,0,0,0,0,0,0,7,4
39,"情感表現",True,80,81,82,0,0,80,83,0,0,0,2,3
40,"",False,0,0,0,0,0,0,0,0,0,0,0,0
41,"其他職業的技能",True,95,96,97,0,0,95,96,98,0,0,2,10
42,"執行理符任務",True,530,531,0,0,0,0,0,0,0,0,9,4
43,"領取理符報酬",True,540,0,0,0,0,0,0,0,0,0,9,5
44,"重新挑戰理符任務",True,550,0,0,0,0,551,0,0,0,0,9,6
45,"討伐筆記",True,400,401,402,0,0,403,404,405,0,0,4,9
46,"可愛的小寵物",True,940,941,942,943,0,940,944,945,943,0,2,12
47,"關於市場",True,800,801,802,0,0,0,0,0,0,0,6,11
48,"在市場裡搜索道具",True,810,811,812,813,0,0,0,0,0,0,6,12
49,"在市場裡購買道具",True,820,821,0,0,0,0,0,0,0,0,6,13
50,"在市場裡出售道具",True,830,831,832,0,0,0,0,0,0,0,6,14
51,"關於僱員",True,840,841,0,0,0,0,0,0,0,0,6,21
52,"招募僱員",True,850,851,0,0,0,0,0,0,0,0,6,22
53,"僱員的作用",True,860,861,0,0,0,0,0,0,0,0,6,23
54,"採集地點的特殊性質",True,870,871,0,0,0,0,0,0,0,0,13,9
55,"關於未知的採集地點",True,1000,1001,1002,0,0,0,0,0,0,0,13,10
56,"採集優質道具",True,880,881,882,0,0,0,0,0,0,0,13,8
57,"突破迷宮",True,105,106,107,0,0,0,0,0,0,0,8,3
58,"關於製作狀態",True,730,731,0,0,0,0,0,0,0,0,12,4
59,"",False,0,0,0,0,0,0,0,0,0,0,0,0
60,"優質道具",True,770,771,0,0,0,0,0,0,0,0,6,2
61,"珍稀道具",True,780,0,0,0,0,0,0,0,0,0,6,3
62,"關於專用裝備與交易",True,790,791,0,0,0,0,0,0,0,0,7,2
63,"搜尋玩家資訊",True,210,211,212,213,214,210,211,215,213,216,2,13
64,"臨危受命",True,610,611,612,613,0,0,0,0,0,0,8,1
65,"關於連擊系統",True,1210,1211,1212,1213,0,0,0,0,0,0,4,4
66,"危命任務的報酬與貢獻度",True,620,621,0,0,0,0,0,0,0,0,8,2
67,"關於製作理符",True,560,0,0,0,0,0,0,0,0,0,9,11
68,"製作理符的目標",True,570,0,0,0,0,571,0,0,0,0,9,12
69,"關於採集理符",True,580,581,0,0,0,0,0,0,0,0,9,13
