key,0,1,2,3,4
#,Name{Action},Icon,Addon,QuickChatTransient,
offset,0,4,8,14,12
int32,str,Image,Addon,QuickChatTransient,uint16
0,"已失效的快捷發言",783,0,0,0
1,"大家好！",9901,11030,1,1
2,"辛苦了！",9902,11031,2,2
3,"謝謝！",9903,11032,3,3
4,"漂亮！",9904,11033,4,4
5,"對戰用額外技能1",9927,11034,6,5
6,"奮戰技",9906,11035,5,6
7,"瞄準攻擊補給箱",9907,11036,10,0
8,"瞄準防禦補給箱",9908,11037,11,0
9,"瞄準奮戰補給箱",9909,11038,12,9
10,"瞄準狼心",9910,11039,13,10
11,"攻擊防護職業",9911,11040,14,11
12,"攻擊治療職業",9912,11041,15,12
13,"攻擊近戰職業",9913,11042,16,13
14,"攻擊遠程職業",9914,11043,17,14
15,"拖住防護職業",9915,11044,19,15
16,"拖住治療職業",9916,11045,20,16
17,"拖住近戰職業",9917,11046,21,17
18,"拖住遠程職業",9918,11047,22,18
19,"我來拾取戰章",9919,11048,24,19
20,"請去拾取戰章",9920,11049,25,20
21,"全力攻擊",9921,11050,26,21
22,"後退",9922,11051,27,22
23,"魔力",9923,11052,8,23
24,"技力",9924,11053,9,0
25,"攻擊目標",9925,11054,18,25
26,"拖住目標",9926,11055,23,26
27,"對戰用額外技能2",9928,11056,7,27
28,"開始集中攻擊",9935,11057,28,28
29,"停止集中攻擊",9936,11058,29,29
