key,0,1,2,3
#,Name,Icon,Order{Minor},Order{Major}
offset,0,4,8,9
int32,str,Image,byte,byte
0,"",0,0,0
1,"格鬥武器",60101,6,1
2,"單手劍",60102,0,1
3,"大斧",60103,1,1
4,"弓",60105,9,1
5,"長槍",60104,4,1
6,"單手咒杖",60108,12,1
7,"雙手咒杖",60108,13,1
8,"單手幻杖",60107,17,1
9,"雙手幻杖",60107,18,1
10,"魔導書",60109,14,1
11,"盾",60110,0,3
12,"刻木工具（主工具）",60112,0,2
13,"刻木工具（副工具）",60112,1,2
14,"鍛鐵工具（主工具）",60113,2,2
15,"鍛鐵工具（副工具）",60113,3,2
16,"鑄甲工具（主工具）",60114,4,2
17,"鑄甲工具（副工具）",60114,5,2
18,"雕金工具（主工具）",60115,6,2
19,"雕金工具（副工具）",60115,7,2
20,"製革工具（主工具）",60116,8,2
21,"製革工具（副工具）",60116,9,2
22,"裁衣工具（主工具）",60117,10,2
23,"裁衣工具（副工具）",60117,11,2
24,"煉金工具（主工具）",60118,12,2
25,"煉金工具（副工具）",60118,13,2
26,"烹調工具（主工具）",60119,14,2
27,"烹調工具（副工具）",60119,15,2
28,"採礦工具（主工具）",60120,16,2
29,"採礦工具（副工具）",60120,17,2
30,"園藝工具（主工具）",60121,18,2
31,"園藝工具（副工具）",60121,19,2
32,"捕魚用具（主工具）",60122,20,2
33,"釣餌",60123,29,7
34,"頭部防具",60124,1,3
35,"身體防具",60126,2,3
36,"腿部防具",60128,5,3
37,"手部防具",60129,3,3
38,"腳部防具",60130,6,3
39,"停止產出的道具",60131,254,7
40,"項鏈",60132,1,4
41,"耳飾",60133,0,4
42,"手鐲",60134,2,4
43,"戒指",60135,3,4
44,"藥品",60136,0,5
45,"食材",60137,0,6
46,"食品",60146,1,5
47,"水產品",60138,1,6
48,"石材",60139,2,6
49,"金屬",60140,3,6
50,"木材",60141,4,6
51,"布料",60142,5,6
52,"皮革",60143,6,6
53,"骨材",60144,7,6
54,"煉金原料",60145,8,6
55,"染料",60147,10,6
56,"部件",60148,9,6
57,"傢具",60164,20,7
58,"魔晶石",60150,0,7
59,"水晶",60151,1,7
60,"觸媒",60152,2,7
61,"雜貨",60153,3,7
62,"靈魂水晶",60157,4,4
63,"其他",60159,6,7
64,"房產證書",60160,7,7
65,"房頂",60160,8,7
66,"外牆",60160,9,7
67,"窗戶",60160,10,7
68,"房門",60160,11,7
69,"房頂裝飾",60160,12,7
70,"外牆裝飾",60160,13,7
71,"門牌",60160,14,7
72,"院牆",60160,15,7
73,"內牆",60161,16,7
74,"地板",60161,17,7
75,"屋頂照明",60161,18,7
76,"庭具",60168,19,7
77,"桌台",60162,21,7
78,"桌上",60163,22,7
79,"壁掛",60166,23,7
80,"地毯",60167,24,7
81,"寵物",60155,5,7
82,"栽培用品",60153,25,7
83,"半魔晶石",60150,26,7
84,"雙劍",60106,8,1
85,"雜貨（季節活動）",60154,4,7
86,"九宮幻卡",60156,27,7
87,"雙手劍",60170,2,1
88,"火槍",60172,10,1
89,"天球儀",60171,20,1
90,"飛空艇部件（船體）",60169,11,6
91,"飛空艇部件（舾裝）",60169,12,6
92,"飛空艇部件（船尾）",60169,14,6
93,"飛空艇部件（船首）",60169,13,6
94,"管弦樂琴樂譜",60173,28,7
95,"繪畫作品",60175,29,7
96,"武士刀",60177,7,1
97,"刺劍",60176,15,1
98,"魔導書（學者專用）",60178,19,1
99,"捕魚用具（副工具）",60122,21,2
100,"貨幣",60179,255,7
101,"潛水艇部件（船體）",60169,15,6
102,"潛水艇部件（船尾）",60169,16,6
103,"潛水艇部件（船首）",60169,17,6
104,"潛水艇部件（艦橋）",60169,18,6
105,"青魔杖",60180,16,1
106,"槍刃",60181,3,1
107,"投擲武器",60182,11,1
108,"雙手鐮",60183,5,1
109,"賢具",60184,21,1
