key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,,,,,,,,,,,
offset,20,28,29,30,31,24,8,12,16,32,32,32,32,0,4
int32,int32,byte,byte,byte,byte,int32,str,str,str,bit&01,bit&02,bit&04,bit&08,str,str
0,0,0,0,0,0,0,"","","",False,True,True,True,"",""
1,1,4,0,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"脫離","按下按鈕跳下來吧！"
2,2,5,23,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"脫離","快速連擊按鈕掙脫出來吧！"
3,3,25,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"拼刀","快速連擊按鈕抗住攻擊！"
4,4,0,0,0,0,0,"","","",False,False,True,True,"",""
5,2,5,35,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"脫離","快速連擊按鈕掙脫出來吧！"
6,2,5,10,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"脫離","快速連擊按鈕掙脫出來吧！"
7,3,25,20,2,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"騎乘攻防","快速連擊按鈕進行壓制！"
8,2,15,45,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"脫離","快速連擊按鈕掙脫出來吧！"
9,2,15,45,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,True,"暴風牢獄","用盡全力逃脫出來吧！"
10,2,5,23,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"光之解放","釋放體內的光之力吧！"
11,2,5,23,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"光之解放","釋放體內的光之力吧！"
12,3,60,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"拼刀","快速連擊按鈕抗住攻擊！"
13,3,25,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"拼刀","快速連擊按鈕抗住攻擊！"
14,5,15,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"反抗心","拚命反抗！"
15,2,15,15,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,False,"抵抗鎖死毒","對抗鎖死毒的強烈劇痛！"
16,5,10,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,False,"維持意識","連按保持住意識！"
17,2,20,90,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,False,"死鬥","連按反擊！"
