key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
#,Name,Description,Icon,MaxStacks,,Category,HitEffect,VFX,LockMovement,,LockActions,LockControl,Transfiguration,,CanDispel,InflictedByActor,IsPermanent,PartyListPriority,,,,,,,Log,IsFcBuff,Invisibility,,,
offset,0,4,8,16,17,18,19,10,24,24,24,24,24,24,24,24,25,20,25,25,25,14,21,25,12,25,25,22,23,25
int32,str,str,Image,byte,byte,byte,StatusHitEffect,StatusLoopVFX,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,byte,bit&02,bit&04,bit&08,int16,byte,bit&10,uint16,bit&20,bit&40,byte,byte,bit&80
0,"","",0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,0,False,False,False,0,0,False,0,False,False,0,0,False
1,"石化","手足被石化，無法做出任何行動",15001,0,1,2,6,1,True,False,True,False,False,False,False,False,False,100,False,False,False,0,0,False,0,False,False,0,32,True
2,"眩暈","無法做出任何行動",15004,0,1,2,3,2,True,False,True,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
3,"睡眠","陷入沉睡，無法做出任何行動",15013,0,1,2,2,3,True,False,True,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,3,True
4,"昏厥","失去知覺，無法做出任何行動",15003,0,1,2,8,0,True,False,True,False,False,False,False,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
5,"能力封印","無法使用能力",15015,0,1,2,15,0,False,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
6,"戰技封印","無法發動戰技",15017,0,1,2,14,0,False,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
7,"沉默","無法詠唱魔法",15005,0,1,2,7,0,False,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,22,False
8,"加速","自動攻擊間隔縮短，同時戰技與魔法的詠唱及複唱時間也會縮短",15008,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,-15,0,False,0,False,False,0,0,False
9,"減速","自動攻擊間隔延長，同時戰技與魔法的詠唱及複唱時間也會延長",15009,0,1,2,13,0,False,False,False,False,False,False,True,False,False,50,False,False,False,15,0,False,0,False,False,0,0,False
10,"拘束裝置：減速","受到拘束裝置的影響，自動攻擊間隔延長，同時戰技與魔法的詠唱及複唱時間也會延長",15545,0,1,2,13,0,False,False,False,False,False,False,True,True,True,50,False,False,False,20,0,False,0,False,False,0,0,False
11,"混亂","頭腦變得混亂，會向同伴發動攻擊",15603,0,1,2,17,0,False,False,False,True,False,True,False,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
12,"浮空","突破了重力的束縛，漂浮到了空中",15037,0,1,1,16,4,False,False,False,False,False,False,False,True,True,1,False,False,False,0,0,False,0,False,False,0,0,False
13,"止步","無法自由移動",15003,0,1,2,12,5,True,False,False,False,False,False,True,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
14,"加重","移動速度降低",15002,0,1,2,4,6,False,False,False,False,False,False,True,False,False,100,False,False,False,0,1,False,0,False,False,0,0,False
15,"失明","陷於黑暗之中，命中率降低",15012,0,1,2,10,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
16,"","",0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,0,False,False,False,0,0,False,0,False,False,0,0,False
17,"麻痹","身體部分機能出現異常，偶爾會無法行動",15006,0,1,2,5,0,False,False,False,False,False,False,True,False,False,100,False,False,False,33,0,False,0,False,False,0,0,False
18,"中毒","毒素會導致體力逐漸減少",15007,0,1,2,1,0,False,False,False,False,False,False,True,False,False,10,False,False,True,10,0,False,0,False,False,0,0,False
19,"猛毒","毒素會導致體力逐漸減少",15517,0,1,2,1,0,False,False,False,False,False,False,False,True,True,10,False,False,True,100,0,False,0,False,False,0,0,False
20,"技力流失","技力不斷減少",15025,0,1,2,17,0,False,False,False,False,False,False,True,False,False,10,False,False,False,0,0,False,0,False,False,0,0,False
21,"體力增加","體力最大值提高",15075,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
22,"體力衰減","體力最大值降低",15076,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
23,"魔力增加","魔力最大值提高",15077,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
24,"魔力衰減","魔力最大值降低",15078,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
25,"物理攻擊力提升","物理攻擊力增強",15050,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
26,"物理攻擊力降低","物理攻擊力減弱",15051,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
27,"命中率提升","命中率增強",15060,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
28,"命中率降低","命中率減弱",15061,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
29,"物理防禦力提升","物理防禦力增強",15052,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
30,"物理防禦力降低","物理防禦力減弱",15053,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
31,"迴避力提升","迴避力增強",15062,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
32,"迴避力降低","迴避力減弱",15063,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
33,"魔法攻擊力提升","魔法攻擊力增強",15054,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
34,"魔法攻擊力降低","魔法攻擊力減弱",15055,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
35,"魔法治療力提升","魔法治療力增強",15058,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
36,"魔法治療力降低","魔法治療力減弱",15059,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
37,"魔法防禦力提升","魔法防禦力增強",15056,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
38,"魔法防禦力降低","魔法防禦力減弱",15057,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
39,"眩暈無效","附帶眩暈效果的技能無法生效",15566,0,1,1,16,0,False,False,False,False,False,False,False,True,True,100,False,False,False,100,0,False,0,False,False,0,0,False
40,"沉默無效","附帶沉默效果的技能無法生效",15567,0,1,1,16,0,False,False,False,False,False,False,False,True,True,100,False,False,False,100,0,False,0,False,False,0,0,False
41,"製作設備","藉助製作設備進行作業，70級及以下的能工巧匠會提升最大製作力",16107,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,False,False,False,10,0,False,0,False,False,0,0,False
42,"超越之力","突破自身極限，最大體力增加，同時攻擊造成的傷害及治療魔法的治療量也會增加",16207,0,1,1,16,0,False,False,False,False,False,False,False,True,True,0,False,False,False,15,0,False,0,False,False,0,0,False
43,"衰弱","身體很虛弱，力量、靈巧、智力、精神均降低25%",15010,0,1,2,0,0,False,False,False,False,False,False,False,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
44,"瀕死","身體很虛弱，力量、靈巧、智力、精神均降低50%",15011,0,1,2,0,0,False,False,False,False,False,False,False,False,False,100,False,False,False,0,0,False,0,False,False,0,0,False
45,"巧手之工","能工巧匠獲得的經驗值增加",16106,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,True,False,False,0,0,False,0,False,False,0,0,False
46,"大地之恩","大地使者獲得的經驗值增加",16006,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,True,False,False,0,0,False,0,False,False,0,0,False
47,"隱行","輕聲行動，不容易被敵人發現<hex:02100103>不會被最多高於自身等級4級的敵人襲擊",16015,0,1,1,16,138,False,False,False,False,False,False,False,True,True,2,False,False,False,0,0,False,0,False,False,0,36,False
48,"進食","受到進食的效果影響",16202,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,True,False,False,1,0,False,0,False,False,0,0,False
49,"強化藥","受到強化藥的效果影響",16203,0,1,1,16,0,False,False,False,False,False,False,False,False,False,0,False,False,False,2,0,False,0,False,False,0,0,False
50,"衝刺","移動速度提高",10101,0,1,1,0,0,False,False,False,False,False,False,False,False,False,0,False,False,False,0,0,False,0,False,False,0,6,False
51,"力量降低","力量值降低",15080,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-5,0,False,0,False,False,0,0,False
52,"耐力降低","耐力值降低",15082,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-5,0,False,0,False,False,0,0,False
53,"物理傷害提高","物理攻擊所造成的傷害提高",15050,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,10,0,False,0,False,False,0,0,False
54,"物理傷害降低","物理攻擊所造成的傷害降低",15051,0,1,2,17,0,False,False,False,False,False,False,True,False,False,50,False,False,False,-10,0,False,0,False,False,0,0,False
55,"物理受傷減輕","受到物理攻擊的傷害減少",15052,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,False,False,False,-10,0,False,0,False,False,0,0,False
