key,0
#,
offset,0
int32,str
0,""
1,"狼獄水上競技場"
2,"狼獄水上競技場(非段位賽)"
3,"紛爭前線"
4,"九宮幻卡"
5,"萌寵之王"
6,"迷宮挑戰（重生之境）"
7,"迷宮挑戰（蒼穹之禁城）"
8,"討伐殲滅戰（重生之境）"
9,"討伐殲滅戰（蒼穹之禁城）"
10,"大型任務（重生之境）"
11,"大型任務（蒼穹之禁城）"
12,"大型任務：零式（重生之境）"
13,"大型任務：零式（蒼穹之禁城）"
14,"團隊任務（重生之境）"
15,"團隊任務（蒼穹之禁城）"
16,"大型任務（紅蓮之狂潮）"
17,"大型任務：零式（紅蓮之狂潮）"
18,"團隊任務（紅蓮之狂潮）"
19,"討伐殲滅戰：高難度（重生之境）"
20,"討伐殲滅戰：高難度（蒼穹之禁城）"
21,"討伐殲滅戰（紅蓮之狂潮）"
22,"討伐殲滅戰：高難度（紅蓮之狂潮）"
23,"烈羽爭鋒"
24,"狼獄水上競技場（自定賽）"
25,"狼獄水上競技場（戰隊自定賽）"
26,"陸行鳥競賽"
27,"陸行鳥競賽（僅限小隊成員）"
28,"每日挑戰"
29,"多瑪方城戰"
30,"迷宮挑戰（紅蓮之狂潮）"
31,"迷宮挑戰（暗影之逆焰）"
32,"討伐殲滅戰（暗影之逆焰）"
33,"討伐殲滅戰：高難度（暗影之逆焰）"
34,"大型任務（暗影之逆焰）"
35,"大型任務：零式（暗影之逆焰）"
36,"團隊任務（暗影之逆焰）"
37,"迷宮挑戰 (曉月之終途)"
38,"討伐殲滅戰 (曉月之終途)"
39,"討伐殲滅戰：高難度 (曉月之終途)"
40,"大型任務 (曉月之終途)"
41,"大型任務：零式 (曉月之終途)"
42,"團隊任務 (曉月之終途)"
