key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,Name,,ModelKey,Animation{Start},Animation{End},Animation{Idle},Animation{Play01},Animation{Play02},StopAnimation,Instrument,Order,Transient,
offset,16,36,8,28,30,32,0,2,20,4,24,34,35
int32,str,bit&01,int64,ActionTimeline,ActionTimeline,ActionTimeline,ActionTimeline,ActionTimeline,ActionTimeline,str,int32,PerformTransient,byte
0,"",False,"0, 0, 0, 0",0,0,0,0,0,0,"",0,0,0
1,"047harp",False,"697, 1, 1, 0",6552,6554,6553,6555,6557,0,"豎琴",751,1,0
2,"001grandpiano",False,"697, 1, 1, 0",6552,6554,6553,6555,6557,0,"鋼琴",752,2,0
3,"026steelguitar",False,"697, 1, 1, 0",6552,6554,6553,6555,6557,0,"魯特琴",753,3,0
4,"046pizzicato",False,"697, 1, 1, 0",6552,6554,6553,6555,6557,0,"提琴撥弦",754,4,0
5,"074flute",True,"693, 1, 1, 0",6263,6265,6264,6266,6268,0,"長笛",755,5,0
6,"069oboe",True,"693, 1, 1, 0",6263,6265,6264,6266,6268,0,"雙簧管",757,6,0
7,"072clarinet",True,"693, 1, 1, 0",6263,6265,6264,6266,6268,0,"單簧管",759,7,0
8,"073piccolo",True,"693, 1, 1, 0",6263,6265,6264,6266,6268,0,"橫笛",758,8,0
9,"076panflute",True,"693, 1, 1, 0",6263,6265,6264,6266,6268,0,"排簫",756,9,0
10,"048timpani",False,"696, 1, 1, 0",6281,6283,6282,6284,6286,0,"定音鼓",760,10,0
11,"097bongo",False,"696, 1, 1, 0",6281,6283,6282,6284,6286,0,"邦戈鼓",761,11,0
12,"098bd",False,"696, 1, 1, 0",6281,6283,6282,6284,6286,0,"低音鼓",762,12,0
13,"099snare",False,"696, 1, 1, 0",6281,6283,6282,6284,6286,0,"小軍鼓",763,13,0
14,"100cymbal",False,"696, 1, 1, 0",6281,6283,6282,6284,6286,0,"鑔",764,14,0
15,"057trumpet",True,"692, 1, 1, 0",7337,7339,7338,7340,7342,0,"小號",765,15,0
16,"058trombone",True,"692, 1, 1, 0",7337,7339,7338,7340,7342,0,"長號",766,16,0
17,"059tuba",True,"692, 1, 1, 0",7337,7339,7338,7340,7342,0,"大號",767,17,0
18,"061frenchhorn",True,"692, 1, 1, 0",7337,7339,7338,7340,7342,0,"圓號",768,18,0
19,"066altosax",True,"692, 1, 1, 0",7337,7339,7338,7340,7342,0,"薩克斯管",769,19,0
20,"041violin",True,"691, 1, 1, 0",7411,7413,7412,7414,7416,0,"小提琴",770,20,0
21,"042viola",True,"691, 1, 1, 0",7411,7413,7412,7414,7416,0,"中提琴",771,21,0
22,"043cello",True,"691, 1, 1, 0",7411,7413,7412,7414,7416,0,"大提琴",772,22,0
23,"044contrabass",True,"691, 1, 1, 0",7411,7413,7412,7414,7416,0,"低音提琴",773,23,0
24,"030driveguitar",True,"690, 1, 1, 0",8022,8024,8023,8025,8027,0,"電吉他：過載",774,24,1
25,"028cleanguitar",True,"690, 1, 1, 0",8022,8024,8023,8025,8027,0,"電吉他：清音",775,25,1
26,"029muteguitar",False,"690, 1, 1, 0",8022,8024,8023,8036,8038,0,"電吉他：悶音",776,26,1
27,"031powerguitar",True,"690, 1, 1, 0",8029,8031,8030,8032,8034,0,"電吉他：重力和弦",777,27,1
28,"032FXguitar",False,"690, 1, 1, 0",8022,8024,8023,8040,8042,0,"電吉他：特殊奏法",778,28,1
