key,0,1,2,3,4,5,6,7,8,9,10,11
#,Name,,Name{NoArticle},,,,,,,,,
offset,0,12,4,13,14,15,16,17,8,22,20,23
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,byte,uint16,byte
0,"",0,"",0,0,1,0,0,"",0,0,0
1,"",0,"",0,0,0,0,0,"",0,0,0
2,"",0,"",0,0,0,0,0,"",0,0,0
3,"",0,"",0,0,0,0,0,"",0,0,0
4,"",0,"",0,0,0,0,0,"",0,0,0
5,"",0,"",0,0,0,0,0,"",0,0,0
6,"",0,"",0,0,0,0,0,"",0,0,0
7,"",0,"",0,0,0,0,0,"",0,0,0
8,"",0,"",0,0,0,0,0,"",0,0,0
9,"",0,"",0,0,0,0,0,"",0,0,0
10,"",0,"",0,0,0,0,0,"",0,0,0
11,"",0,"",0,0,0,0,0,"",0,0,0
12,"",0,"",0,0,0,0,0,"",0,0,0
13,"",0,"",0,0,0,0,0,"",0,0,0
14,"",0,"",0,0,0,0,0,"",0,0,0
15,"",0,"",0,0,0,0,0,"",0,0,0
16,"",0,"",0,0,0,0,0,"",0,0,0
17,"",0,"",0,0,0,0,0,"",0,0,0
18,"公會理符",0,"",0,0,1,0,0,"",0,0,0
19,"",0,"",0,0,1,0,0,"",0,0,0
20,"海德林",0,"",0,0,1,0,0,"",0,0,0
21,"艾歐澤亞",0,"",0,0,1,0,0,"",0,0,0
22,"拉諾西亞",0,"",0,0,1,0,0,"",0,100,0
23,"黑衣森林",0,"",0,0,1,0,0,"",0,200,0
24,"薩納蘭",0,"",0,0,1,0,0,"",0,300,0
25,"庫爾札斯",0,"",0,0,1,0,0,"",0,400,0
26,"摩杜納",0,"",0,0,1,0,0,"",0,500,0
27,"利姆薩·羅敏薩",0,"",0,0,1,0,0,"",0,0,0
28,"利姆薩·羅敏薩上層甲板",0,"",0,0,1,0,0,"",0,0,0
29,"利姆薩·羅敏薩下層甲板",0,"",0,0,1,0,0,"",0,0,0
30,"中拉諾西亞",0,"",0,0,1,0,0,"",0,0,0
31,"拉諾西亞低地",0,"",0,0,1,0,0,"",0,0,0
32,"東拉諾西亞",0,"",0,0,1,0,0,"",0,0,0
33,"西拉諾西亞",0,"",0,0,1,0,0,"",0,0,0
34,"拉諾西亞高地",0,"",0,0,1,0,0,"",0,0,0
35,"沙斯塔夏溶洞",0,"",0,0,1,0,0,"",0,0,0
36,"布雷福洛克斯野營地",0,"",0,0,1,0,0,"",0,0,0
37,"放浪神古神殿",0,"",0,0,1,0,0,"",0,0,0
38,"",0,"",0,0,0,0,0,"",0,0,0
39,"格里達尼亞",0,"",0,0,1,0,0,"",0,0,0
40,"烏爾達哈現世迴廊",0,"",0,0,1,0,0,"",0,0,0
41,"烏爾達哈來生迴廊",0,"",0,0,1,0,0,"",0,0,0
42,"西薩納蘭",0,"",0,0,1,0,0,"",0,0,0
43,"中薩納蘭",0,"",0,0,1,0,0,"",0,0,0
44,"東薩納蘭",0,"",0,0,1,0,0,"",0,0,0
45,"南薩納蘭",0,"",0,0,1,0,0,"",0,0,0
46,"北薩納蘭",0,"",0,0,1,0,0,"",0,0,0
47,"樵鳴洞",0,"",0,0,1,0,0,"",0,0,0
48,"銅鈴銅山",0,"",0,0,1,0,0,"",0,0,0
49,"日影地修練所",0,"",0,0,1,0,0,"",0,0,0
50,"喀恩埋沒聖堂",0,"",0,0,1,0,0,"",0,0,0
51,"烏爾達哈",0,"",0,0,1,0,0,"",0,0,0
52,"格里達尼亞新街",0,"",0,0,1,0,0,"",0,0,0
53,"格里達尼亞舊街",0,"",0,0,1,0,0,"",0,0,0
54,"黑衣森林中央林區",0,"",0,0,1,0,0,"",0,0,0
55,"黑衣森林東部林區",0,"",0,0,1,0,0,"",0,0,0
56,"黑衣森林南部林區",0,"",0,0,1,0,0,"",0,0,0
57,"黑衣森林北部林區",0,"",0,0,1,0,0,"",0,0,0
58,"塔姆·塔拉墓園",0,"",0,0,1,0,0,"",0,0,0
59,"靜語莊園",0,"",0,0,1,0,0,"",0,0,0
60,"",0,"",0,0,0,0,0,"",0,0,0
61,"托托·拉克千獄",0,"",0,0,1,0,0,"",0,0,0
62,"伊修加德",0,"",0,0,1,0,0,"",0,0,0
63,"庫爾札斯中央高地",0,"",0,0,1,0,0,"",0,0,0
64,"澤梅爾要塞",0,"",0,0,1,0,0,"",0,0,0
65,"黃金谷",0,"",0,0,1,0,0,"",0,0,0
66,"東方地域",0,"",0,0,1,0,0,"",0,0,0
67,"摩杜納",0,"",0,0,1,0,0,"",0,0,0
68,"翡翠湖濱",0,"",0,0,1,0,0,"",0,10,0
69,"翠淚擇伐區",0,"",0,0,1,0,0,"",0,20,0
70,"彎枝",0,"",0,0,1,0,0,"",0,30,0
71,"酸模避風港",0,"",0,0,1,0,0,"",0,40,0
72,"朽骨森",0,"",0,0,1,0,0,"",0,45,0
73,"蜜場",0,"",0,0,1,0,0,"",0,10,0
74,"九藤",0,"",0,0,1,0,0,"",0,20,0
75,"荊棘森",0,"",0,0,1,0,0,"",0,30,0
76,"百靈啼",0,"",0,0,1,0,0,"",0,40,0
77,"妖精領",0,"",0,0,1,0,0,"",0,50,0
78,"高徑",0,"",0,0,1,0,0,"",0,10,0
