key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,,,,,,,,,,,,,,,,
offset,0,56,4,8,57,12,16,20,24,28,32,36,40,44,48,52
int32,str,byte,single,single,bit&01,single,single,single,single,single,single,single,single,single,single,single
0,"標準",1,0,0,False,0,0,0,0,0,0,0,0,0,0,1
1,"回溯過去",60,0,-0.2,False,-0.2,0,0,0.6,0,0,0,0,0,0,1
2,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
3,"棕色1",5,0,0,False,-0.3,0,0,1,-0.2,0,0,0,0,0.1,0.9
4,"黑白1",10,0,0,False,0,0,1,0,0,0,0,0,0,0,1
5,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
6,"鮮豔1",15,0,0,False,0,0,-0.2,0,-0.2,0.1,0,0.1,0,0,1
7,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
8,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
9,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
10,"色調分離1",20,0,0,False,0,0,0.5,0.2,0,0,0,0,0,0.5,0.5
11,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
12,"色調分離2",21,0,0,False,0,0,1,0,0,0,0,0,0,0.9,0
13,"彩色鉛筆",30,0,0,False,0.1,-0.3,-0.1,0.2,0,0,0,0,-0.2,0.4,0.6
14,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
15,"色粉畫1",50,0,0,False,0.1,-0.3,0,0.2,-0.1,0.6,0.6,0.6,-0.2,0.1,0.4
16,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
17,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
18,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
19,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
20,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
21,"乙太成像",61,0,0,False,0,0,-1,-0.8,1,1,0.7,0.3,1,0.3,1
22,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
23,"鮮豔3",17,0,0.2,False,-0.1,0,0.2,0,0.4,0.8,0.8,1,0,0.2,0.8
24,"棕色2",6,0,-1,False,0,0.1,-0.2,0,0.2,0.9,0.3,0,0,0.2,0.8
25,"黑白2",11,0,0,False,0,0,1,0,0,0,0,0,0,0.5,1
26,"色粉畫2",51,0,-0.4,True,0,-0.2,0,0,0,0,0,0,0,0.1,0.3
27,"鮮豔2",16,0,0.6,True,0,0,0.2,-0.6,0.4,0.8,0.6,0.4,0.1,0.2,0.6
28,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
29,"彩色水筆1",40,0,0,True,-0.2,0.6,0.2,-0.3,0,0,0,0,0,0,0.4
30,"黑白鉛筆",35,0,0,False,0,0,1,-0.2,0,0,0,0,0,0.4,0.7
31,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
32,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
33,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
34,"強調特效",70,0,0,True,-0.2,-0.2,0,0,0,0,0,0,0,0.25,0.5
35,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
36,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
37,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
38,"單色1",55,0,-1,True,0,0.2,0,0,0.2,0.9,0.1,0.5,0,0.1,0.9
39,"單色2",56,0,-1,False,0,0.1,0,-0.2,0.2,0.1,0.4,0.1,0,0.1,0.9
40,"單色3",57,0,-1,False,0,0.1,-0.2,0,0.3,0.1,0.4,1,0,0.1,0.9
41,"鮮豔4",18,0,0.6,True,0,0,0.2,-0.6,0.4,0.7,0.6,0.5,0,0,0.8
42,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
43,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
44,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
45,"色粉畫3",52,0,0,False,0.1,-0.3,-0.2,0.2,-0.2,0.7,0.7,0.7,-0.2,0.1,0.4
46,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
47,"彩色水筆2",42,0,-0.2,True,-0.2,0.4,0.4,-0.3,0,0,0,0,0,0,0.35
48,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
49,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
50,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
51,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
52,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
53,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
54,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
55,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
56,"預告片",59,0,-0.3,False,0,0.1,0.4,0.2,-0.1,1,0,0.8,-0.1,0,1
57,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
58,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
59,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
60,"",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
