key,0
#,String
offset,0
int32,str
0,""
1,"忠義量譜"
2,"開啟<hex:024804F201F403><hex:024904F201F503>鋼鐵信念<hex:0249020103><hex:0248020103>技能後，畫面上會出現顯示該技能使用狀態的量譜。<hex:02100103>想要集中仇恨時，建議使用鋼鐵信念。"
3,"<hex:024804F201FA03><hex:024904F201FB03>職業量譜的說明可以隨時在技能選單中進行查看。<hex:0249020103><hex:0248020103>"
4,"忠義量譜"
5,"學會<hex:024804F201F403><hex:024904F201F503>忠義精通<hex:0249020103><hex:0248020103>特性後，畫面上會出現專用的<hex:024804F201F403><hex:024904F201F503>忠義量譜<hex:0249020103><hex:0248020103>。<hex:02100103>該量譜不僅會顯示鋼鐵信念的狀態，還會顯示騎士的<hex:024804F201F403><hex:024904F201F503>忠義<hex:0249020103><hex:0248020103>效果的具體量值。<hex:02100103>自動攻擊命中時會積累忠義量值，消耗忠義量值可以發動<hex:024804F201F403><hex:024904F201F503>盾陣<hex:0249020103><hex:0248020103>、45級學會的<hex:024804F201F403><hex:024904F201F503>保護<hex:0249020103><hex:0248020103>和62級學會的<hex:024804F201F403><hex:024904F201F503>干預<hex:0249020103><hex:0248020103>技能。"
6,"獸魂量譜"
7,"開啟<hex:024804F201F403><hex:024904F201F503>守護<hex:0249020103><hex:0248020103>技能後，畫面上會出現顯示該技能使用狀態的量譜。<hex:02100103>想要集中仇恨時，建議使用守護。"
8,"獸魂量譜"
9,"學會<hex:024804F201F403><hex:024904F201F503>獸魂<hex:0249020103><hex:0248020103>特性後，畫面上會出現專用的<hex:024804F201F403><hex:024904F201F503>獸魂量譜<hex:0249020103><hex:0248020103>。<hex:02100103>該量譜不僅會顯示守護的狀態，還會顯示代表戰士心中野性的<hex:024804F201F403><hex:024904F201F503>獸魂<hex:0249020103><hex:0248020103>的具體量值。<hex:02100103><hex:024804F201F403><hex:024904F201F503>原初之魂<hex:0249020103><hex:0248020103>和45級學會的<hex:024804F201F403><hex:024904F201F503>鋼鐵旋風<hex:0249020103><hex:0248020103>等技能都需要通過消耗積累的獸魂量值才能發動。<hex:02100103>獸魂量值可以通過發動特定的技能進行積累。"
10,"暗血量譜"
11,"開啟<hex:024804F201F403><hex:024904F201F503>深惡痛絕<hex:0249020103><hex:0248020103>技能後，畫面上會出現顯示該技能使用狀態的量譜。<hex:02100103>想要集中仇恨時，建議使用深惡痛絕。"
12,"暗黑量譜"
13,"學會<hex:024804F201F403><hex:024904F201F503>暗黑波動<hex:0249020103><hex:0248020103>技能後，畫面上會出現專用的<hex:024804F201F403><hex:024904F201F503>暗黑量譜<hex:0249020103><hex:0248020103>。<hex:02100103>暗黑量譜會顯示<hex:024804F201F403><hex:024904F201F503>暗黑<hex:0249020103><hex:0248020103>的持續時間。使用<hex:024804F201F403><hex:024904F201F503>暗黑波動<hex:0249020103><hex:0248020103>和40級學會的<hex:024804F201F403><hex:024904F201F503>暗黑鋒<hex:0249020103><hex:0248020103>可以附加暗黑狀態。<hex:02100103>暗黑狀態中自身攻擊所造成的傷害提高。"
14,"暗血量譜"
15,"學會<hex:024804F201F403><hex:024904F201F503>暗血<hex:0249020103><hex:0248020103>特性後，畫面上會出現專用的<hex:024804F201F403><hex:024904F201F503>暗血量譜<hex:0249020103><hex:0248020103>。<hex:02100103>該量譜會顯示暗血的具體量值。<hex:024804F201F403><hex:024904F201F503>血濺<hex:0249020103><hex:0248020103>和64級學會的<hex:024804F201F403><hex:024904F201F503>寂滅<hex:0249020103><hex:0248020103>等技能都需要通過消耗積累的暗血量值才能發動。<hex:02100103>暗血量值可以通過發動特定的技能進行積累。"
16,"暗黑量譜"
17,"學會<hex:024804F201F403><hex:024904F201F503>至黑之夜<hex:0249020103><hex:0248020103>技能後，暗黑量譜會顯示<hex:024804F201F403><hex:024904F201F503>暗技<hex:0249020103><hex:0248020103>狀態。<hex:02100103>消耗<hex:024804F201F403><hex:024904F201F503>至黑之夜<hex:0249020103><hex:0248020103>的防護罩效果可以附加暗技狀態。<hex:02100103>附加暗技狀態後，可以通過只消耗暗技不消耗魔力的方式來發動<hex:024804F201F403><hex:024904F201F503>暗黑波動<hex:0249020103><hex:0248020103>和<hex:024804F201F403><hex:024904F201F503>暗黑鋒<hex:0249020103><hex:0248020103>技能。"
18,"暗黑量譜"
19,"學會<hex:024804F201F403><hex:024904F201F503>掠影示現<hex:0249020103><hex:0248020103>技能後，一同戰鬥的<hex:024804F201F403><hex:024904F201F503>英雄的掠影<hex:0249020103><hex:0248020103>會變成實體。暗黑量譜可以顯示英雄的掠影實體存在的剩餘時間。"
20,"百合花莖量譜"
21,"學會<hex:024804F201F403><hex:024904F201F503>神秘百合<hex:0249020103><hex:0248020103>特性後，畫面上會出現專用的<hex:024804F201F403><hex:024904F201F503>百合花莖量譜<hex:0249020103><hex:0248020103>，<hex:02100103>以顯示當前<hex:024804F201F403><hex:024904F201F503>治療百合<hex:0249020103><hex:0248020103>開花的數量。<hex:02100103>當自身處於戰鬥狀態時，每過一定時間就會開放一朵治療百合，<hex:02100103>消耗百合可以發動<hex:024804F201F403><hex:024904F201F503>安慰之心<hex:0249020103><hex:0248020103>和76級學會的<hex:024804F201F403><hex:024904F201F503>狂喜之心<hex:0249020103><hex:0248020103>技能。"
22,"百合花莖量譜"
23,"學會<hex:024804F201F403><hex:024904F201F503>安慰之心效果提高<hex:0249020103><hex:0248020103>特性後，百合花莖量譜會顯示<hex:024804F201F403><hex:024904F201F503>血百合<hex:0249020103><hex:0248020103>的狀態。使用需要消耗治療百合的技能，可以使血百合逐漸開放。<hex:02100103>當血百合完全開放時，即可發動<hex:024804F201F403><hex:024904F201F503>苦難之心<hex:0249020103><hex:0248020103>技能。"
24,"乙太超流量譜"
25,"使用<hex:024804F201F403><hex:024904F201F503>乙太超流<hex:0249020103><hex:0248020103>技能後，畫面上會出現專用的<hex:024804F201F403><hex:024904F201F503>乙太超流量譜<hex:0249020103><hex:0248020103>，以顯示當前附加的乙太超流量值。"
26,"異想量譜"
27,"學會<hex:024804F201F403><hex:024904F201F503>乙太契約<hex:0249020103><hex:0248020103>技能後，畫面上會出現專用的<hex:024804F201F403><hex:024904F201F503>異想量譜<hex:0249020103><hex:0248020103>，以顯示當前小仙女的<hex:024804F201F403><hex:024904F201F503>異想乙太<hex:0249020103><hex:0248020103>量值。在自身處於戰鬥狀態且小仙女處於同行狀態時，使用消耗乙太超流的<hex:024804F201F403><hex:024904F201F503>生命活性法<hex:0249020103><hex:0248020103>和<hex:024804F201F403><hex:024904F201F503>深謀遠慮之策<hex:0249020103><hex:0248020103>等技能可以增加異想乙太量值，積累的異想乙太量值可以用來發動<hex:024804F201F403><hex:024904F201F503>乙太契約<hex:0249020103><hex:0248020103>技能。"
28,"異想量譜"
