key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,ShopName,,,,,,,,,,,,,,,,,
offset,0,4,12,20,28,36,44,52,60,8,16,24,32,40,48,56,64,68
int32,str,int32,int32,int32,int32,int32,int32,int32,int32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,bit&01
3473408,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3473409,"特殊商品交易員",1,4,4,2,3,0,0,0,0,235,210,0,0,0,0,0,True
3473410,"交換證書",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473411,"交換獸人貨幣證書",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473412,"交換獸人貨幣證書",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473413,"交換獸人貨幣證書",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473414,"交換獸人貨幣證書",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473415,"交換獸人貨幣證書",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473416,"交換獸人貨幣證書",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473417,"交換獸人貨幣證書",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473418,"交換獸人貨幣證書",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473419,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473420,"戰果記錄回收（上鎖的寶箱）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473421,"戰果記錄回收（其他）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473422,"戰果記錄回收（其他）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
