key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Name,,,,Shop[0],Shop[1],Shop[2],Shop[3],Shop[4],Shop[5],Shop[6],Shop[7],Shop[8],Shop[9]
offset,0,47,46,44,4,8,12,16,20,24,28,32,36,40
int32,str,bit&01,byte,uint16,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row
3276800,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276801,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276802,"戈耳狄相關道具交易",False,0,0,1769579,1769605,1769580,1769581,1769606,1769582,1769642,0,0,0
3276803,"彌達斯相關道具交易",False,0,0,1769643,1769644,1769645,1769646,1769647,1769648,0,0,0,0
3276804,"",False,0,0,593394,0,0,0,0,0,0,0,0,0
3276805,"",False,0,0,1769676,1769677,1769678,1769679,593394,0,0,0,0,0
3276806,"亞歷山大相關道具交易",False,0,0,1769689,1769690,1769691,1769692,1769693,1769694,0,0,0,0
3276807,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276808,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276809,"",False,0,0,0,0,0,0,0,0,0,0,0,0
3276810,"新生古典裝備交易",False,0,0,1769715,1769716,1769717,0,0,0,0,0,0,0
3276811,"多瑪風格裝備交易",False,0,0,1769660,1769661,0,0,0,0,0,0,0,0
3276812,"改良田園郡製裝備",True,0,0,1769734,1769735,1769736,0,0,0,0,0,0,0
3276813,"",False,0,0,1769676,1769677,1769738,1769678,1769679,1769739,1769749,1769750,593394,0
3276814,"",False,0,0,1769676,1769677,1769678,1769679,593394,0,0,0,0,0
3276815,"守護者裝備交易（戰鬥精英）",False,0,0,262677,262678,262679,262680,262681,262682,262683,262684,0,0
3276816,"守護者裝備交易（魔法導師）",False,0,0,262685,262686,262687,262688,262689,0,0,0,0,0
3276817,"狼印戰績（重生）",False,0,0,1770297,1769754,1769756,1769758,1769760,0,0,0,0,0
3276818,"狼印戰績（重生）",False,0,0,1770298,1769755,1769757,1769759,1769761,0,0,0,0,0
3276819,"狼印戰績（重生）",False,0,0,1770299,1769490,1769492,1769496,1769528,0,0,0,0,0
3276820,"狼印戰績（重生）",False,0,0,1770300,1769491,1769493,1769497,1769529,0,0,0,0,0
3276821,"狼印戰績（蒼穹）",False,0,0,1769762,1769764,0,0,0,0,0,0,0,0
