key,0
#,
offset,0
int32,str
0,""
1,"隨著飛空艇的普及，阿巴拉提亞雲海的探索也進展神速。在厚重的雲層後面，人們發現了未知的浮島群。根據聳立在浮島群中央的巨大風屬性水晶所呈現出的王冠外形，人們將該群島命名為「雲冠群島」。神秘的雲冠群島吸引了無數冒險者的來訪，但在這片長年隱藏於雲海深處與世隔絕的土地中，卻潛藏著眾多不為人知的古代野獸……"
2,"隨著飛空艇的普及，阿巴拉提亞雲海的探索也進展神速。在厚重的雲層後面，人們發現了未知的浮島群。根據聳立在浮島群中央的巨大風屬性水晶所呈現出的王冠外形，人們將該群島命名為「雲冠群島」。神秘的雲冠群島吸引了無數冒險者的來訪……黃昏時分來臨，在夜行性古代野獸們次第開始活動的同時，冒險者們也開始了他們的探索……"
3,"隨著飛空艇的普及，阿巴拉提亞雲海的探索也進展神速。在厚重的雲層後面，人們發現了未知的浮島群。根據聳立在浮島群中央的巨大風屬性水晶所呈現出的王冠外形，人們將該群島命名為「雲冠群島」。神秘的雲冠群島吸引了無數冒險者的來訪……猙獰的古代野獸們在暗夜中不時散發出殺氣，但這仍然無法阻止不要命的冒險者們展開他們危險的探索旅程……"
4,"隨著飛空艇的普及，阿巴拉提亞雲海的探索也進展神速。在厚重的雲層後面，人們發現了未知的浮島群。根據聳立在浮島群中央的巨大風屬性水晶所呈現出的王冠外形，人們將該群島命名為「雲冠群島」。神秘的雲冠群島吸引了無數冒險者的來訪，但在這片長年隱藏於雲海深處與世隔絕的土地中，卻潛藏著眾多不為人知的古代野獸……<hex:02100103><hex:02100103>※任務中只能轉職為戰鬥職業。"
5,"隨著飛空艇的普及，阿巴拉提亞雲海的探索也進展神速。在厚重的雲層後面，人們發現了未知的浮島群。根據聳立在浮島群中央的巨大風屬性水晶所呈現出的王冠外形，人們將該群島命名為「雲冠群島」。神秘的雲冠群島吸引了無數冒險者的來訪……黃昏時分來臨，在夜行性古代野獸們次第開始活動的同時，冒險者們也開始了他們的探索……<hex:02100103><hex:02100103>※任務中只能轉職為戰鬥職業。"
6,"隨著飛空艇的普及，阿巴拉提亞雲海的探索也進展神速。在厚重的雲層後面，人們發現了未知的浮島群。根據聳立在浮島群中央的巨大風屬性水晶所呈現出的王冠外形，人們將該群島命名為「雲冠群島」，追求冒險的人們先後來到了這片神奇的空域。<hex:02100103>可是由於漂流而來的古代遺跡，雲冠群島的乙太環境發生了劇變，各處都有受到屬性之力影響的魔物出現。協助艾因哈特家調查這片危險的空域，將得到相應的報酬。<hex:02100103><hex:02100103>※本任務中如觸發特殊的戰鬥事件，限制時間將延長15分鐘。"
7,"隨著飛空艇的普及，阿巴拉提亞雲海的探索也進展神速。在厚重的雲層後面，人們發現了未知的浮島群。根據聳立在浮島群中央的巨大風屬性水晶所呈現出的王冠外形，人們將該群島命名為「雲冠群島」，追求冒險的人們先後來到了這片神奇的空域。<hex:02100103>可是由於漂流而來的古代遺跡，雲冠群島的乙太環境發生了劇變，各處都有受到屬性之力影響的魔物出現。協助艾因哈特家調查這片危險的空域，將得到相應的報酬。<hex:02100103><hex:02100103>※本任務中如觸發特殊的戰鬥事件，限制時間將延長15分鐘。"
