key,0
#,Text
offset,0
int32,str
0,""
1,"到達了阿巴拉提亞雲海的未知區域，即將向「<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>」調整航線。"
2,"初次到達「<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>」，即將開始探索。"
3,"到達「<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>」，即將開始探索。"
4,"氣流安定，<hex:022903EA0203>的「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」滿足出發探索的要求。"
5,"檢測到強風，「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」雖然滿足探索的要求，但會受到一定的影響。"
6,"檢測到強烈的湍流，「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」雖然滿足探索的要求，但當前天氣進行探索十分困難。"
7,"氣流安定，「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」沒有任何問題。"
8,"檢測到強風，「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」雖然滿足探索的要求，但當前天氣進行探索十分困難。"
9,"「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」處於不安定的狀態，不過仍然可以強行探索。"
10,"發現了包含優質成分的「<hex:02280AFF05>Item<hex:E8020103>」，即將開始挑選回收對象。"
11,"發現了包含優質成分的「<hex:02280AFF05>Item<hex:E8020103>」，即將開始進行回收。"
12,"檢測到「<hex:02280AFF05>Item<hex:E8020103>」，即將開始進行回收。"
13,"檢測到「<hex:02280AFF05>Item<hex:E8020103>」，即將開始進行回收。"
14,"充分利用了「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」，回收量令人非常滿意！"
15,"利用了「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」，回收量結果還算過得去。"
16,"以當前「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」來說回收量有些令人不太滿意……"
17,"考慮到「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」，回收量已經算還可以了。"
18,"以當前「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」來說回收量令人相當不滿意……"
19,"考慮到「<hex:022821FF1C>AirshipExplorationParamType<hex:E8030103>」，回收量基本沒有多少指望……"
20,"<hex:024804F201F403><hex:024904F201F503>獲得了<hex:022003E80303>個「<hex:02280AFF05>Item<hex:E8020103>」！<hex:0249020103><hex:0248020103>"
21,"有一些額外的發現，探索繼續進行。"
22,"有一些額外的發現，不過還是先返航了。"
23,"有一些額外的發現……不過又不見了。"
24,"又觀察了一下周圍的情況，可是沒有任何發現。"
25,"「<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>」探索完成！　發揮出了<hex:022903EA0303>的最大性能，取得了十分喜人的成果！"
26,"「<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>」探索完成！　發揮出了<hex:022903EA0303>的性能，取得了不錯的成果！"
27,"「<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>」探索完成！　雖然成果還不錯，但下次還要再繼續提高！"
28,"「<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>」探索完成！　成果還算過得去，或許有必要考慮一下調整飛空艇的配件了。"
29,"「<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>」探索完成！　結果十分不理想……"
30,"<hex:024804F201F603><hex:024904F201F703><hex:022903EA0203>獲得了<hex:022003E80303><hex:020813E4E80401FF01><hex:FF0B>(+<hex:022003E80403>%)<hex:03>點經驗值！<hex:0249020103><hex:0248020103>"
31,"即將轉向下一個目的地「<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>」。"
32,"所有目的地都探索完成！　即將返航！［探索完成］"
33,"<hex:024804F201F603><hex:024904F201F703>在航行中發現了「<hex:02281DFF18>AirshipExplorationPoint<hex:E8020103>」！<hex:0249020103><hex:0248020103>"
34,"<hex:024804F201F603><hex:024904F201F703>探索的成果得到了認可，可以登記新的飛空艇了！<hex:0249020103><hex:0248020103>"
