key,0,1,2,3,4,5,6,7,8,9,10
#,Type,,Range,,EObj,,,Objective,,,
offset,28,29,30,31,16,20,24,0,4,8,12
int32,SkyIsland2MissionType,byte,SkyIsland2RangeType,sbyte,EObjName,uint32,uint32,str,str,str,str
0,0,0,0,-1,0,0,0,"","","",""
10,6,0,0,-1,0,0,0,"","這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！","我想委託各位冒險者調查雲冠群島的資源情況。<hex:02100103>請你們盡情採集，報告成果。","當然我們也準備了與你們勞動相當的報酬。<hex:02100103>那麼，祝你們好運！"
11,6,0,0,-1,0,0,0,"","這裡是艾因哈特管制台……<hex:02100103>已確認完成資源調查任務第一階段。","看來你們取得了相當令我們感興趣的結果。<hex:02100103>那麼，請繼續調查活動。",""
12,6,0,0,-1,0,0,0,"","這裡是艾因哈特管制台……<hex:02100103>已確認完成資源調查任務第二階段。","資源調查任務還差一點就完成了，請再加把勁。",""
13,9,0,0,-1,2007594,0,8,"收集過屬性火之水晶","這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！","我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。","另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。"
14,9,0,0,-1,2007597,0,8,"收集過屬性水之水晶","這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！","我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。","另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。"
15,9,0,0,-1,2007595,0,8,"收集過屬性土之水晶","這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！","我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。","另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。"
16,9,0,0,-1,2007596,0,8,"收集過屬性冰之水晶","這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！","我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。","另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。"
17,9,0,0,-1,2007598,0,8,"收集過屬性風之水晶","這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！","我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。","另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。"
18,9,0,0,-1,2007593,0,8,"收集過屬性雷之水晶","這裡是艾因哈特管制台，<hex:02100103>已確認飛空艇位置，歡迎來到雲冠群島！","我想委託各位冒險者收集過屬性水晶。<hex:02100103>請前往指定地點，收集指定資源。","另外，在執行任務的過程中，<hex:02100103>也希望你們能夠在目標地區附近進行探索，以提高「活動評價」。"
