key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
#,Name,Description,LeveClient,LeveAssignmentType,,Town,ClassJobLevel,TimeLimit,AllowanceCost,Evaluation,PlaceName{Start},PlaceName{Issued},,ClassJobCategory,JournalGenre,,PlaceName{StartZone},Icon{CityState},DataId,CanCancel,MaxDifficulty,ExpFactor,ExpReward,GilReward,LeveRewardItem,LeveVfx,LeveVfx{Frame},Level{Levemete},Icon{Issuer},LockedLeve,Level{Start},BGM
offset,0,4,32,84,36,40,80,85,86,44,48,52,91,87,56,60,64,68,72,91,88,8,12,16,20,89,90,24,76,91,28,82
int32,str,str,LeveClient,LeveAssignmentType,int32,Town,uint16,byte,byte,int32,PlaceName,PlaceName,bit&01,ClassJobCategory,JournalGenre,int32,PlaceName,Image,Row,bit&02,byte,single,uint32,uint32,LeveRewardItem,LeveVfx,LeveVfx,Level,Image,bit&04,Level,BGM
0,"","",0,0,0,0,0,0,1,0,0,0,False,0,0,0,1,20011,0,True,0,1,0,0,0,0,0,0,0,True,0,14
1,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
2,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
3,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
4,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
5,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
6,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
7,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
8,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
9,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
10,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
