key,0
#,Text{Output}
offset,0
int32,str
0,""
1,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「大家好！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
2,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「辛苦了！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
3,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「謝謝！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
4,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「漂亮！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
5,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示對戰用額外技能1的可使用情況。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「可以使用‘技能名’！」<hex:02100103>「還有‘剩餘時間’秒可以再次使用‘技能名’！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
6,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會根據情況在小隊頻道中顯示發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「可以使用奮戰技！」<hex:02100103>「奮戰技達到‘當前數值’%！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
7,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來瞄準攻擊補給箱！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
8,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來瞄準防禦補給箱！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
9,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來瞄準奮戰補給箱！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
10,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來瞄準狼心！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
11,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來攻擊防護職業！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
12,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來攻擊治療職業！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
13,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來攻擊近戰職業！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
14,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來攻擊遠程職業！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
15,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來拖住防護職業！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
16,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來拖住治療職業！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
17,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來拖住近戰職業！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
18,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來拖住遠程職業！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
19,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「我來拾取戰章！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
20,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「請去拾取戰章！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
21,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「大家全力攻擊！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
22,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示固定的發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「先後退，觀察情況！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
23,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會根據情況在小隊頻道中顯示發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「魔力還有‘當前數值’%！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
24,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會根據情況在小隊頻道中顯示發言內容。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「技力還有‘當前數值’%！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
25,"該指令只能在「群狼盛宴」中使用。<hex:02100103>選中對戰對手或各類補給箱時使用，會在小隊頻道中顯示以該對象為目標的戰術指示。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「攻擊‘特職名’！」<hex:02100103>「瞄準‘補給箱名’！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
26,"該指令只能在「群狼盛宴」中使用。<hex:02100103>選中對戰對手或各類補給箱時使用，會在小隊頻道中顯示以該對象為目標的戰術指示。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「拖住‘特職名’！」<hex:02100103>「瞄準‘補給箱名’！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
27,"該指令只能在「群狼盛宴」中使用。<hex:02100103>使用後會在小隊頻道中顯示對戰用額外技能2的可使用情況。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「可以使用‘技能名’！」<hex:02100103>「還有‘剩餘時間’秒可以再次使用‘技能名’！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
28,"該指令只能在「群狼盛宴」中使用。<hex:02100103>選中對戰對手時使用，會標記對象並進行倒數，同時在小隊頻道中顯示以該對象為目標的戰術指示。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「集中攻擊‘職業名’！」<hex:021C020103><hex:021B020203><hex:021302EC03>"
29,"該指令只能在「群狼盛宴」中使用。<hex:02100103>中斷「開始集中攻擊」並在小隊頻道中顯示戰術指示。<hex:02100103><hex:021303E91103><hex:021B020103><hex:021C020203>「停止集中攻擊」<hex:021C020103><hex:021B020203><hex:021302EC03>"
