key,0,1,2
#,Description,Description{Enhanced},Tooltip
offset,0,4,8
int32,str,str,str
0,"","",""
1,"騎上專屬陸行鳥。<hex:02100103>大國防聯軍對士兵們統一配備的軍用陸行鳥。","伊修加德產軍用陸行鳥。除常見的旅行種以外，還有能夠承載魯加族的大型狩獵種以及專門為拉拉菲爾族改良的貝拉哈迪亞小型種等種類。","陸行鳥是一種很堅強的<hex:02100103>生物，不過它們也是有<hex:02100103>極限的。<hex:02100103>　　　　　——米米古恩"
2,"","",""
3,"","",""
4,"騎上古菩猩猩。<hex:02100103>使用神奇的號角可以召喚出巨大的古菩猩猩。","異國的詩人為了表示謝意，贈予了冒險者一把魔法的角笛，可以召喚出這隻古菩猩猩。雖然這種動物並不溫順，但獨自徘徊在艾歐澤亞的這隻古菩猩猩卻因為喜愛詩人的歌聲，而跟隨著他一起旅行。","真希望我能夠長得像那<hex:02100103>只古菩猩猩一樣高大。<hex:02100103>——娜娜莫·烏爾·娜莫"
5,"騎上遺產陸行鳥。<hex:02100103>靈災和5年的時光也無法切斷當年的情感，只要一聲口哨，遺產陸行鳥便會再次出現。","因為賢者路易索瓦的秘術，被送往次元縫隙的冒險者們穿越了5年的時光終於能和這隻陸行鳥再會。經歷了長期無主的流浪生活，這隻陸行鳥已經成長得非常勇悍，風貌上別具一格。","去尋找你當年所騎的那<hex:02100103>只陸行鳥吧，並且一定<hex:02100103>要再次騎上它。<hex:02100103>　　　　　　——賽弗林"
6,"搭乘魔導裝甲。<hex:02100103>繳獲的帝國魔導裝甲在西德改良之後變得更加實用了。","加雷馬帝國軍制式配備的騎乘用魔導裝甲「死神」型。西德等人用魔法人偶的核心作為控制裝置，對這台繳獲的裝甲進行了各種改造，現在可以說是加隆德煉鐵廠式樣了。","做得好！<hex:02100103>魔導裝甲是我們的了！<hex:02100103>　　　——西德·加隆德"
7,"","",""
8,"騎上長鬚豹。<hex:02100103>只有從小培養的長鬚豹才會把人類認成朋友而不是食物。","年輕而敏捷的長鬚豹。野生的長鬚豹是非常兇猛的魔獸，但在其原產地的近東地區也發展出了獨特的馴養法。這隻長鬚豹好像是在薩維奈島接受過作為坐騎的訓練。","哎喲！看上去太帥了！<hex:02100103>抓到我的長鬚豹了嗎？<hex:02100103>　　　　——斯威古雷爾"
9,"騎上冥鬼之眼。<hex:02100103>通過強力的魔法對冥鬼之眼加以束縛，這個魔法永遠不會失效。","長有翅膀的獨眼魔物。根據妖異學者們的分類，是屬於妖異十二階中第5位的中階妖異。用動物的眼球作媒介可以將其從異界召喚出來，通過強力的魔法加以束縛後可以進行使喚。","記得千萬不要給它戴上<hex:02100103>眼罩，不然它就找不到<hex:02100103>營地了。<hex:02100103>　　　　　　——巴德龍"
10,"","",""
11,"","",""
12,"","",""
13,"","",""
14,"","",""
15,"騎上獨角獸。<hex:02100103>在黑衣森林中偶遇的純白獨角獸。","在黑衣森林中偶遇的純白獨角獸。獨角獸原產自庫爾札斯，在當地也是非常罕見，不知為何會迷路進了森林。因為感激冒險者幫它治傷，成為了冒險者的好夥伴。","你們那些所謂的寶馬，<hex:02100103>不過就是一些禿著腦袋<hex:02100103>的獨角獸而已。<hex:02100103>　——陸行鳥運輸組合長"
16,"","",""
17,"","",""
18,"騎上貝希摩斯。<hex:02100103>在很小的時候就接受了人類的馴養，不會對人發動攻擊的啦。","冒險者公會贈給冒險者的強力坐騎。靈災之後，一名冒險者在庫爾札斯的深山撿到了這隻被父母遺棄的貝希摩斯幼崽。付出心血將其養大後，這隻巨獸奇蹟般地很親近人類。","你要牢記一點，那<hex:02100103>就是千萬不要去招<hex:02100103>惹貝希摩斯。<hex:02100103>　　　　——莫莉絲"
19,"騎上兵隊火蛟。<hex:02100103>灰黨所培育的戰鬥火蛟坐騎。","灰黨培育的戰鬥火蛟坐騎。從小就接受蜥蜴人族馴獸人的嚴格訓練，吃著成年火蛟的火炎袋長大，被馴服的同時兼具野性。","哈哈哈哈，一隻迷路走<hex:02100103>進了火蛟巢穴的小貓。<hex:02100103>　　　　——扎古茲·地"
20,"騎上月桂冠古菩猩猩。<hex:02100103>暫留地妖精們的大塊頭朋友。","暫留地妖精們的大塊頭朋友。因為壞妖精們的惡作劇，頭部的植物被拔走，變成了禿子。暫留地妖精們看它可憐，用花草給它編了頭冠，由此結下了友誼。","在古菩猩猩的頭上調皮<hex:02100103>搗蛋是最最令人興奮的<hex:02100103>遊戲了呼啾。<hex:02100103>　　　　　　　——常識"
21,"搭乘魔導裝甲丙型。<hex:02100103>金黃色的外裝甲能夠抵抗住大多數魔法，對異性也很有吸引力。","加雷馬帝國軍秘密開發的改良型「死神」。金色的裝甲是用了新開發的特殊塗料，可以抵抗艾歐澤亞同盟軍使用的魔法攻擊。","你怎麼把機器扔那就跑<hex:02100103>過來了！<hex:02100103>　　　　　　——比格斯"
22,"騎上夢魘。<hex:02100103>經過馴養的妖馬，要小心其好戰的性格。","經過馴養的妖馬「夢魘」。是由「無影」帶給蠻族們的，詳細的情況不明。性格好戰，但對持有魔法笛的人會無條件地服從。","既然夢魘成真，便要做<hex:02100103>好混沌將至的準備。<hex:02100103>　　　　　——於里昂熱"
23,"","",""
24,"","",""
25,"騎上胖陸行鳥。<hex:02100103>即使是陸行鳥的頭頭也不得不為了食物奔波啊。","為了食物而奔波的陸行鳥老大。如果用笛子召喚它，始終都會是一副好像要說「不要沒事亂吹笛」的態度。不過一旦最喜歡的基薩爾野菜掛在眼前，它就拋棄了一切的矜持，全心全意地開始奔跑。","咕……咕……還差點！<hex:02100103>　　　　　——胖陸行鳥"
26,"騎上兵隊水龍蜥。<hex:02100103>海獸馴養人帕阿所培育的水龍蜥。","諾布一夥裡的海獸馴養人帕阿培育出的水龍蜥坐騎。在陸地上行走的話蹼會礙事，所以在蹼上做出切口，使得它擁有了不輸給陸行鳥的速度，代價則是海裡游泳時的速度會變慢。","水龍蜥已經準備好了。<hex:02100103>　　　　——海獸馴養人"
27,"坐上爆彈吊椅。<hex:02100103>由氣體生物爆彈怪撐起的吊椅，坐著的時候一定要注意火燭。","第789團輔祭巴戈製作的爆彈怪裡有一些爆炸力馬馬虎虎的，被判定為失敗作。這些失敗作品被用來牽引這個吊椅。不過它們畢竟還是爆彈怪，乘坐時一定要小心火燭。","打中的話 很痛的哦！<hex:02100103>俺發火了！<hex:02100103>　　　　　——小哥布林"
28,"騎上火妖馬埃馱恩<hex:02100103>受到火神祝福的妖馬，呼吸中都帶有滾燙的熱流。","受到火神伊弗利特祝福的妖馬，身纏熊熊烈火。很可能是蜥蜴人族將妖馬夢魘獻祭給蠻神時產生出來的。呼吸中帶有宛如地獄業火的熱流。","仰天長嘶鳴，<hex:02100103>一騎絕塵無蹤影，<hex:02100103>烈馬向前行。<hex:02100103>　　　　——馬奉行"
