key,0
#,Text
offset,0
int32,str
0,""
1,"獲得率＋<hex:022003E80203>%"
2,"獲得率×<hex:022003E80203>"
3,"<hex:020821E803FF0A>可獲得<hex:FF12>獲得率 <hex:022003E80203>%<hex:03>"
4,"高於自身等級道具獲得率＋<hex:022003E80203>%"
5,"高於自身等級道具獲得率×<hex:022003E80203>"
6,"高於自身等級道具獲得率 <hex:022003E80203>%"
7,"低於自身等級道具獲得率＋<hex:022003E80203>%"
8,"低於自身等級道具獲得率×<hex:022003E80203>"
9,"低於自身等級道具獲得率 <hex:022003E80203>%"
10,""
11,""
12,""
13,""
14,"獲得數＋<hex:022003E80203>個"
15,"數量×<hex:022003E80203>"
16,"數量 <hex:022003E80203>個"
17,"獲得數＋<hex:022003E80203>個（上升型）"
18,"採集次數/耐久＋<hex:022003E80203>次"
19,"採集次數/耐久＋<hex:022003E80203>次（上升型）"
20,"隱藏道具出現率×<hex:022607E80265FF022E03>"
21,"<hex:020831E803FF16>可以採集收藏品<hex:FF16>不可採集收藏品<hex:03>"
22,"額外採集獎勵發生率＋<hex:022003E80203>%"
23,"額外採集獎勵發生率＋<hex:022003E80203>%（上升型）"
