key,0,1,2,3,4,5,6,7,8
#,Spot[0],Time[0],Spot[1],Time[1],Spot[2],Time[2],Image,TerritoryType,Name
offset,4,24,8,25,12,26,16,20,0
int32,IKDSpot,IKDTimeDefine,IKDSpot,IKDTimeDefine,IKDSpot,IKDTimeDefine,Image,TerritoryType,str
0,0,0,0,0,0,0,0,0,""
1,2,1,1,2,3,3,63172,721,"梅爾托爾海峽北航線"
2,2,2,1,3,3,1,63172,730,"梅爾托爾海峽北航線"
3,2,3,1,1,3,2,63172,731,"梅爾托爾海峽北航線"
4,1,1,2,2,4,3,63171,732,"羅塔諾海航線"
5,1,2,2,3,4,1,63171,733,"羅塔諾海航線"
6,1,3,2,1,4,2,63171,734,"羅塔諾海航線"
7,5,1,3,2,6,3,63173,770,"緋汐海航線"
8,5,2,3,3,6,1,63173,771,"緋汐海航線"
9,5,3,3,1,6,2,63173,772,"緋汐海航線"
10,5,1,4,2,7,3,63174,773,"羅斯利特灣航線"
11,5,2,4,3,7,1,63174,774,"羅斯利特灣航線"
12,5,3,4,1,7,2,63174,775,"羅斯利特灣航線"
