key,0,1,2,3
#,Name,Description,Icon,FCRank
offset,0,4,8,10
int32,str,str,Image,FCRank
0,"","",0,0
1,"部隊儲物櫃","可以使用部隊儲物櫃。",64301,1
2,"編輯隊徽","可以編輯隊徽的樣式。",64302,2
3,"隊徽裝飾","可以將隊徽裝飾到防具上。",64303,4
4,"部隊特效","可以使用部隊特效。",64304,5
5,"擴張儲物櫃","令儲物櫃增加2個箱子。",64305,3
6,"擴張隊徽","增加隊徽可以使用的圖案。",64306,7
7,"擴張部隊特效","增加部隊特效的儲存數量和發動數量。",64307,8
8,"土地所有權","可以購買冒險者住宅區的土地。",64308,6
9,"擴張儲物櫃","令儲物櫃增加1個箱子。",64305,9
10,"擴張部隊特效","增加部隊特效的儲存數量。",64307,10
11,"擴張儲物櫃","令儲物櫃增加1個箱子。",64305,11
12,"擴張部隊特效","增加部隊特效的儲存數量。",64307,12
13,"擴張部隊特效","增加部隊特效的儲存數量。",64307,13
