key,0,1,2,3,4,5,6,7
#,Name,Description,Icon,Action,Pet,MasterOrder,DisableOrder,
offset,0,4,8,12,14,15,15,15
int32,str,str,Image,Action,Pet,bit&01,bit&02,bit&04
0,"","",405,0,0,False,True,False
1,"回收","收回已經招出的召喚獸",530,0,0,False,True,False
2,"跟隨","讓召喚獸跟隨自己",529,0,0,False,True,False
3,"移動","讓召喚獸移動到指定位置",527,0,0,False,True,False
4,"待命","讓召喚獸在原地待命",528,0,0,False,True,False
5,"截擊","讓召喚獸在召喚者發動攻擊或受到攻擊後才開始進行戰鬥",531,0,0,False,True,False
6,"等待指示","讓召喚獸在接到召喚者的指示前不進行戰鬥",532,0,0,False,True,False
7,"自主戰鬥","讓召喚獸自主攻擊",786,0,0,True,False,False
8,"協助戰鬥","讓召喚獸進行攻擊， 不過一部分技能會在得到命令後才會發動",786,0,0,True,False,False
9,"突風","對目標發動風屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>90",786,637,1,True,False,False
10,"吹飛","對目標發動風屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>80<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>將目標擊退15米<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>",786,638,1,True,False,False
11,"下行突風","對目標及其周圍的敵人發動風屬性範圍魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>80<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>",786,639,1,True,False,False
12,"綠寶石之光","一定時間內，令目標受到的魔法傷害增加10%<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>15秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>",786,640,1,True,False,False
13,"利爪","對目標發動土屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>70<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>提升仇恨",786,633,2,True,False,False
14,"黃寶石之光","對自身周圍的敵人發動土屬性範圍魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>60<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>提升仇恨<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>",786,634,2,True,False,False
15,"硬化","一定時間內召喚獸所受到的傷害減輕20%　<hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>20秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>",786,635,2,True,False,False
16,"衝撞","對目標發動土屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>60<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>眩暈　<hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>2秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>",786,636,2,True,False,False
17,"烈風刃","對目標發動風屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>110",786,792,5,True,False,False
18,"震蕩波","對目標發動風屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>90<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>將目標擊退15米<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>",786,793,5,True,False,False
19,"大氣風斬","對目標及其周圍的敵人發動風屬性範圍魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>90<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>",786,794,5,True,False,False
20,"歪風","一定時間內，令目標受到的魔法傷害增加10%<hex:02100103><hex:024804F201F803><hex:024904F201F903>持續時間：<hex:0249020103><hex:0248020103>15秒<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>",786,795,5,True,False,False
21,"大氣爆發","對目標及其周圍的敵人發動風屬性範圍魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>250<hex:02100103>召喚者使用<hex:024804F201F403><hex:024904F201F503>「內力迸發」<hex:0249020103><hex:0248020103>時發動",786,796,5,True,False,False
22,"碎岩","對目標發動土屬性魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>85<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>提升仇恨",786,787,4,True,False,False
23,"山崩","對自身周圍的敵人發動土屬性範圍魔法攻擊　<hex:024804F201F803><hex:024904F201F903>威力：<hex:0249020103><hex:0248020103>70<hex:02100103><hex:024804F201F803><hex:024904F201F903>追加效果：<hex:0249020103><hex:0248020103>提升仇恨<hex:02100103><hex:024804F201F403><hex:024904F201F503>「協助戰鬥」狀態下在接到命令之前不會發動該技能<hex:0249020103><hex:0248020103>",786,788,4,True,False,False
