key,0,1,2,3,4,5,6,7,8
#,Name,Description,,Action,UnlockLink,Recast,UIPriority,Icon,
offset,0,4,16,12,14,17,18,8,19
int32,str,str,byte,Action,uint16,byte,byte,Image,bit&01
0,"","",0,0,0,0,0,0,False
1,"自動攻擊","以一定時間為間隔自動進行普通攻擊。",1,0,0,0,7,101,False
2,"跳躍","通過跳躍可以躍過較小的高低差。",1,0,0,0,11,102,False
3,"極限技","消耗極限槽可以施放強力的極限技。<hex:02100103>每種職能的極限技都有所不同。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>防護職業：<hex:0249020103><hex:0248020103>減輕全體隊員受到的傷害。<hex:02100103>（範圍：50米）<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>近戰職業：<hex:0249020103><hex:0248020103>發動單體高傷害攻擊。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>遠程職業：<hex:0249020103><hex:0248020103>對前方直線範圍發動高傷害攻擊。<hex:02100103>（範圍：30米）<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>魔法職業：<hex:0249020103><hex:0248020103>對指定地點發動範圍高傷害攻擊。<hex:02100103>（範圍：8米/10米/15米）<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>治療職業：<hex:0249020103><hex:0248020103>恢復全體隊員的體力，3級極限技附帶復活效果。<hex:02100103>以此復活時，身上本沒有衰弱狀態的隊員不會被附加衰弱狀態，<hex:02100103>身上已有衰弱狀態的隊員其衰弱的持續時間會刷新回最大值。<hex:02100103>（範圍：50米）",1,0,0,0,4,103,False
4,"衝刺","提高自身的移動速度。<hex:02100103><hex:024804F201F803><hex:024904F201F903>戰鬥中的持續時間：<hex:0249020103><hex:0248020103>10秒<hex:02100103><hex:024804F201F803><hex:024904F201F903>非戰鬥中的持續時間：<hex:0249020103><hex:0248020103>20秒<hex:02100103>※對戰任務內無法使用。",1,3,0,56,1,104,False
5,"分解","將道具分解成能夠再次使用的素材。",2,0,95,0,51,120,True
6,"修理","修復裝備的耐久度。<hex:02100103>需要用對應裝備等級的暗物質來當作觸媒。",2,0,0,0,31,106,True
7,"傳送","消耗金幣在共鳴過的乙太之光之間迅速移動。",1,5,4,0,2,111,True
8,"返回","傳送到上一次所記錄的返回點。",1,6,1,57,3,112,True
9,"隨機坐騎","隨機召喚出一種坐騎。",1,0,0,0,21,118,False
10,"隨機寵物","隨機召喚出一種寵物。",1,0,0,0,23,117,False
11,"","",0,0,0,0,0,0,False
12,"鑲嵌魔晶石","將寄宿有思念的魔晶石鑲嵌到裝備上對裝備進行強化。",2,0,11,0,33,107,True
13,"鑲嵌魔晶石II","將寄宿有思念的魔晶石鑲嵌到裝備上對裝備進行強化。<hex:02100103>雖然失敗的危險性很高，不過鑲嵌的數量可以擺脫魔晶石孔數量的限制。",2,0,12,0,34,108,True
14,"精製魔晶石","抽出物品上寄宿的思念乙太，將其精製成魔晶石。",2,0,13,0,32,109,True
15,"染色","消耗染劑來改變裝備的顏色。",2,0,14,0,41,110,True
16,"從左至右切換敵人","從最近的敵人開始從左至右切換所選目標。",3,0,0,0,12,113,True
17,"從右至左切換敵人","從最近的敵人開始從右至左切換所選目標。",3,0,0,0,13,114,True
18,"放置","放下手中的物品。",1,0,0,0,0,61112,False
19,"解讀","解讀陳舊的地圖。",1,1694,25,0,61,115,False
20,"挖掘","探索周圍環境以確認地圖上記載的寶物是否存在。<hex:02100103><hex:024804F201F803><hex:024904F201F903>範圍：<hex:0249020103><hex:0248020103>半徑30米",1,1695,25,67,62,116,False
21,"精選","在採集到的收藏品中進行精選，發現新的道具。",2,0,256,0,52,121,True
22,"武具投影","消耗幻象棱晶來改變裝備的外型。",2,0,15,0,42,119,True
23,"跳下","從坐騎上下來。",1,0,0,0,0,61128,False
24,"隨機飛行坐騎","隨機召喚出一種飛行坐騎。",1,0,0,0,0,122,False
25,"投影模板","一次性對數件裝備進行武具投影。",2,0,15,0,43,125,True
26,"任務指令1","使用迷宮挑戰或蠻神戰等任務中特有的指令。",1,0,0,0,5,123,False
27,"任務指令2","使用迷宮挑戰或蠻神戰等任務中特有的指令。",1,0,0,0,6,124,False
