key,0,1,2,3,4,5,6,7,8
#,StampIcon,,Category,,,,,,Name
offset,4,8,12,20,16,22,22,22,0
int32,Image,int32,GroupPoseStampCategory,uint16,int32,bit&01,bit&02,bit&04,str
0,0,0,0,0,0,False,False,False,"未設定"
1,120021,2,10,200,0,False,False,False,"使命開始！"
2,120022,2,10,201,0,False,False,False,"使命完成！"
3,0,0,0,0,0,False,False,False,""
4,120024,2,10,203,0,False,False,False,"重新挑戰！"
5,120001,2,11,100,0,False,False,False,"接受任務！"
6,120002,2,11,101,0,False,False,False,"任務完成！"
7,120081,2,12,303,0,False,False,False,"臨危受命！"
8,120082,2,12,304,0,False,False,False,"危命完成！"
9,0,0,0,0,0,False,False,False,""
10,120111,2,5,10,0,False,False,False,"升級！"
11,121561,2,13,400,0,False,False,False,"機遇臨門！"
12,121562,2,13,401,0,False,False,False,"天賜良機！"
13,0,0,0,0,0,False,False,False,""
14,121551,2,13,403,0,False,False,False,"出發！"
15,121552,2,13,404,0,False,False,False,"抵達終點！"
16,121553,2,13,405,0,False,False,False,"挑戰成功！"
17,121501,2,13,406,0,False,False,False,"成功！"
18,121502,2,13,407,0,False,False,False,"失敗……"
19,121511,2,13,408,0,False,False,False,"全力一擊！"
20,121512,2,13,409,0,False,False,False,"打得漂亮！"
21,121513,2,13,410,0,False,False,False,"打得好！"
22,0,0,0,0,0,False,False,False,""
23,120114,2,5,23,0,False,False,False,"輕銳小隊"
24,120115,2,5,24,0,False,False,False,"滿編小隊"
25,120119,2,5,11,0,False,False,False,"等級下降……"
26,76391,2,16,2,0,True,False,False,"FINAL FANTASY XIV ONLINE（白色）"
27,76392,2,16,1,0,True,False,False,"FINAL FANTASY XIV ONLINE（黑色）"
28,0,0,0,0,0,False,False,False,""
29,0,0,0,0,0,False,False,False,""
30,76531,1,4,1,0,True,False,False,"九宮幻卡：★"
31,76532,1,4,2,0,True,False,False,"九宮幻卡：★★"
32,76533,1,4,3,0,True,False,False,"九宮幻卡：★★★"
33,76534,1,4,4,0,True,False,False,"九宮幻卡：★★★★"
34,76535,1,4,5,0,True,False,False,"九宮幻卡：★★★★★"
35,76540,1,4,12,0,True,False,False,"九宮幻卡：1"
36,76541,1,4,13,0,True,False,False,"九宮幻卡：2"
37,76542,1,4,14,0,True,False,False,"九宮幻卡：3"
38,76543,1,4,15,0,True,False,False,"九宮幻卡：4"
39,76544,1,4,16,0,True,False,False,"九宮幻卡：5"
40,76545,1,4,17,0,True,False,False,"九宮幻卡：6"
41,76546,1,4,18,0,True,False,False,"九宮幻卡：7"
42,76547,1,4,19,0,True,False,False,"九宮幻卡：8"
43,76548,1,4,20,0,True,False,False,"九宮幻卡：9"
44,76549,1,4,21,0,True,False,False,"九宮幻卡：A"
45,76539,1,4,11,0,True,False,False,"九宮幻卡：0"
46,0,0,0,0,0,False,False,False,""
47,0,0,0,0,0,False,False,False,""
48,0,0,0,0,0,False,False,False,""
49,0,0,0,0,0,False,False,False,""
50,76301,1,6,2,0,True,False,False,"國旗：格里達尼亞"
51,76302,1,6,1,0,True,False,False,"國旗：利姆薩·羅敏薩"
52,76303,1,6,3,0,True,False,False,"國旗：烏爾達哈"
53,76304,1,6,4,0,True,False,False,"國旗：伊修加德"
54,76305,1,6,5,0,True,False,False,"國旗：阿拉米格"
55,76306,1,6,6,0,True,False,False,"國旗：黃金港"
56,76307,1,6,7,0,True,False,False,"國旗：多瑪"
57,76308,1,6,8,0,True,False,False,"國旗：水晶都"
58,76309,1,6,9,0,True,False,False,"國旗：游末邦"
59,76310,1,6,10,0,True,False,False,"國旗：博茲雅"
60,76651,1,3,1,0,True,True,True,"表情：平常"
61,76652,1,3,2,0,True,True,True,"表情：微笑"
62,76653,1,3,3,0,True,True,True,"表情：笑顏"
63,76654,1,3,4,0,True,True,True,"表情：飛眼"
64,0,0,0,0,0,False,False,False,""
65,76656,1,3,5,0,True,True,True,"表情：自信"
66,76657,1,3,6,0,True,True,True,"表情：無畏"
67,76658,1,3,7,0,True,True,True,"表情：閉目"
68,76659,1,3,8,0,True,True,True,"表情：意外"
69,76660,1,3,9,0,True,True,True,"表情：吃驚"
70,76661,1,3,10,0,True,True,True,"表情：嘟嘴"
71,76662,1,3,11,0,True,True,True,"表情：認真"
72,76663,1,3,12,0,True,True,True,"表情：柔和"
73,76664,1,3,13,0,True,True,True,"表情：滿足"
74,76665,1,3,14,0,True,True,True,"表情：咧嘴"
75,76666,1,3,15,0,True,True,True,"表情：沉思"
76,0,0,0,0,0,False,False,False,""
77,0,0,0,0,0,False,False,False,""
78,0,0,0,0,0,False,False,False,""
79,0,0,0,0,0,False,False,False,""
80,0,0,0,0,0,False,False,False,""
81,0,0,0,0,0,False,False,False,""
82,0,0,0,0,0,False,False,False,""
83,0,0,0,0,0,False,False,False,""
84,0,0,0,0,0,False,False,False,""
85,0,0,0,0,0,False,False,False,""
86,0,0,0,0,0,False,False,False,""
87,0,0,0,0,0,False,False,False,""
88,0,0,0,0,0,False,False,False,""
89,0,0,0,0,0,False,False,False,""
90,76601,1,7,1,0,True,False,False,"符號：歎號"
91,76602,1,7,2,0,True,False,False,"符號：問號"
92,76603,1,7,3,0,True,False,False,"符號：歎問號"
93,76604,1,7,4,0,True,False,False,"符號：問歎號"
94,76605,1,7,5,0,True,False,False,"符號：省略號"
95,0,0,0,0,0,False,False,False,""
96,0,0,0,0,0,False,False,False,""
97,0,0,0,0,0,False,False,False,""
98,0,0,0,0,0,False,False,False,""
99,0,0,0,0,0,False,False,False,""
100,0,0,0,0,0,False,False,False,""
101,0,0,0,0,0,False,False,False,""
102,0,0,0,0,0,False,False,False,""
103,0,0,0,0,0,False,False,False,""
104,0,0,0,0,0,False,False,False,""
105,0,0,0,0,0,False,False,False,""
106,0,0,0,0,0,False,False,False,""
107,0,0,0,0,0,False,False,False,""
108,0,0,0,0,0,False,False,False,""
109,0,0,0,0,0,False,False,False,""
110,76551,1,2,1,0,True,True,True,"氣泡：標準"
111,76552,1,2,2,0,True,True,True,"氣泡：思考"
112,76553,1,2,3,0,True,True,True,"氣泡：吃驚"
113,0,0,0,0,0,False,False,False,""
114,0,0,0,0,0,False,False,False,""
115,0,0,0,0,0,False,False,False,""
116,0,0,0,0,0,False,False,False,""
117,0,0,0,0,0,False,False,False,""
118,0,0,0,0,0,False,False,False,""
119,0,0,0,0,0,False,False,False,""
120,0,0,0,0,0,False,False,False,""
121,0,0,0,0,0,False,False,False,""
122,0,0,0,0,0,False,False,False,""
123,0,0,0,0,0,False,False,False,""
124,0,0,0,0,0,False,False,False,""
125,0,0,0,0,0,False,False,False,""
126,0,0,0,0,0,False,False,False,""
127,0,0,0,0,0,False,False,False,""
128,0,0,0,0,0,False,False,False,""
129,0,0,0,0,0,False,False,False,""
130,76401,1,9,2,0,True,True,True,"裝飾：閃亮1"
131,76402,1,9,43,0,True,True,True,"裝飾：心形"
132,76403,1,9,21,0,True,True,True,"裝飾：光泡"
133,76404,1,9,61,0,True,True,True,"裝飾：足跡"
134,76451,1,9,1,0,True,True,True,"裝飾：閃亮1"
135,76452,1,9,110,0,True,True,True,"裝飾：墨鏡"
136,76453,1,9,42,0,True,True,True,"裝飾：心形"
137,76454,1,9,20,0,True,True,True,"裝飾：光泡"
138,76455,1,9,111,0,True,True,True,"裝飾：口紅"
139,76456,1,9,60,0,True,True,True,"裝飾：足跡"
140,76457,1,9,100,0,True,True,True,"裝飾：箭頭"
141,76410,1,9,31,0,True,True,True,"裝飾：三角形"
142,76411,1,9,33,0,True,True,True,"裝飾：四邊形"
143,76409,1,9,35,0,True,True,True,"裝飾：五角形"
144,76405,1,9,45,0,True,True,True,"裝飾：花朵"
145,76408,1,9,41,0,True,True,True,"裝飾：圓形虛化"
146,76406,1,9,51,0,True,True,True,"裝飾：音符1"
147,76407,1,9,52,0,True,True,True,"裝飾：音符2"
148,76459,1,9,50,0,True,True,True,"裝飾：音符"
149,76462,1,9,30,0,True,True,True,"裝飾：三角形"
150,76463,1,9,32,0,True,True,True,"裝飾：四邊形"
151,76461,1,9,34,0,True,True,True,"裝飾：五角形"
152,76458,1,9,44,0,True,True,True,"裝飾：花朵"
153,76460,1,9,40,0,True,True,True,"裝飾：圓形虛化"
154,76464,1,9,3,0,True,True,True,"裝飾：閃亮2"
155,76412,1,9,4,0,True,True,True,"裝飾：閃亮2"
156,76465,1,9,5,0,True,True,True,"裝飾：閃亮3"
157,76413,1,9,6,0,True,True,True,"裝飾：閃亮3"
158,76466,1,9,7,0,True,True,True,"裝飾：閃亮4"
159,76414,1,9,8,0,True,True,True,"裝飾：閃亮4"
160,76415,1,9,53,0,True,True,True,"裝飾：星星"
161,76467,1,9,90,0,True,True,True,"裝飾：彩色紙屑"
162,0,0,0,0,0,False,False,False,""
163,0,0,0,0,0,False,False,False,""
164,0,0,0,0,0,False,False,False,""
165,0,0,0,0,0,False,False,False,""
166,0,0,0,0,0,False,False,False,""
167,0,0,0,0,0,False,False,False,""
168,0,0,0,0,0,False,False,False,""
169,0,0,0,0,0,False,False,False,""
170,76851,1,8,1,0,True,True,True,"食品：貓魅風味山珍烤串"
171,76852,1,8,2,0,True,True,True,"食品：羚羊肉排"
172,76853,1,8,3,0,True,True,True,"食品：渡渡鳥蛋煎蛋卷"
173,76854,1,8,4,0,True,True,True,"食品：煎跳蜥蛋"
174,76855,1,8,5,0,True,True,True,"食品：鹽烤公主鱒"
175,76856,1,8,6,0,True,True,True,"食品：貓魅風味海產烤串"
176,76857,1,8,7,0,True,True,True,"食品：高山蘿蔔沙拉"
177,76858,1,8,8,0,True,True,True,"食品：貓魅風味森鮮烤串"
178,76859,1,8,9,0,True,True,True,"食品：煎餅"
179,76860,1,8,10,0,True,True,True,"食品：心形卷餅"
180,76861,1,8,11,0,True,True,True,"食品：騎士麵包"
181,76862,1,8,12,0,True,True,True,"食品：俾斯麥雞蛋三明治"
182,76863,1,8,13,0,True,True,True,"食品：蘋果撻"
183,76864,1,8,14,0,True,True,True,"食品：翡翠豆湯"
184,76865,1,8,15,0,True,True,True,"食品：生薑餅乾"
185,76866,1,8,16,0,True,True,True,"食品：愛心巧克力"
186,76867,1,8,17,0,True,True,True,"食品：南瓜曲奇"
187,76868,1,8,18,0,True,True,True,"食品：橙汁"
188,76869,1,8,19,0,True,True,True,"食品：香草茶"
189,76870,1,8,20,0,True,True,True,"食品：炸魚套餐"
190,76871,1,8,21,0,True,True,True,"食品：伊修加德鬆餅"
191,76872,1,8,22,0,True,True,True,"食品：長棍麵包"
192,0,0,0,0,0,False,False,False,""
193,0,0,0,0,0,False,False,False,""
194,0,0,0,0,0,False,False,False,""
