key,0,1,2,3,4,5,6,7
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
offset,0,8,4,9,10,11,12,13
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,"",0,"",0,0,1,0,0
1,"礦脈",0,"",0,0,1,0,0
2,"石場",0,"",0,0,1,0,0
3,"良材",0,"",0,0,1,0,0
4,"草場",0,"",0,0,1,0,0
5,"未知的礦脈",0,"",0,0,1,0,0
6,"未知的石場",0,"",0,0,1,0,0
7,"未知的良材",0,"",0,0,1,0,0
8,"未知的草場",0,"",0,0,1,0,0
9,"限時的礦脈",0,"",0,0,1,0,0
10,"限時的石場",0,"",0,0,1,0,0
11,"限時的良材",0,"",0,0,1,0,0
12,"限時的草場",0,"",0,0,1,0,0
13,"傳說的礦脈",0,"",0,0,1,0,0
14,"傳說的石場",0,"",0,0,1,0,0
15,"傳說的良材",0,"",0,0,1,0,0
16,"傳說的草場",0,"",0,0,1,0,0
17,"隱藏的礦脈",0,"",0,0,1,0,0
18,"隱藏的石場",0,"",0,0,1,0,0
19,"隱藏的良材",0,"",0,0,1,0,0
20,"隱藏的草場",0,"",0,0,1,0,0
21,"漁場",0,"",0,0,1,0,0
22,"魚影",0,"",0,0,1,0,0
23,"夢幻的礦脈",0,"",0,0,1,0,0
24,"夢幻的石場",0,"",0,0,1,0,0
25,"夢幻的良材",0,"",0,0,1,0,0
26,"夢幻的草場",0,"",0,0,1,0,0
