key,0,1,2,3,4,5,6,7,8,9,10,11
#,PopRange,TerritoryType,ConditionSuccessEvent,ConditionFailEvent,ConfirmEvent,WarpCondition,WarpLogic,StartCutscene,EndCutscene,CanSkipCutscene,Name,Question
offset,8,24,12,16,20,26,28,30,32,34,0,4
int32,Level,TerritoryType,DefaultTalk,DefaultTalk,DefaultTalk,WarpCondition,WarpLogic,Cutscene,Cutscene,bit&01,str,str
131072,0,0,0,0,0,1,1,0,0,False,"",""
131073,2040811,148,0,0,0,2,2,0,0,False,"",""
131074,3884000,204,590352,590353,0,3,1,0,0,False,"","要進入神勇隊司令室嗎？"
131075,3884182,132,0,0,0,1,1,0,0,False,"","要離開神勇隊司令室嗎？"
131076,3878860,133,0,0,0,1,1,0,0,False,"","要離開芙蓉圓桌嗎？"
131077,1381039,152,590354,590355,0,4,1,0,0,False,"前往花蜜棧橋","要乘船前往花蜜棧橋嗎？"
131078,1381038,133,590356,590259,0,4,1,0,0,False,"","要乘船前往格里達尼亞舊街嗎？"
131079,4124796,177,0,0,0,5,3,0,0,False,"",""
131080,1359058,179,0,0,0,5,4,0,0,False,"",""
131081,4124801,178,0,0,0,5,5,0,0,False,"",""
131082,4125264,128,0,0,0,1,1,0,0,False,"","要離開嗎？"
131083,2232680,132,0,0,0,1,1,0,0,False,"","要離開嗎？"
131084,4125288,130,0,0,0,1,1,0,0,False,"","要離開嗎？"
131085,4107979,131,0,0,0,1,1,0,0,False,"","要離開銀胄團總長室嗎？"
131086,4143657,140,590441,590620,590448,6,1,0,0,False,"","要乘船前往月牙灣嗎？<hex:02100103>交通費為40金幣。"
131087,4143677,140,590442,590621,590449,6,1,0,0,False,"","要乘船前往白銀集市嗎？<hex:02100103>交通費為40金幣。"
131088,4107477,212,0,590450,0,7,1,0,0,False,"","要進入沙之家嗎？"
131089,4132388,140,0,0,0,1,1,0,0,False,"","要離開沙之家嗎？"
131090,4148347,212,0,590564,0,21,1,0,0,False,"","要進入拂曉之間嗎？"
131091,4148350,212,0,0,0,1,1,0,0,False,"","要離開拂曉之間嗎？"
131092,4158063,128,0,0,0,1,1,0,0,False,"4層：利姆薩·羅敏薩飛艇坪","要前往4層的利姆薩·羅敏薩飛艇坪嗎？"
131093,4158069,128,0,0,0,1,1,0,0,False,"2層：沉溺海豚亭","要前往2層的沉溺海豚亭嗎？"
131094,4161445,129,0,0,0,1,1,0,0,False,"1層：工事大廳","要前往1層的工事大廳嗎？"
131095,4164411,130,0,0,0,1,1,0,0,False,"4層：烏爾達哈飛艇坪","要前往4層的烏爾達哈飛艇坪嗎？"
131096,4164414,131,0,0,0,1,1,0,0,False,"2層：政府層","要前往2層的政府層嗎？"
131097,4164413,130,0,0,0,1,1,0,0,False,"1層：紅玉大路國際市場","要前往1層的紅玉大路國際市場嗎？"
131098,4087066,210,590451,590452,0,8,1,0,0,False,"","要進入銀胄團總長室嗎？"
131099,4165046,146,590611,0,0,1,1,0,0,False,"","要進入有關區域嗎？"
131100,4165037,145,590610,0,0,1,1,0,0,False,"","要從水邊離開嗎？"
131101,4103382,132,0,590530,590453,9,1,227,232,True,"前往格里達尼亞","要前往格里達尼亞嗎？<hex:02100103>交通費為120金幣。"
131102,4103399,128,0,590530,590453,9,1,227,230,True,"前往利姆薩·羅敏薩","要前往利姆薩·羅敏薩嗎？<hex:02100103>交通費為120金幣。"
131103,4103339,130,0,589916,590454,9,1,231,228,True,"前往烏爾達哈","要前往烏爾達哈嗎？<hex:02100103>交通費為120金幣。"
131104,4103399,128,0,589916,590454,9,1,231,230,True,"前往利姆薩·羅敏薩","要前往利姆薩·羅敏薩嗎？<hex:02100103>交通費為120金幣。"
131105,4103339,130,0,590531,590455,9,1,229,228,True,"前往烏爾達哈","要前往烏爾達哈嗎？<hex:02100103>交通費為120金幣。"
131106,4103382,132,0,590531,590455,9,1,229,232,True,"前往格里達尼亞","要前往格里達尼亞嗎？<hex:02100103>交通費為120金幣。"
131107,4165398,129,0,591076,590456,10,1,235,234,True,"","要前往利姆薩·羅敏薩嗎？<hex:02100103>交通費為80金幣。"
131108,4165376,140,0,591077,590457,10,1,233,236,True,"","要前往黃昏灣嗎？<hex:02100103>交通費為80金幣。"
131109,4165794,138,590514,590515,590622,11,1,0,0,False,"前往小麥酒港","要前往小麥酒港嗎？<hex:02100103>交通費為40金幣。"
131110,4165749,129,590516,590517,590623,11,1,0,0,False,"前往利姆薩·羅敏薩","要前往利姆薩·羅敏薩嗎？<hex:02100103>交通費為40金幣。"
131111,4165755,137,590518,590519,590624,12,1,0,0,False,"前往太陽海岸","要前往太陽海岸嗎？<hex:02100103>交通費為40金幣。"
131112,4165749,129,590520,590521,590625,12,1,0,0,False,"前往利姆薩·羅敏薩","要前往利姆薩·羅敏薩嗎？<hex:02100103>交通費為40金幣。"
131113,4165801,139,590510,0,590511,13,1,0,0,False,"前往吉吉盧恩交易站","要前往吉吉盧恩交易站嗎？<hex:02100103>交通費為40金幣。"
131114,4165797,139,590512,0,590513,13,1,0,0,False,"前往梅梅盧恩交易站","要前往梅梅盧恩交易站嗎？<hex:02100103>交通費為40金幣。"
131115,4165794,138,590522,590626,590628,14,1,0,0,False,"前往小麥酒港","要前往小麥酒港嗎？<hex:02100103>交通費為40金幣。"
131116,4165877,135,590523,590627,590629,14,1,0,0,False,"前往守炬埠頭","要前往守炬埠頭嗎？<hex:02100103>交通費為40金幣。"
131117,1317627,148,590524,590525,0,15,1,0,0,False,"從白狼門離開","要走出白狼門嗎？"
131118,1317561,132,590529,590526,0,15,1,0,0,False,"","要進入格里達尼亞嗎？"
131119,4165759,137,590527,0,590630,16,1,0,0,False,"前往接雨草樹林","要前往接雨草樹林嗎？<hex:02100103>交通費為40金幣。"
131120,4165758,137,590528,0,590631,16,1,0,0,False,"前往隱秘瀑布","要前往隱秘瀑布嗎？<hex:02100103>交通費為40金幣。"
131121,3877982,205,590535,590536,0,19,1,0,0,False,"前往芙蓉圓桌","要前往芙蓉圓桌嗎？"
131122,4146949,198,590563,0,0,20,1,0,0,False,"前往提督室","要前往提督室嗎？"
131123,4169071,129,0,0,0,1,1,0,0,False,"","要離開提督室嗎？"
131124,4190590,134,0,0,0,2,2,0,0,False,"",""
131125,4189532,141,0,0,0,2,2,0,0,False,"",""
131126,4165939,146,590603,0,0,1,1,0,0,False,"","要前往牛魔里程嗎？"
131127,4165935,146,590604,0,0,1,1,0,0,False,"","要前往納爾神祠嗎？"
131128,4103339,130,590607,0,0,1,1,0,0,False,"","要返回休息廳嗎？"
131129,4103382,132,590608,0,0,1,1,0,0,False,"","要返回休息廳嗎？"
131130,4103399,128,590609,0,0,1,1,0,0,False,"","要返回休息廳嗎？"
131131,4264415,250,590632,0,0,1,1,0,0,False,"前往狼獄水上競技場","要前往狼獄水上競技場嗎？"
131132,4264426,135,590633,0,0,1,1,0,0,False,"前往莫拉比造船廠","要前往莫拉比造船廠嗎？"
131133,4165794,138,590634,0,0,1,1,0,0,False,"前往小麥酒港","要前往小麥酒港嗎？"
131134,4264587,138,590635,590636,590637,22,1,0,0,False,"前往幻影群島","要前往幻影群島嗎？<hex:02100103>交通費為40金幣。"
131135,4165794,138,0,0,0,1,1,0,0,False,"前往小麥酒港","要前往小麥酒港嗎？"
131136,4264605,138,590638,590639,590640,23,1,0,0,False,"前往海蛇巢穴","要前往海蛇巢穴嗎？<hex:02100103>交通費為40金幣。"
131137,4321669,156,0,0,0,1,1,0,0,False,"","要離開秘密工房嗎？"
131138,4102803,132,590843,0,0,1,1,0,0,False,"","要前往格里達尼亞嗎？"
131139,4332112,137,0,0,0,1,1,0,0,False,"","要退出「巴哈姆特大迷宮邂逅之章」嗎？"
131140,4332121,147,0,0,0,1,1,0,390,False,"","要退出「巴哈姆特大迷宮邂逅之章」嗎？"
131141,4331241,247,0,0,0,1,1,389,0,False,"","要啟動嗎？"
131142,4498658,351,0,0,0,1,1,0,0,False,"","要進入拂曉之間嗎？"
131143,4498656,351,0,0,0,1,1,0,0,False,"","要離開拂曉之間嗎？"
131144,4498659,351,0,0,0,1,1,0,0,False,"","要進入石之家嗎？"
131145,4498857,156,0,0,0,1,1,0,0,False,"","要離開石之家嗎？"
131146,4506602,156,0,0,0,1,1,0,0,False,"","要進入八劍士前庭嗎？"
131147,4506605,156,0,0,0,1,1,0,0,False,"","要離開八劍士前庭嗎？"
131148,0,0,0,0,0,1,6,0,0,False,"","要進入這間房屋嗎？"
131149,0,0,0,0,0,1,7,0,0,False,"","要離開這間房屋嗎？"
131150,4549235,340,591149,0,0,1,1,0,0,False,"",""
131151,4549391,148,591150,0,0,1,1,0,0,False,"",""
131152,4618997,180,0,0,0,1,1,0,0,False,"","要離開第13洞穴團煉金工房嗎？"
131153,4629135,138,0,0,0,1,1,0,0,False,"","要返回到諾布養育場嗎？"
131154,4629135,138,0,0,0,1,1,0,0,False,"","要返回到諾布養育場嗎？"
131155,4629135,138,0,0,0,1,1,0,0,False,"","要返回到諾布養育場嗎？"
131156,4629135,138,0,0,0,1,1,0,0,False,"","要返回到諾布養育場嗎？"
131157,4629135,138,0,0,0,1,1,0,0,False,"","要返回到諾布養育場嗎？"
131158,4549235,340,591254,591260,0,24,1,0,0,False,"前往薰衣草苗圃",""
131159,1381038,133,591255,591261,0,24,1,0,0,False,"",""
131160,4664433,339,591256,591262,0,25,1,0,0,False,"前往海霧村",""
131161,4165749,129,591257,591263,0,25,1,0,0,False,"",""
131162,4656744,341,591258,591264,0,26,1,0,0,False,"",""
131163,4660251,131,591259,591265,0,26,1,0,0,False,"",""
131164,4678209,154,0,0,0,1,1,0,0,False,"","要離開艾歐澤亞地下空間嗎？"
131165,4332121,147,0,0,0,1,1,0,0,False,"","要退出「巴哈姆特大迷宮入侵之章」嗎？"
131166,5036036,395,591750,0,0,1,1,0,0,False,"","要進入接待室嗎？"
131167,5036025,155,0,0,0,1,1,0,0,False,"","要離開接待室嗎？"
131168,5038695,152,0,0,0,1,1,0,0,False,"","要離開會場嗎？"
131169,5049372,137,590097,0,0,1,1,0,0,False,"前往海上的大型船","要前往海上的大型船嗎？"
131170,4165755,137,590098,0,0,1,1,0,0,False,"前往太陽海岸","要前往太陽海岸嗎？"
131171,5341046,129,0,0,0,1,1,0,0,False,"","要離開雙劍師公會嗎？"
131172,5341051,129,591865,0,0,27,1,0,0,False,"進入雙劍師公會","要進入雙劍師公會嗎？"
131173,5341521,137,0,0,0,1,1,0,0,False,"","要離開碼頭小屋嗎？"
131174,5341524,137,591889,591888,0,28,1,0,0,False,"進入碼頭小屋","要進入碼頭小屋嗎？"
131175,5404445,147,0,0,0,1,1,0,0,False,"","要離開艾歐澤亞地下空間嗎？"
131176,5038252,392,0,0,0,1,8,0,0,False,"","要進入久遠聖堂嗎？"
131177,5448900,388,591975,0,0,1,1,0,0,False,"","要前往陸行鳥廣場嗎？"
131178,5448873,144,591981,0,0,1,1,0,0,False,"","要前往入口廣場嗎？"
131179,5649379,144,0,591990,0,29,1,0,0,False,"前往金碟遊樂場","要前往金碟遊樂場嗎？<hex:02100103>不收取任何交通費用。"
131180,5649379,144,0,591990,0,29,1,0,0,False,"前往金碟遊樂場","要前往金碟遊樂場嗎？<hex:02100103>不收取任何交通費用。"
131181,5649379,144,0,591990,0,29,1,0,0,False,"前往金碟遊樂場","要前往金碟遊樂場嗎？<hex:02100103>不收取任何交通費用。"
131182,4103399,128,0,0,592264,30,1,0,0,False,"前往利姆薩·羅敏薩","要前往利姆薩·羅敏薩嗎？<hex:02100103>交通費為120金幣。"
131183,4103339,130,0,0,0,1,1,0,0,False,"前往烏爾達哈","要前往烏爾達哈嗎？<hex:02100103>不收取任何交通費用。"
