key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,ENpc[Name],Objective,Description{1},Description{2},Description{3},CompletionBonusExp,RewardExp,CompletionBonusGil,RewardGil,,,,,,,,
offset,56,0,4,8,12,16,20,24,28,32,36,40,44,48,50,52,53
int32,ENpcResident,str,str,str,str,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint16,uint16,bool,bool
0,0,"","","","",0,0,0,0,0,0,0,0,0,0,False,False
1,1004746,"注意敵人的視野範圍，將魔物全部消滅！","同一集團的魔物之間會互相產生聯繫。<hex:02100103>切記不要同時對不同的集團發生衝突！<hex:02100103>戰鬥時要小心敵人的視野範圍，<hex:02100103>同時也要小心會發動擊退技能的敵人！","被古菩猩猩發現之後會受到所有敵人的攻擊！<hex:02100103>戰鬥的時候一定要小心不要闖入它的視野範圍。<hex:02100103>先將周圍的敵人逐個擊破吧！","這是一場與魔物進行實戰的訓練。<hex:02100103>面對陸續出現的魔物一定不要慌張。<hex:02100103>與隊友齊心協力才是取勝的關鍵！<hex:02100103><hex:02100103>行動到魔物的視野中時會遭到攻擊，<hex:02100103>因此一定要時刻注意自己所處的位置，<hex:02100103>合理制定路線並逐個擊破才是上策。",1640,330,1120,50,0,0,0,0,0,0,False,False
2,1004742,"打倒會在戰鬥中召喚增員的波克曼！","波克曼體力消耗一定程度時會呼喚增援！<hex:02100103>防護職業要將所有敵人的仇恨都吸引住，同時與進攻職業一起戰鬥！<hex:02100103><hex:02100103>※防護職業：高體力高防禦，承受敵人攻擊的職業。","敵人數量太多！進入持久戰會很危險！<hex:02100103>進攻職業一定要優先攻擊援兵減少敵人數量！<hex:02100103><hex:02100103>※進攻職業：高攻擊力，負責對敵人輸出傷害的職業。","迅速討伐徘徊在塔姆·塔拉墓園附近的死靈！<hex:02100103>不過要注意一點，死靈中有波克曼出沒，<hex:02100103>這種巨大的鎧甲非常棘手，一定要小心。<hex:02100103><hex:02100103>當波克曼認為自己陷入了危機之時，它會召喚出<hex:02100103>同伴來協助戰鬥，因此一定要避免進入持久戰。<hex:02100103>它還擅長範圍性的攻擊，最好分散開進行戰鬥。",1710,340,1160,50,0,0,0,0,0,0,False,False
3,1004744,"突破三道關門，打倒最深處的越壁蟾蜍！","將敵人全部消滅，確保安全後再將門打開。<hex:02100103>不過要注意，有些操作桿無法打開關門。","到達最深處之後盲頭蟹會開始破壞岩壁。<hex:02100103>一定要抓緊時間速戰速決！","我們即將進行一場模擬攻佔敵方據點的實戰演習。<hex:02100103>清理掉沿路魔物的同時衝破三道防禦關門，<hex:02100103>最終消滅最深處的強力敵人——越壁蟾蜍。<hex:02100103><hex:02100103>要注意，最深處地區的岩壁內部還有著大量的盲頭蟹。<hex:02100103>如果戰鬥拖得時間過長，它們會打破岩壁衝出來，<hex:02100103>這會令戰況陷入更加不利的局面。一定要速戰速決。",3110,620,1740,80,0,0,0,0,0,0,False,False
4,1004744,"削弱金幣龜的力量，用陷阱將其捕獲！","盜賊會不斷對金幣龜進行恢復。<hex:02100103>將金幣龜從盜賊身邊帶走！","打倒火元精獲得它們的核心，並點燃香草。<hex:02100103>將金幣龜引誘到催眠氣體範圍內將其捕獲！","大富豪泰勒吉·阿代勒吉的寵物「金幣龜」<hex:02100103>被盜賊集團給綁架走了。當然，目的是為了要錢。<hex:02100103>我們的委託人希望在保證寵物安全的情況下<hex:02100103>將其從盜賊手中拯救出來。有一種香草在點燃後能產生具有催眠效果的氣體。<hex:02100103>在將金幣龜的體力削弱到一定程度之後，<hex:02100103>利用「火元精核心」將香草點燃可以將其催眠。<hex:02100103>這樣一來就能夠成功活捉了。",3240,640,1810,80,0,0,0,0,0,0,False,False
5,1004742,"避開逐漸擴大的猛毒地區進行戰鬥！","進入「毒花粉霧」區域內部會受到傷害！<hex:02100103>一定要注意別受到無謂的損傷！","敵人處於「毒花粉霧」內部時，要將其引誘出來！<hex:02100103>面向我方噴出「毒花粉霧」時要及時迴避！","森林中出現了一種攜帶有劇毒的妖花，<hex:02100103>現在已經對大量的動植物造成了傷害。<hex:02100103><hex:02100103>據說妖花能夠散播含有劇毒的花粉霧，<hex:02100103>一旦接近毒霧，便會陷入猛毒狀態，<hex:02100103>體力也會逐漸減少，對任何生物都有效果。<hex:02100103>在與妖花作戰時一定要注意周圍的環境，<hex:02100103>最好將其引到安全地帶再全力攻擊。",3760,750,2280,110,0,0,0,0,0,0,False,False
6,1004742,"注意敵人的治療職業，將敵人小隊各個擊破！","稍微靠近一點也會吸引到敵人的注意。<hex:02100103>戰鬥時一定要謹慎，不要吸引太多的敵人！","敵人隊伍中有負責進行恢復的幻術師。<hex:02100103>放置不管的話會陷入拉鋸戰，一定要優先打倒！","「寄生蜂團」在托托·拉克千獄附近集結起來了，<hex:02100103>這夥不法之徒想要建設一個新的據點。<hex:02100103><hex:02100103>直接攻擊敵人的首領恐怕會招來其他人增援，<hex:02100103>所以最好先將分散在四周的敵人解決掉。<hex:02100103>尤其要小心敵人的幻術師，有治療魔法在會很棘手。<hex:02100103>戰鬥中也要謹慎提防敵人有沒有增援。",4350,870,2500,120,0,0,0,0,0,0,False,False
7,1004742,"注意異常狀態，並打倒迫近的敵人！","異常狀態可以用特定的道具或魔法「康復」<hex:02100103>來解除。一定要隨時注意隊友的身體狀態！","將隊伍一分為二，一組去對抗夢幻之布拉奇希奧，<hex:02100103>另一組去對抗增援的敵人，雙方分頭行動吧！","敵對的妖精族勢力出現在了南部林區，<hex:02100103>並且對周圍的魔物施加了魔法進行控制。<hex:02100103>迅速前往現場打倒頭領夢幻之布拉奇希奧！<hex:02100103><hex:02100103>被妖精族所控制的魔物都非常擅長令對手<hex:02100103>的身體陷入不良狀態的攻擊，同時還有能夠<hex:02100103>發動大範圍攻擊的魔物，所以一定要避免混戰",4400,880,2800,140,0,0,0,0,0,0,False,False
8,1004742,"注意炸彈的同時破壞掉路障並消滅敵人！","投下來的炸彈會在幾秒之後爆炸。<hex:02100103>一定要盡快脫離爆炸的衝擊範圍！","攻擊設定在路上的路障可以造成傷害，<hex:02100103>路障的體力減到0時即破壞成功！","哥布林族不法集團佔據了地母神忘跡，<hex:02100103>他們在藤路上搭起了路障，阻礙行人的來往。<hex:02100103>快去將那些路障全都破壞掉，並趕走敵人！<hex:02100103><hex:02100103>據情報說這一集團會使用一種定時的炸彈，<hex:02100103>在投出之後不會立刻爆炸，而是停留幾秒才會起效。<hex:02100103>這段時間內盡快躲開就不會被炸彈傷到了。<hex:02100103>反過來，或許還可以利用那些炸彈破壞掉路障。",4590,910,2920,140,0,0,0,0,0,0,False,False
9,1004746,"注意兩種泡泡的同時打倒劇毒魔花譚琳！","藍色的「腐壞泡泡」會不斷產生出魔物。<hex:02100103>在魔物出現之前一定盡快將泡泡破壞掉！","紫色的「酸性泡泡」在受到攻擊後<hex:02100103>會噴灑出帶有攻擊性的強酸！","體型巨大的劇毒魔花譚琳出現在愚者瀑布附近，<hex:02100103>導致那片地區的水質都被汙染了。<hex:02100103>在汙染範圍擴散之前一定要採取些措施！<hex:02100103><hex:02100103>被汙染的水源中會出現噴灑酸性液體的泡沫，<hex:02100103>還有一些泡泡能夠產生出魔物。<hex:02100103>在戰鬥的時候一定要小心周圍的情況！",7480,1490,3480,180,0,0,0,0,0,0,False,False
10,1004746,"撲滅蒼藍的火焰，打倒妖異布索！","調查並撲滅蒼藍的火焰能夠解除布索的強化狀態。<hex:02100103>另外，打倒虛無獵犬後會點亮新的火焰。","每次撲滅蒼藍火焰時布索都會發動強力攻擊，<hex:02100103>一定要注意控制撲滅火焰的頻率！","盲鐵坑道中出現了強大的妖異「布索」。<hex:02100103>請迅速前往現場進行討伐！<hex:02100103><hex:02100103>布索能夠通過將自己的眷屬作為祭品，<hex:02100103>點燃虛無界的蒼藍火焰，從而加強自己的能力。<hex:02100103>打斷這種邪惡的儀式就有機會以對等的力量進行戰鬥。<hex:02100103>一邊撲滅蒼藍的火焰一邊與布索進行戰鬥吧！",7790,1560,3630,180,0,0,0,0,0,0,False,False
11,1006743,"注意巡迴敵人的範圍攻擊，殲滅所有敵人！","在戰場上會出現無敵的妖異「暗影之眼」出現。<hex:02100103>暗影之眼會在周圍巡迴的同時放出範圍攻擊。<hex:02100103>戰鬥的時候一定要注意當前的局勢！","小型的眷屬會不斷地出現消失。<hex:02100103>所以一定要根據情況臨機應變尋找合適的位置。<hex:02100103>找准位置後就全力攻擊暗影魔爪吧！","我們準備在巨龍首東部進行妖異掃蕩作戰。<hex:02100103>這次的目標叫做「暗影魔爪」，是一種猙獰的大型妖異。<hex:02100103>它不但本身實力很強，還能招出多個棘手的眷屬。<hex:02100103><hex:02100103>眷屬中尤其要注意的是「暗影之眼」，它能夠防禦一切攻擊。<hex:02100103>同時還會在巡迴移動的同時發動大範圍攻擊。<hex:02100103>在作戰途中一定要注意這些眷屬的位置！",9500,1900,3990,210,0,0,0,0,0,0,False,False
12,1006743,"掌握爆彈怪的自爆規律，討伐爆彈怪的女王！","我們的目標「爆彈女王」現在還沒有現身。<hex:02100103>首先將爆彈怪以外的魔物全都排除，之後做好迎戰女王的準備。<hex:02100103>不過，有些爆彈怪在靠近的時候會立刻爆炸，一定要小心！","爆彈女王會命令手下的爆彈怪一起自爆。<hex:02100103>發現其要下達這種命令的先兆時不要驚慌，<hex:02100103>冷靜地躲避到安全地區，以免受到爆炸的衝擊！","爆彈怪的自爆是近日雪崩頻發的根本原因。<hex:02100103>為了防止損害繼續擴大，我們需要將爆彈群落的女王消滅掉。<hex:02100103><hex:02100103>「爆彈女王」能夠對其他爆彈怪下達自爆的命令。<hex:02100103>此外還有一部分個體靠近人體就會自動爆炸。<hex:02100103>掌握住這些爆彈怪的性質和行動規律，才能將風險減小到最低。",9900,1980,4160,210,0,0,0,0,0,0,False,False
