key,0,1,2,3,4
#,LegacyQuestID,Text,String,SortKey,Genre
offset,8,0,4,10,12
int32,uint16,str,str,uint16,byte
0,0,"","",0,0
1,0,"無形之聲","",1,238
2,1,"碧海之寶","",2,238
3,2,"利姆萊茵的傳說","",3,238
4,3,"後會無期","",4,238
5,4,"傾注之光","",5,238
6,5,"熟睡鬼","",6,238
7,6,"成千上萬的精靈","",7,238
8,7,"不速之客","",8,238
9,8,"火焰之日","",9,238
10,9,"太陽之都","",10,238
11,10,"小小的犧牲","",11,238
12,11,"災難降臨","",12,238
13,12,"開端","",13,238
14,13,"拚死的救出作戰","",14,238
15,14,"利害的調停者","",15,238
16,15,"異質者","",16,238
17,16,"炎獄之神","",17,238
18,17,"阿拉米格解放軍","",18,238
19,18,"重疊的未來","",19,238
20,59,"債鬼致富記","",20,240
21,60,"守護者啟程","",21,240
22,61,"硬幣的正反面","",22,240
23,79,"陪練對手","",23,240
24,80,"自由的權利","",24,240
25,81,"興奮的代價","",25,240
26,99,"斷罪黨的洗禮","",26,240
27,100,"我們是海盜","",27,240
28,101,"微笑注視吧","",28,240
29,139,"巴德龍的推薦","",29,240
30,140,"繆恩的推薦","",30,240
31,141,"莫莫蒂的推薦","",31,240
32,143,"想更換搭檔","",32,240
33,159,"神勇隊","",33,240
34,160,"昏暗之森","",34,240
35,161,"從過去伸出的手","",35,240
36,179,"鬼哭隊","",36,240
37,180,"石頭與黃金","",37,240
38,181,"棘手的任務","",38,240
39,239,"復仇委託","",39,240
40,240,"馬虎的傳教士","",40,240
41,241,"納爾札爾教團特約","",41,240
42,259,"樹精任務","",42,240
43,260,"龍騎士的夢","",43,240
44,261,"呼喚","",44,240
45,299,"小小的老師","",45,240
46,300,"小鬼","",46,240
47,301,"元靈的禮物","",47,240
48,319,"左耳男子","",48,240
49,320,"塞壬的歌聲","",49,240
50,321,"迷惑之島","",50,240
51,359,"你的容顏","",51,240
52,360,"芙·拉敏之花","",52,240
53,361,"心臟之刃","",53,240
54,379,"無言之人","",54,240
55,380,"第二工作室","",55,240
56,381,"師徒評價制度","",56,240
57,399,"紅之章","",57,240
58,400,"灰之章","",58,240
59,401,"白之章","",59,240
60,419,"沉睡的深淵","",60,240
61,420,"化身為龍的少年","",61,240
62,421,"夢境或現實","",62,240
63,439,"顫抖的對決","",63,240
64,440,"消失的美食家","",64,240
65,441,"熱氣毒殺事件","",65,240
66,459,"時間碎片","",66,240
67,460,"秘藏大作戰","",67,240
68,461,"逃跑的女孩","",68,240
69,479,"格里達尼亞的植物根","",69,240
70,480,"憧憬的大都市","",70,240
71,481,"莫古力的花圃","",71,240
72,499,"收拾魚人族","",72,240
73,500,"魚塘精靈","",73,240
74,501,"幸福時光","",74,240
75,626,"業火的試煉","",75,239
76,632,"梅爾凡海關的失敗","",76,239
77,633,"希望之橋","",77,239
78,635,"梭魚的復仇","",78,239
79,637,"愛意滿滿","",79,239
80,638,"茫然的海盜","",80,239
81,639,"兒子的消息","",81,239
82,640,"發人深思","",82,239
83,641,"漣漪之音","",83,239
84,642,"釣魚革命","",84,239
85,643,"月色撩人","",85,239
86,645,"黑色關係","",86,239
87,647,"雕刻家的野心","",87,239
88,652,"梭魚騎士團特殊任務","",88,239
89,653,"小心夜路","",89,239
90,654,"兇猛的火舌","",90,239
91,655,"蔬菜革命","",91,239
92,657,"惡作劇的序曲","",92,239
93,658,"傳說的靈精鼠","",93,239
94,659,"惡作劇的輪舞曲","",94,239
95,661,"兒子的苦鬥","",95,239
96,662,"丟失的日記","",96,239
97,663,"藏匿的感情","",97,239
98,664,"哀悼","",98,239
99,665,"原初的呼喚","",99,239
100,666,"森林的敵人","",100,239
101,667,"把握商機的豆子","",101,239
102,668,"失竊的靈魂","",102,239
103,673,"幻術三皇","",103,239
104,674,"輕敲門扉之人","",104,239
105,675,"失眠的冒險者","",105,239
106,676,"偉大的咒術老師","",106,239
107,678,"顧客就是上帝","",107,239
108,679,"沙蔭","",108,239
109,680,"汙點","",109,239
110,681,"被綁架的咒術師","",110,239
111,682,"悲哀的咒術師","",111,239
112,683,"最美的花","",112,239
113,684,"地平營地的傳令","",113,239
114,685,"背德之名","",114,239
115,686,"魔石與魔石精","",115,239
116,689,"新商品東山再起","",116,239
117,694,"強者的召喚","",117,239
118,705,"安詳的小羊","",118,239
119,706,"生命的境界","",119,239
120,707,"最後之民","",120,239
121,725,"黃金的加護","",121,239
122,726,"隱秘於咒劍中的誓約","",122,239
123,727,"海霧中潛藏的黑市","",123,239
124,733,"突擊！傳說的怪物！","",124,239
125,734,"收穫供奉祭祀","",125,239
126,735,"與定則抗爭的少女","",126,239
127,736,"白浪中消失的秘寶","",127,239
128,743,"海風警告","",128,239
129,744,"貫穿怒濤的彈丸","",129,239
130,745,"濤聲中帶來的幸福","",130,239
131,752,"賢者阿爾德巴爾","",131,239
132,753,"蜥蜴人之血","",132,239
133,754,"隔壁在挖什麼","",133,239
134,755,"蜥蜴人之刃","",134,239
135,761,"魔石精的秘密","",135,239
136,762,"眾神如是說","",136,239
137,763,"良藥苦口","",137,239
138,764,"魔菇的秘密","",138,239
139,770,"奇妙的崇拜信","",139,239
140,771,"獵戶號的美味貨品","",140,239
141,772,"海盜的葡萄酒","",141,239
142,773,"芳香的海上男兒","",142,239
143,788,"降臨？賢者的選單（烏爾達哈）","",143,239
144,789,"賢者的彩蛋 奪還大作戰（烏爾達哈）","",144,239
145,793,"降臨？賢者的彩蛋（格里達尼亞）","",145,239
146,794,"賢者的彩蛋 奪還大作戰（格里達尼亞）","",146,239
147,798,"紅蓮節 - 烈火嘉年華 -","",147,239
148,799,"守護天節 - 搗蛋鬼之謎 -","",148,239
149,800,"星芒節 - 凜冬未至 -","",149,239
150,801,"降神節 - 亂世雪人 -","",150,239
151,803,"降臨？賢者的彩蛋（利姆薩·羅敏薩）","",151,239
152,804,"賢者的彩蛋 奪還大作戰（利姆薩·羅敏薩）","",152,239
153,808,"籌集物品的工作","",153,239
154,809,"靈窟中靜候的試煉","",154,239
155,810,"老哥布林顧客","",155,239
156,811,"情感培育之力","",156,239
157,812,"情感維繫之力","",157,239
158,813,"情感傳遞之力","",158,239
159,815,"滑稽的盛宴","",159,239
160,816,"供給與儲備","",160,239
161,817,"流沙迷宮樵鳴洞","",161,239
162,818,"黃金之谷","",162,239
163,820,"托托·拉克偵察令","",163,239
164,821,"澤梅爾要塞收復戰","",164,239
165,822,"黃金谷霧中行軍","",165,239
166,823,"樵鳴洞流沙迷宮","",166,239
167,827,"棲木的約定","",167,239
168,828,"黑暗中的光明","",168,239
169,837,"後桅的顧客","",169,239
170,838,"等價的報酬","",170,239
171,839,"衛月的引導","",171,239
172,840,"勇者、灰燼、利刃","",172,239
173,847,"沙鐘的指環","",173,239
174,848,"嫌疑人男子","",174,239
175,857,"[chs]","",175,239
176,858,"彩蛋狩獵重新開幕","",176,239
177,859,"紅蓮節 - 轟擊怪逆襲 -","",177,239
178,860,"[chs]","",178,239
179,861,"輔城補給","",179,239
180,862,"艾里克博士的講義","",180,239
181,866,"旋風的試煉","",181,239
182,867,"復甦的上古武器","",182,239
183,868,"閉上雙眼，則希望滿懷","",183,239
184,869,"紅月淩空，凶鳥長鳴","",184,239
185,1200,"來自阿巴拉提亞的戰士","",254,241
186,1201,"破壁","",255,241
187,1202,"原始熔岩","",256,241
188,1203,"英雄巡禮","",257,241
189,1204,"較量","",258,241
190,1205,"頂級戰士","",259,241
191,1220,"流浪的武僧","",260,241
192,1221,"藍色的戰場","",261,241
193,1222,"不和的旋律","",262,241
194,1223,"脈輪的波紋","",263,241
195,1224,"無明的內地","",264,241
196,1225,"廢王的回歸","",265,241
197,1240,"深淵之種","",266,241
198,1241,"殘光之影","",267,241
199,1242,"明日之語","",268,241
200,1243,"希望之瞬","",269,241
201,1244,"沉眠之怒","",270,241
202,1245,"無垢之人","",271,241
