key,0,1,2,3
#,,,,
offset,0,4,8,12
int32,str,int32,int32,byte
0,"",0,0,0
1,"戰隊「<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>」成立了。",0,1,0
2,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>加入了戰隊。",2,0,0
3,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>退出了戰隊。",2,0,0
4,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>退出了戰隊。",2,0,0
5,"",2,0,0
6,"",2,0,0
7,"戰隊名已被修改為「<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>」。",0,1,0
8,"戰隊隊徽已變更。",0,0,0
9,"戰隊段位已升至「<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>」。",0,3,0
10,"戰隊段位已降至「<hex:020816E909FF10><hex:02280CFF07>ObjStr<hex:E9090103><hex:EB0403>」。",0,3,0
11,"新的賽季開始了。",0,0,0
12,"因為隊長已經離開一定期間，<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>被任命為戰隊隊長。",2,0,0
13,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>被任命為戰隊副隊長。",2,0,0
14,"<hex:020816E908FF10><hex:02280CFF07>ObjStr<hex:E9080103><hex:EB0303>被移交了戰隊隊長職務。",2,0,0
