key,0,1,2,3,4,5,6,7,8,9,10,11
#,Masculine,Feminine,RSE{M}{Body},RSE{M}{Hands},RSE{M}{Legs},RSE{M}{Feet},RSE{F}{Body},RSE{F}{Hands},RSE{F}{Legs},RSE{F}{Feet},,ExPac
offset,0,4,8,16,24,32,12,20,28,36,40,41
int32,str,str,Item,Item,Item,Item,Item,Item,Item,Item,byte,ExVersion
0,"","",0,0,0,0,0,0,0,0,0,0
1,"人族","人族",2983,3520,3296,3750,2984,3521,3297,3751,2,0
2,"精靈族","精靈族",2985,3522,3298,3752,2986,3523,3299,3753,2,0
3,"拉拉菲爾族","拉拉菲爾族",2987,3524,3300,3754,2988,3525,3301,3755,1,0
4,"貓魅族","貓魅族",2989,3526,3302,3756,2990,3527,3303,3757,2,0
5,"魯加族","魯加族",2991,3528,3304,3758,2992,3529,3305,3759,3,0
6,"敖龍族","敖龍族",9645,9646,9647,9648,9649,9650,9651,9652,2,1
7,"硌獅族","硌獅族",25212,25213,25214,25215,0,0,0,0,3,3
8,"維埃拉族","維埃拉族",33943,33944,33945,33946,25208,25209,25210,25211,2,3
