key,0,1,2,3,4,5,6,7
#,Name,Icon,ClassJob,Level,Quest,Value,ClassJobCategory,
offset,0,8,14,15,4,12,16,17
int32,str,Image,ClassJob,byte,Quest,int16,ClassJobCategory,byte
0,"",0,0,0,0,0,0,0
1,"耐力提高",0,0,0,0,0,0,0
2,"耐力提高II",0,0,0,0,0,0,0
3,"耐力提高III",0,0,0,0,0,0,0
4,"耐力提高",0,0,0,0,0,0,0
5,"耐力提高II",0,0,0,0,0,0,0
6,"耐力提高III",0,0,0,0,0,0,0
7,"力量提高",0,0,0,0,0,0,0
8,"力量提高II",0,0,0,0,0,0,0
9,"力量提高III",0,0,0,0,0,0,0
10,"疾風迅雷效果提高",0,0,0,0,0,0,0
11,"疾風迅雷效果提高II",0,0,0,0,0,0,0
12,"力量提高",0,0,0,0,0,0,0
13,"力量提高II",0,0,0,0,0,0,0
14,"力量提高III",0,0,0,0,0,0,0
15,"靈巧提高",0,0,0,0,0,0,0
16,"靈巧提高II",0,0,0,0,0,0,0
17,"強力射擊效果提高",5306,5,2,0,0,50,0
18,"技能傷害提高",5302,5,20,0,10,50,0
19,"靈巧提高III",0,0,0,0,0,0,0
20,"技能傷害提高II",5303,5,40,0,20,50,0
21,"精神提高",0,0,0,0,0,0,0
22,"精神提高II",0,0,0,0,0,0,0
23,"技能效果提高",5185,6,20,0,10,53,0
24,"精神提高III",0,0,0,0,0,0,0
25,"治療效果提高",5330,6,32,0,0,53,0
26,"技能效果提高II",5186,6,40,0,30,53,0
27,"智力提高",0,0,0,0,0,0,0
28,"智力提高II",0,0,0,0,0,0,0
29,"技能效果提高",5185,7,20,0,10,55,0
30,"智力提高III",0,0,0,0,0,0,0
31,"技能效果提高II",5186,7,40,0,30,55,0
32,"火苗",5352,7,42,0,0,55,0
33,"雷雲",5355,7,28,0,0,55,0
34,"自動三角測量",5451,17,2,0,0,18,0
35,"潛行效果提高",0,0,0,0,30,0,0
36,"潛行效果提高II",0,0,0,0,40,0,0
37,"潛行效果提高III",0,0,0,0,50,0,0
38,"自動礦脈勘探",5426,16,2,0,0,17,0
