key,0,1,2
#,Icon,Name,Description
offset,8,0,4
int32,Image,str,str
0,0,"",""
1,16801,"魔法效果：失明","我方全員命中率降低"
2,16802,"魔法效果：最大體力減少","我方全員最大體力降低"
3,16803,"魔法效果：傷害降低","我方全員造成的傷害降低"
4,16804,"魔法效果：能力封印","我方全員無法發動能力類技能"
5,16805,"魔法效果：加速","我方全員自動攻擊間隔縮短，同時戰技與魔法的詠唱及複唱時間也會縮短"
6,16806,"魔法效果：最大體力魔力提升","我方全員最大體力與魔力上升"
7,16807,"魔法效果：禁止使用道具","我方全員無法使用道具與某些特殊道具"
8,16808,"魔法效果：禁止衝刺","我方全員無法發動衝刺"
9,16809,"魔法效果：禁止擊退","敵我雙方擊退與吸引效果無效"
10,16810,"魔法效果：禁止體力自然恢復","我方全員體力無法自然恢復"
11,16811,"魔法效果：妖霧瀰漫","被妖霧籠罩，所有敵人的移動速度與攻擊造成的傷害上升，受到的傷害減輕"
12,16812,"魔法效果：衝刺","我方全員的移動速度上升"
13,16813,"魔法效果：禁止使用魔石","我方全員無法使用魔石"
