key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,Destination,Location,X,Y,,Map,,Stars,RankReq,CeruleumTankReq,Duration<min>,DistanceForSurvey,ExpReward
offset,0,4,14,16,18,20,25,21,22,23,12,24,8
int32,str,str,int16,int16,int16,SubmarineMap,bit&01,byte,byte,byte,uint16,byte,uint32
0,"","",483,927,0,1,True,0,0,0,0,0,0
1,"A　潔白淺灘","A",640,880,100,1,False,1,1,1,180,10,10610
2,"B　溺沒海1","B",570,750,300,1,False,1,1,1,180,10,10610
3,"C　溺沒海2","C",740,700,300,1,False,1,4,1,240,10,27840
4,"D　無光海盆","D",400,850,500,1,False,1,4,2,240,10,27840
5,"E　溺沒海3","E",650,610,200,1,False,1,7,2,300,11,46660
6,"F　利米拉拉海溝南端","F",850,850,600,1,False,1,7,3,300,11,46660
7,"G　傘峽","G",260,760,100,1,False,1,10,1,360,11,75920
8,"H　俘虜島","H",120,840,100,1,False,2,14,1,420,12,102600
9,"I　石人島","I",380,660,100,1,False,2,17,1,420,12,118350
10,"J　無名沉船","J",900,600,600,1,False,2,20,3,480,12,146210
11,"K　湛藍淺灘 ","K",520,550,300,1,False,2,20,6,480,12,146210
12,"L　神秘海盆 ","L",260,570,600,1,False,3,24,6,540,13,174980
13,"M　溺沒海4","M",90,630,100,1,False,3,27,6,600,13,200430
14,"N　利米拉拉海溝中部","N",800,550,400,1,False,3,27,6,600,13,200430
15,"O　探索號殘骸","O",630,490,500,1,False,3,30,6,660,14,231750
16,"P　樹叢島","P",290,365,100,1,False,3,30,6,660,14,231750
17,"Q　金山島","Q",115,350,0,1,False,4,34,6,720,14,263530
18,"R　海軍的秘密港口","R",150,540,600,1,False,4,37,6,780,15,292170
19,"S　溺沒海5","S",320,230,200,1,False,4,37,6,780,15,292170
20,"T　煉獄島","T",130,180,100,1,False,4,40,6,840,15,338330
21,"U　溺沒海6","U",465,330,100,1,False,4,40,6,840,15,338330
22,"V　利米拉拉海溝大傾斜","V",555,225,600,1,False,5,44,6,900,16,374020
23,"W　溺沒海7","W",710,370,300,1,False,5,44,6,900,16,374020
24,"X　輝砂海盆","X",900,355,800,1,False,5,47,6,960,16,406590
25,"Y　殘照白谷","Y",210,90,100,1,False,5,47,6,960,16,406590
26,"Z　前進號的殘骸","Z",430,100,1000,1,False,5,50,6,1020,17,440990
27,"AA　變理海域","AA",830,210,800,1,False,5,50,6,1020,17,440990
28,"AB　利米拉拉海溝最深部","AB",750,90,1000,1,False,5,50,6,1020,17,440990
29,"AC　石造寺院遺跡","AC",895,100,1000,1,False,5,50,6,1020,17,440990
30,"AD　古代寶物庫","AD",595,100,800,1,False,5,50,6,1020,17,440990
31,"","",483,927,0,2,True,0,0,0,0,0,0
32,"A　佐佐納恩島南端","A",290,750,100,2,False,1,50,6,480,12,440990
33,"B　風行者的殘骸","B",150,840,100,2,False,1,50,6,480,12,440990
34,"C　佐佐納恩島北端","C",280,570,100,2,False,2,54,6,540,13,480270
35,"D　灰海1","D",430,660,300,2,False,2,54,6,540,13,480270
