key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,,,,,,ActionTimeline{Pose}[0],ActionTimeline{Pose}[1],ActionTimeline{Pose}[2],,,,,,,,,,,,,Text[0],Text[1],Text[2]
offset,36,40,4,12,20,0,8,16,5,13,21,2,10,18,6,14,22,7,15,23,24,28,32
int32,uint32,byte,byte,byte,byte,ActionTimeline,ActionTimeline,ActionTimeline,byte,byte,byte,uint16,uint16,uint16,byte,byte,byte,bit&01,bit&01,bit&01,str,str,str
589824,0,1,1,0,0,799,796,854,1,1,1,0,0,0,3,4,5,False,False,False,"強調トークシェイプで會話モーション","ドキュメントトークシェイプでビヘイビア演説ループ","不気味トークシェイプでビヘイビア立ち怒り會話ループ"
589825,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589826,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"ほげ","ふー","ばー"
589827,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"あー、食った食った！ ","この宿の飯は最高に旨いな！","0"
589828,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"基本立ちと立ち専用リアクションテス<hex:02100103>(アイテム渡し)","「ビヘイビアリアクション挨拶」へ推移します。","0"
589829,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"基本立ちと立ち専用リアクションテス<hex:02100103>(アイテム受取)","「ビヘイビアリアクション考える」へ推移します。","0"
589830,0,1,2,2,0,755,763,0,1,1,1,0,0,0,0,0,0,True,True,False,"基本立ちと立ち専用リアクションテス<hex:02100103>(アイテム会話)","「ビヘイビアリアクション怒り」へ推移します。","0"
589831,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"基本立ちと立ち専用リアクションテス<hex:02100103>基本地面座り→基本立ち→立ち専用リアクション","0","0"
589832,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"基本立ちと立ち専用リアクションテス<hex:02100103>派手立ち→基本立ち→立ち専用リアクション","0","0"
589833,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"ここは、森と精霊に認められし神聖なる都市グリダニア。<hex:02100103>大いなる自然に感謝し、慎ましく振る舞え。","おす！","テストをします"
589834,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"基本立ちと立ち専用リアクションテス<hex:02100103>固有→基本立ち→立ち専用リアクション","0","0"
589835,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"空が見えるようになってる……！ すごい！","0","0"
589836,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"見ての通り、私は詩人です。","どうです？ 一曲？","0"
589837,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"俺はただひたすらに、<hex:02100103>クエストを発行するだけのENPCだ。","0","0"
589838,0,1,1,2,2,784,809,786,1,1,1,0,0,0,0,0,0,False,False,False,"改ページテストをします。１ページ。","２ページ。","３ページ。"
589839,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"改行テストをします。<hex:02100103>改行完了しました。","0","0"
589840,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"……喂，你知道嗎？<hex:02100103>聽說在目黑那裡有家店，<hex:02100103>做出來的肉好吃得不得了哦。","0","0"
589841,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"デフォルトトークテストですよ。","0","0"
589842,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"デフォルトトークテストですわ！","0","0"
589843,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"デフォルトトークでおじゃる。","0","0"
589844,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"十分抱歉，我現在手頭有點忙。<hex:02100103>可以請你在那裡安靜地等一下嗎？","……嗯，你看著很面生啊。<hex:02100103>如果是剛來到這個城市的話，請盡快去魔女咖啡館完成註冊。","0"
589845,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"你現在應該去冒險者公會的「魔女咖啡館」，<hex:02100103>與那裡的老闆「繆恩」打個招呼。","只要你是以冒險者的身份進入這個森林之都格里達尼亞的大門，<hex:02100103>就不許違背我們鬼哭隊的指示。<hex:02100103>好了，你趕緊走吧。","0"
589846,0,1,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"又來了一個「冒險者」嗎？<hex:02100103>格里達尼亞還真是來了不少外來者啊……","雖然「冒險者」給予的幫助十分寶貴，<hex:02100103>但是讓陌生人到處晃蕩，實在是令人不放心啊。","0"
589847,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"這裡是得到森林與元靈認同的神聖之城格里達尼亞。<hex:02100103>請胸懷對大自然的感激之情，謹慎地行事吧。　","0","0"
589848,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"這裡是得到森林與元靈認同的神聖之城格里達尼亞。","來自森林之外的冒險者啊。<hex:02100103>請不要製造不必要的騷亂，威脅到民眾的生活。","0"
589849,0,1,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"看來格里達尼亞的那幫傢伙，<hex:02100103>比起相信我們這些站在眼前的「冒險者」，<hex:02100103>更願意去相信那些連影兒都見不著的「元靈」啊。","0","0"
589850,0,1,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"聽說如果觸怒了「元靈」的話，它們好像會現身啊？<hex:02100103>這情景我可真想見識見識。","0","0"
589851,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"歡迎來到「魔女咖啡館」。<hex:02100103>彙集在森林之都格里達尼亞的冒險者們都會來這裡休養生息。","為了使遭受第七靈災破壞的森林恢復原來的樣子，<hex:02100103>格里達尼亞很需要你們這樣的冒險者。<hex:02100103>請務必助我們一臂之力。","雖然有些人很討厭外來者，<hex:02100103>不過他們的想法也在一點點地發生改變……<hex:02100103>我相信你們一定會帶來一股正氣之風的。"
589852,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"未使用","0","0"
589853,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"未使用","0","0"
589854,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"未使用","0","0"
589855,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"這裡是雙蛇黨蛇巢司令部。雙蛇黨是格里達尼亞大國防聯軍的名字，<hex:02100103>負責總管軍事、經濟以及農業等各項事務，<hex:02100103>同時也負責迎擊來自外部的敵人。","0","0"
