key,0
#,
offset,0
int32,str
0,""
1,"確定要撤除嗎？<hex:02100103>撤除該物品會<hex:024804F201FC03><hex:024904F201FD03>導致物品損壞無法回收<hex:0249020103><hex:0248020103>。"
2,"確定要解僱<hex:022812FF0D>ENpcResident<hex:E8020103>嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>解僱後，已設定的外貌訊息將清除，契約會重新回收至背包中。<hex:0249020103><hex:0248020103>"
3,"確定要讓僱員離開嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>僱員離開後，已設定的外貌訊息將清除，營業證書會重新回收至背包中。<hex:0249020103><hex:0248020103>"
4,"還能夠品嘗<hex:022003E80203>次。<hex:02100103>確定要將道具撤走嗎？<hex:024804F201FC03><hex:024904F201FD03>一旦撤走便會直接廢棄，無法回收。<hex:0249020103><hex:0248020103>"
5,"確定要撤除嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※插在裡面的道具將會撤除且無法回收。<hex:0249020103><hex:0248020103>"
6,"確定要撤除嗎？<hex:02100103>水族箱內的道具也會一併撤除且無法回收。"
7,"確定要撤除嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※畫框中的作品將會撤除且無法回收。<hex:0249020103><hex:0248020103>"
8,"確定要撤除嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※壁紙將會撤除且無法回收。<hex:0249020103><hex:0248020103>"
9,"確定要回收為契約，並從倉庫中轉移至背包中嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>轉移後，已設定的外貌訊息將清除。<hex:0249020103><hex:0248020103>"
10,"確定要將僱員<hex:022903EA0203>回收為營業證書，並從倉庫中轉移至背包中嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>轉移後，已設定的外貌訊息將清除。<hex:0249020103><hex:0248020103>"
11,"還能夠品嘗<hex:022003E80203>次。<hex:02100103>確定要將道具從倉庫中取出嗎？<hex:024804F201FC03><hex:024904F201FD03>一旦取出便會直接廢棄，無法回收。<hex:0249020103><hex:0248020103>"
12,"確定要從倉庫中轉移至背包中嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※插在裡面的道具將會撤除且無法回收。<hex:0249020103><hex:0248020103>"
13,"確定要將水族箱從倉庫中取出嗎？<hex:02100103>水族箱內的道具將會撤除且無法回收。"
14,"確定要從倉庫中轉移至背包中嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※畫框中的作品將會撤除且無法回收。<hex:0249020103><hex:0248020103>"
15,"確定要從倉庫中轉移至背包中嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※壁紙將會撤除且無法回收。<hex:0249020103><hex:0248020103>"
16,"確定要解僱<hex:022812FF0D>ENpcResident<hex:E8020103>嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>解僱後，已設定的外貌訊息將清除，契約會重新回收至背包中。<hex:0249020103><hex:0248020103>"
17,"確定要撤除嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※撤除後當前裝飾的魚拓會消失。<hex:0249020103><hex:0248020103>"
18,"確定要從倉庫中轉移至背包中嗎？<hex:02100103><hex:024804F201FC03><hex:024904F201FD03>※轉移後裡面的魚拓會消失。<hex:0249020103><hex:0248020103>"
