key,0,1,2,3,4,5,6
#,Name,Description,,,,,
offset,0,4,12,13,15,14,8
int32,str,str,byte,byte,bit&01,byte,int32
0,"","",0,0,False,0,0
1,"天選","出現什麼規則完全交給命運女神來決定。",0,0,False,0,0
2,"全明牌","互相公開手中所有的卡片進行遊戲。",3,0,False,0,1000
3,"三明牌","互相隨機公開手中三張卡片進行遊戲。",2,0,False,0,1166
4,"同數","使出的卡片如果2邊以上（含2邊）的數值均與相鄰的卡片數值相等，則會取得相鄰卡片的控制權。",0,0,False,0,666
5,"不勝不休","出現平局時會以場上雙方各自控制的卡片重新開始對局。",0,0,True,0,1333
6,"加算","使出的卡片如果2邊以上（含2邊）的數值各自與相鄰的卡片對應數值相加的和相等，則會取得相鄰卡片的控制權。",0,0,False,0,666
7,"隨機","各自從手中所有卡片中隨機抽出5張卡進行對局。",15,0,True,0,1000
8,"秩序","雙方必須按照卡組中卡片的位置順序使用卡片。",9,15,False,0,1666
9,"混亂","雙方必須按照隨機決定的順序使用卡片。",8,0,False,0,1433
10,"逆轉","逆轉卡片的強度。",0,0,False,0,1000
11,"王牌殺手","A會被1所控制。逆轉規則下1會被A所控制。",0,0,False,0,666
12,"同類強化","帶有類型的卡片會隨場上設定的同一類型卡片的數量增多而變強。",13,0,False,0,1000
13,"同類弱化","帶有類型的卡片會隨場上設定的同一類型卡片的數量增多而變弱。",12,0,False,0,1000
14,"交換","雙方隨機從自己的卡組中抽出一張卡與對方交換。",0,0,False,0,1666
15,"選拔","以隨機分配到的卡片組成卡組進行對戰。",7,8,False,0,1000
