key,0,1,2,3,4,5,6
#,Type,IconType,Image,TextType,Text[0],Text[1],Text[2]
offset,16,17,12,18,0,4,8
int32,byte,byte,Image,byte,str,str,str
0,0,0,0,0,"","",""
1,0,0,150011,0,"","",""
2,0,0,150012,0,"","",""
3,0,0,0,0,"","",""
4,0,0,0,0,"","",""
5,1,1,150021,1,"<hex:02100103>可以觸發任務的角色頭上都顯示有一個醒目的<hex:024804F201FA03><hex:024904F201FB03>任務表徵圖<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103>用<hex:024804F201FA03><hex:024904F201FB03>滑鼠右鍵<hex:0249020103><hex:0248020103>點擊人物或表徵圖會開始任務相關對話。","<hex:02100103>可以觸發任務的角色頭上都顯示有一個醒目的<hex:024804F201FA03><hex:024904F201FB03>任務表徵圖<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103>用<hex:024804F201FA03><hex:024904F201FB03>滑鼠右鍵<hex:0249020103><hex:0248020103>點擊人物或表徵圖會開始任務相關對話。","<hex:02100103>可以觸發任務的角色頭上都顯示有一個醒目的<hex:024804F201FA03><hex:024904F201FB03>任務表徵圖<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103>用<hex:024804F201FA03><hex:024904F201FB03>滑鼠右鍵<hex:0249020103><hex:0248020103>點擊人物或表徵圖會開始任務相關對話。"
6,1,1,150022,1,"<hex:02100103>可以觸發任務的角色頭上都顯示有一個醒目的<hex:024804F201FA03><hex:024904F201FB03>任務表徵圖<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103>按<hex:024804F201FA03><hex:024904F201FB03>確認鍵<hex:0249020103><hex:0248020103>選擇人物會開始任務相關對話。","<hex:02100103>可以觸發任務的角色頭上都顯示有一個醒目的<hex:024804F201FA03><hex:024904F201FB03>任務表徵圖<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103>按<hex:024804F201FA03><hex:024904F201FB03>確認鍵<hex:0249020103><hex:0248020103>選擇人物會開始任務相關對話。","<hex:02100103>可以觸發任務的角色頭上都顯示有一個醒目的<hex:024804F201FA03><hex:024904F201FB03>任務表徵圖<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103>按<hex:024804F201FA03><hex:024904F201FB03>確認鍵<hex:0249020103><hex:0248020103>選擇人物會開始任務相關對話。"
7,0,0,0,0,"","",""
8,0,0,0,0,"","",""
9,0,0,0,0,"","",""
10,1,1,150121,0,"<hex:02100103>接受任務時，在彈出的接受視窗中會顯示出任務概況及報酬。<hex:02100103><hex:02100103>點擊<hex:024804F201FA03><hex:024904F201FB03>接受<hex:0249020103><hex:0248020103>按鈕後便會開始任務。","",""
11,1,1,150121,0,"<hex:02100103>接受任務時，在彈出的接受視窗中會顯示出任務概況及報酬。<hex:02100103><hex:02100103>按下<hex:024804F201FA03><hex:024904F201FB03>接受<hex:0249020103><hex:0248020103>按鈕後便會開始任務。","",""
12,0,0,0,0,"","",""
13,0,0,0,0,"","",""
14,0,0,0,0,"","",""
