key,0
#,Data
offset,0
int32,str
0,""
1000,"<hex:0212024C03> 已共鳴的亂風脈泉"
1001,"完成下列中的3種目標"
1002,"目標を3種コンプリート：達成"
1003,"打倒<hex:02280EFF09>BNpcName<hex:E8020103>"
1004,"探索埋藏的寶箱"
1005,"發現白銀寶箱"
1006,"發現青銅寶箱"
1007,"探索白光水晶"
1008,"探索黑暗水晶"
1009,"通過採掘或碎石獲得道具"
1010,"通過採伐或割草獲得道具"
1011,"通過垂釣獲得道具"
1012,"<hex:0212024B03> 風脈調整完畢"
1013,""
1014,"探索營地"
1015,"亂風脈泉"
2000,"探索任務進度"
2001,"活動評價 (%)"
2002,"探索營地"
2003,"目標地點"
2004,"任務報酬"
2005,"緊急任務"
2006,"艾因哈特管制台通告周邊空域所有空賊、冒險者！<hex:02100103>「漂流遺跡的魔導通路」現已開放！"
2007,"據以往經驗，漂流遺跡的魔導通路在「雷波」天氣結束後即會消失！<hex:02100103>懇請諸位搶在通路消失前即刻前往漂流遺跡內部進行調查！"
2008,"如若遺跡內部潛伏有威脅到雲冠群島的強敵，<hex:02100103>請諸位協力將其擊破，確保雲冠群島的安全！"
2009,"這裡是艾因哈特管制台。<hex:02100103>漂流遺跡內的威脅已被清除。"
2010,"艾因哈特家為所有在危險任務中做出貢獻的人準備了報酬。"
2011,"但由於「漂流遺跡」尚有許多謎團還未解明，<hex:02100103>待漂流遺跡的魔導通路再次出現時，望諸位能再次協助調查！"
2012,"這裡是艾因哈特管制台。<hex:02100103>「漂流遺跡的魔導通路」現已關閉。"
2013,"雖然內部調查與清除威脅的任務失敗了，<hex:02100103>但我們仍要感謝所有參與了危險任務的人員。"
2014,"由於「漂流遺跡」尚有許多謎團還未解明，<hex:02100103>待漂流遺跡的魔導通路再次出現時，望諸位能再次協助調查！"
2015,"討伐漂流遺跡的守護者"
2016,"迎戰妖獸王的手下 破壞屬性增幅水晶"
2017,"討伐漂流遺跡的主人"
2018,"這裡是艾因哈特管制台，現確認探索任務已達成。<hex:02100103>請繼續探索周邊，提高「活動評價」。"
2019,"諸位冒險者的「活動評價」已達標。<hex:02100103>請繼續進行探索任務。"
2020,"回收地點"
2021,"這裡是艾因哈特管制台。<hex:02100103>漂流遺跡內的威脅已被清除。"
2022,"未能參加本次任務的空賊與冒險者，<hex:02100103>待漂流遺跡的魔導通路再次出現時，望諸位能再次協助調查！"
2023,"這裡是艾因哈特管制台。<hex:02100103>清除漂流遺跡內部威脅的任務現已失敗。"
2024,"未能參加本次任務的空賊與冒險者，<hex:02100103>待漂流遺跡的魔導通路再次出現時，望諸位能再次協助調查！"
2025,"使用弱化試劑後討伐敵人"
