key,0,1,2,3,4,5,6,7,8
#,Name,CompanyCraftDraftCategory,RequiredItem[0],RequiredItemCount[0],RequiredItem[1],RequiredItemCount[1],RequiredItem[2],RequiredItemCount[2],Order
offset,0,20,8,21,12,22,16,23,4
int32,str,CompanyCraftDraftCategory,Item,byte,Item,byte,Item,byte,uint32
0,"飛空艇設計圖2",1,12923,6,0,0,0,0,1
1,"飛空艇設計圖3",1,12924,10,12923,4,0,0,2
2,"飛空艇設計圖4",1,12925,10,12923,4,0,0,3
3,"飛空艇設計圖5",1,12926,14,12924,4,0,0,4
4,"飛空艇設計圖6",1,12927,14,12925,4,12923,4,5
5,"餐廳設計圖",2,12920,10,0,0,0,0,1
6,"防具店設計圖",2,12921,10,0,0,0,0,2
7,"武器店設計圖",2,12922,9,12921,8,0,0,3
8,"乙太轉輪設計圖2",0,12928,6,0,0,0,0,1
9,"乙太轉輪設計圖3",0,12928,6,0,0,0,0,2
10,"乙太轉輪設計圖4",0,12928,6,0,0,0,0,3
11,"乙太轉輪設計圖5",0,12929,4,12922,2,0,0,4
12,"乙太轉輪設計圖6",0,12929,4,12922,2,0,0,5
13,"乙太轉輪設計圖7",0,12929,4,12922,2,0,0,6
14,"轉輪台設計圖2",0,12929,6,12922,3,12920,8,7
15,"莫古莫古房設計圖",2,12922,11,12921,10,12923,8,4
16,"轉輪台設計圖3",0,12929,8,12922,5,12920,10,8
17,"飛空艇設計圖7",1,12927,18,12926,8,12925,8,6
18,"轉輪台設計圖4",0,12929,10,12922,7,12920,12,9
19,"轉輪台設計圖5",0,12929,12,12922,9,12920,14,10
20,"陸行鳥房屋設計圖",2,12922,14,12921,12,12923,10,5
21,"猴面雀房屋設計圖",2,12922,16,12921,14,12923,12,6
22,"寶石獸房屋設計圖",2,12922,18,12921,16,12923,14,7
23,"東洋城堡房屋設計圖",2,12922,20,12921,18,12923,16,8
24,"潛水艇設計圖1",1,5374,6,0,0,0,0,7
25,"潛水艇設計圖2",1,12924,10,12923,4,0,0,8
26,"潛水艇設計圖3",1,12925,10,12923,4,0,0,9
27,"獺獺房屋設計圖",2,12922,21,12921,19,12923,17,9
28,"潛水艇設計圖4",1,12926,14,12924,4,0,0,10
29,"潛水艇設計圖5",1,12927,14,12925,4,12923,4,11
30,"潛水艇設計圖6",1,26528,18,12926,8,12924,8,12
31,"半木房屋設計圖",2,12922,18,29590,10,26528,8,10
32,"鍛鐵匠房屋設計圖",2,12922,18,29590,10,26528,8,10
33,"花店房屋設計圖",2,12922,18,29590,10,26528,8,10
34,"鍛冶工房房屋設計圖",2,12922,18,29590,10,26528,8,10
35,"咖啡館房屋設計圖",2,12922,18,29590,10,26528,8,10
