key,0,1,2
#,Name,ClassJobCategory,InclusionShopSeries
offset,0,6,4
int32,str,ClassJobCategory,InclusionShopSeries
0,"",0,0
1,"防護職業裝備",75,1
2,"近戰職業裝備（龍騎士）",76,2
3,"近戰職業裝備（武僧·武士）",77,3
4,"遠程物理職業裝備",78,4
5,"近戰職業裝備（忍者）",104,5
6,"治療職業裝備",80,6
7,"魔法進攻職業裝備",79,7
8,"戰鬥相關道具",0,8
9,"能工巧匠裝備",33,9
10,"製作相關道具",0,10
11,"大地使者裝備",32,11
12,"採集相關道具",0,12
13,"防護職業裝備",75,13
14,"近戰職業裝備（龍騎士）",76,14
15,"近戰職業裝備（武僧·武士）",77,15
16,"遠程物理職業裝備",78,16
17,"近戰職業裝備（忍者）",104,17
18,"治療職業裝備",80,18
19,"魔法進攻職業裝備",79,19
20,"戰鬥相關道具",0,20
21,"能工巧匠裝備",33,21
22,"製作相關道具",0,22
23,"大地使者裝備",32,23
24,"採集相關道具",0,24
25,"防護職業裝備",75,25
26,"近戰職業裝備（龍騎士）",76,26
27,"近戰職業裝備（武僧·武士）",77,27
28,"遠程物理職業裝備",78,28
29,"近戰職業裝備（忍者）",104,29
30,"治療職業裝備",80,30
31,"魔法進攻職業裝備",79,31
32,"戰鬥相關道具",0,32
33,"能工巧匠裝備",33,33
34,"製作相關道具",0,34
35,"大地使者裝備",32,35
36,"採集相關道具",0,36
37,"",0,0
38,"",0,0
39,"",0,0
40,"",0,0
41,"",0,0
42,"",0,0
43,"",0,0
44,"",0,0
45,"",0,0
46,"",0,0
47,"",0,0
48,"",0,0
