key,0,1,2,3,4,5,6,7,8,9,10
#,,,,,,,,,,,
offset,4,9,5,10,6,11,7,12,8,13,0
int32,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,str
0,0,0,0,0,0,0,0,0,0,0,""
1,10,100,10,100,15,100,15,100,20,100,"體能＋<hex:022003E80203>％"
2,10,100,10,100,15,100,15,100,20,100,"心智＋<hex:022003E80203>％"
3,10,100,10,100,15,100,15,100,20,100,"戰術＋<hex:022003E80203>％"
4,3,100,3,100,3,100,3,100,5,100,"全員體能＋<hex:022003E80203>％"
5,3,100,3,100,3,100,3,100,5,100,"全員心智＋<hex:022003E80203>％"
6,3,100,3,100,3,100,3,100,5,100,"全員戰術＋<hex:022003E80203>％"
7,10,100,10,100,20,100,20,100,30,100,"獲得經驗值＋<hex:022003E80203>％"
8,5,100,5,100,10,100,10,100,15,100,"全員獲得經驗值＋<hex:022003E80203>％"
9,10,100,20,100,30,100,40,100,50,100,"全員吉兆獲得率＋<hex:022003E80203>％"
10,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得「戰鬥技巧教材：守勢」"
11,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得「戰鬥技巧教材：魔法」"
12,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得「戰鬥技巧教材：攻勢」"
13,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得金幣"
14,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得軍票"
15,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得金碟幣"
16,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得防護職業用魔晶石"
17,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得物理進攻職業用魔晶石"
18,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得魔法導師用魔晶石"
19,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得大地使者用魔晶石"
20,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得能工巧匠用魔晶石"
21,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得晶簇"
22,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得大地工票"
23,0,10,0,20,0,30,0,40,0,50,"有<hex:022003E80203>％幾率獲得巧手工票"
