key,0,1,2,3
#,,,,
offset,0,4,8,12
int32,str,str,str,str
0,"","","",""
1,"捕獲到圓翅燕魚之後，察覺到了魚影的氣息……","捕獲到圓翅燕魚之後，魚影的氣息更加強烈了……","捕獲到圓翅燕魚之後，魚影的氣息已經相當強烈了！","在某處出現了魚影！！"
2,"捕獲到魚龍之後，察覺到了魚影的氣息……","捕獲到魚龍之後，魚影的氣息更加強烈了……","捕獲到魚龍之後，魚影的氣息已經相當強烈了！","在某處出現了魚影！！"
3,"捕獲到瞪親刺魚之後，察覺到了魚影的氣息……","捕獲到瞪親刺魚之後，魚影的氣息更加強烈了……","捕獲到瞪親刺魚之後，魚影的氣息已經相當強烈了！","在某處出現了魚影！！"
4,"捕獲到傭兵蟹之後，察覺到了魚影的氣息……","捕獲到傭兵蟹之後，魚影的氣息更加強烈了……","捕獲到傭兵蟹之後，魚影的氣息已經相當強烈了！","在某處出現了魚影！！"
5,"捕獲到一文字之後，察覺到了魚影的氣息……","捕獲到一文字之後，魚影的氣息更加強烈了……","捕獲到一文字之後，魚影的氣息已經相當強烈了！","在某處出現了魚影！！"
6,"捕獲到貴族魚之後，察覺到了魚影的氣息……","捕獲到貴族魚之後，魚影的氣息更加強烈了……","捕獲到貴族魚之後，魚影的氣息已經相當強烈了！","在某處出現了魚影！！"
7,"捕獲到紹爾迪雅紅寶石之後，察覺到了魚影的氣息……","捕獲到紹爾迪雅紅寶石之後，魚影的氣息更加強烈了……","捕獲到紹爾迪雅紅寶石之後，魚影的氣息已經相當強烈了！","在某處出現了魚影！！"
8,"捕獲到大樹之鱗之後，察覺到了魚影的氣息……","捕獲到大樹之鱗之後，魚影的氣息更加強烈了……","捕獲到大樹之鱗之後，魚影的氣息已經相當強烈了！","在某處出現了魚影！！"
9,"捕獲到虎皮鯊之後，察覺到了魚影的氣息……","捕獲到虎皮鯊之後，魚影的氣息更加強烈了……","捕獲到虎皮鯊之後，魚影的氣息已經相當強烈了！","在某處出現了魚影！！"
10,"捕獲到樂園石斑魚之後，察覺到了魚影的氣息……","捕獲到樂園石斑魚之後，魚影的氣息更加強烈了……","捕獲到樂園石斑魚之後，魚影的氣息已經相當強烈了！","在某處出現了魚影！！"
