key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,,MinLevel,BeastRankBonus,Icon{Reputation},Icon,MaxRank,Expansion,CurrencyItem,DisplayOrder,Name,Adjective,Plural,PossessivePronoun,StartsWithVowel,Pronoun,Article,DEF,Name{Relation}
offset,37,32,33,20,24,34,35,28,36,0,12,4,13,14,15,16,17,8
int32,bit&01,byte,BeastRankBonus,Image,Image,byte,ExVersion,Item,byte,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str
0,False,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0,""
1,True,0,0,61901,65016,4,0,21076,1,"蜥蜴人族：灰黨",0,"",0,0,0,0,0,"蜥蜴人族友好度"
2,True,0,0,61902,65017,4,0,21075,2,"妖精族：暫留地妖精",0,"",0,0,0,0,0,"妖精族友好度"
3,True,0,0,61904,65019,4,0,21078,3,"地靈族：第789洞穴團",0,"",0,0,0,0,0,"地靈族友好度"
4,True,0,0,61905,65020,4,0,21077,4,"魚人族：諾布一夥",0,"",0,0,0,0,0,"魚人族友好度"
5,False,50,0,61903,65018,7,0,21073,5,"鳥人族：長風空力團",0,"",0,0,0,0,0,"鳥人族友好度"
6,False,0,1,61906,65036,8,1,21074,1,"瓦努族：美豔的袞杜",0,"",0,0,0,0,0,"瓦努族友好度"
7,False,0,1,61907,65037,8,1,21079,2,"骨頜族：離群一族",0,"",0,0,0,0,0,"骨頜族友好度"
8,False,60,2,61908,65039,8,1,21080,3,"莫古力族：莫古力修復團",0,"",0,0,0,0,0,"莫古力族友好度"
9,False,0,3,61910,65048,8,2,21081,1,"甲人族：碧玉尋寶眾",0,"",0,0,0,0,0,"甲人族友好度"
10,False,0,3,61909,65047,8,2,21935,2,"阿難陀族：阿露帕國境警備隊",0,"",0,0,0,0,0,"阿難陀族友好度"
11,False,70,4,61911,65063,8,2,22525,3,"鯰魚精族：大鯰大祭執行委員會",0,"",0,0,0,0,0,"鯰魚精族友好度"
12,False,0,5,61912,65072,8,3,28186,1,"仙子族：夢園仙子",0,"",0,0,0,0,0,"仙子族友好度"
13,False,80,6,61913,65076,8,3,28187,2,"奇塔利族：盧利採掘隊",0,"",0,0,0,0,0,"奇塔利族友好度"
14,False,80,7,61914,65079,8,3,28188,3,"矮人族：沃茨之錘",0,"",0,0,0,0,0,"矮人族友好度"
