key,0,1,2
#,Name,Description,Icon
offset,0,4,8
int32,str,str,Image
0,"沒有道具","未持有競賽道具。<hex:02100103>觸碰道具箱後可以獲得競賽道具。",70101
1,"陸行鳥恢復藥","恢復自身最大體力的10%。",70102
2,"體力之藥","10秒內不會消耗體力。並且體力為0時會恢復少許。",70104
3,"陸行鳥跑鞋","使陸行鳥全力奔跑。",70105
4,"陸行鳥乙太藥","將一個已使用的能力恢復成可再次使用狀態。",70108
5,"酒神之水","使跑在自己前面的競賽陸行鳥陷入失控狀態。",70107
6,"重力球","使跑在自己前面的競賽陸行鳥陷入加重狀態。",70109
7,"荊棘種子","在自身周圍生成結界，消耗其他進入範圍的競賽陸行鳥的體力。",70103
8,"英雄藥","使自己的競賽陸行鳥能力上升15秒，並讓所有弱化效果無效。",70106
9,"陸行鳥隕石","向跑在自己前面的所有競賽陸行鳥降下陸行鳥隕石。",70110
10,"體力互換","從跑在自己前面的競賽陸行鳥中隨機選擇一隻與自己的競賽陸行鳥互換現有的體力。對體力比自己低的競賽陸行鳥無效。",70111
11,"蜘蛛絲","使跑在自己後面的競賽陸行鳥陷入不可使用道具的狀態。",70112
