key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,Turn[0],Turn[1],Turn[2],Turn[3],Turn[4],Turn[5],Turn[6],Turn[7],Gesture[0],Gesture[1],Gesture[2],Gesture[3],Gesture[4],Gesture[5],Gesture[6],Gesture[7],LipSync[0],LipSync[1],LipSync[2],LipSync[3],LipSync[4],LipSync[5],LipSync[6],LipSync[7],Facial[0],Facial[1],Facial[2],Facial[3],Facial[4],Facial[5],Facial[6],Facial[7],Shape[0],Shape[1],Shape[2],Shape[3],Shape[4],Shape[5],Shape[6],Shape[7],IsAutoShake[0],IsAutoShake[1],IsAutoShake[2],IsAutoShake[3],IsAutoShake[4],IsAutoShake[5],IsAutoShake[6],IsAutoShake[7],WidgetType[0],WidgetType[1],WidgetType[2],WidgetType[3],WidgetType[4],WidgetType[5],WidgetType[6],WidgetType[7],Text[0],Text[1],Text[2],Text[3],Text[4],Text[5],Text[6],Text[7]
offset,16,36,56,76,96,116,136,156,0,20,40,60,80,100,120,140,4,24,44,64,84,104,124,144,8,28,48,68,88,108,128,148,12,32,52,72,92,112,132,152,18,38,58,78,98,118,138,158,17,37,57,77,97,117,137,157,160,164,168,172,176,180,184,188
int32,byte,byte,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,byte,byte,byte,str,str,str,str,str,str,str,str
0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,3,0,0,0,0,0,0,"你能來給我們幫把手嗎？<hex:02100103>再不快點把果實都收下來的話，就要被奧猴們搶走了！","要幫忙收果實嗎？<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※此危命任務的推薦等級為<hex:022003E80203>級。<hex:0249020103><hex:0248020103>","","","那就交給你了！","","好吧……那我再去問問別人。",""
5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"幫我把果實摘過來了嗎？","","","","多謝！","","哎？還沒嗎？抓緊時間啊！",""
6,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"快把果實收下來拿給我！","","","","","","",""
