key,0,1,2,3,4,5,6,7
#,LogKind,Caster,Target,Category,DisplayOrder,Preset,Name,Example
offset,12,8,10,13,14,15,0,4
int32,byte,uint16,uint16,byte,byte,byte,str,str
0,0,65535,65535,0,0,0,"None",""
1,10,65535,65535,1,1,1,"說話","斯考爾：無所謂了……"
2,11,65535,65535,1,3,1,"喊話","巴茲：有人一起冒險嗎？"
3,12,65535,65535,1,4,1,"悄悄話",">> 克勞德： 你這衣服不錯。<hex:02100103>蒂法 >> 克勞德，眼睛看哪呢？"
4,14,65535,65535,1,5,1,"小隊","(塞西爾) 你們都在哪裡？"
5,29,65535,65535,1,30,1,"情感動作","莉諾雅在展示自己的存在。"
6,28,65535,65535,1,31,1,"自訂情感動作","塞麗絲拍了拍自己的臉。"
7,24,65535,65535,1,7,1,"部隊","[部隊]<克勞德> 我想邀請我的朋友扎克斯加入這裡。"
8,16,65535,65535,1,20,1,"通訊貝1","[1]<莎拉> 可以的話……請一直留在……"
9,17,65535,65535,1,21,1,"通訊貝2","[2]<敏武> 我能夠看到你們的命運。"
10,18,65535,65535,1,22,1,"通訊貝3","[3]<艾麗婭> 拜託你們了……驅除黑暗……為這個世界……帶回和平……"
11,19,65535,65535,1,23,1,"通訊貝4","[4]<泰拉> 我回憶起來了……被我忘記的咒文！"
12,20,65535,65535,1,24,1,"通訊貝5","[5]<加拉夫> 太了不起了！瞧瞧咱這驚人的記憶力！"
13,21,65535,65535,1,25,1,"通訊貝6","[6]<洛克> 你這混蛋，一而再、再而三地來搗亂！"
14,22,65535,65535,1,26,1,"通訊貝7","[7]<阿爾芭> 我美麗的肌膚都被沙漠風化了……"
15,23,65535,65535,1,27,1,"通訊貝8","[8]<西奧多> 我要憑藉自己的力量前進！"
16,30,65535,65535,1,2,1,"呼喊","克勞德：愛麗絲！！"
17,15,65535,65535,1,6,1,"團隊","((斯諾)) 英雄出馬！"
18,27,65535,65535,1,28,1,"新人頻道","[新人]<hex:0212024F03>愛麗絲：遇到什麼麻煩了嗎？"
19,36,65535,65535,1,8,1,"戰隊","[戰隊]<吉坦> 你好！"
20,37,65535,65535,1,10,1,"跨服通訊貝1","[跨服貝1]<尤菲> 你好！"
21,57,65535,65535,2,1,1,"系統訊息","向克勞德發送了入隊邀請。"
22,0,0,0,0,0,0,"",""
23,59,65535,65535,2,4,1,"採集系統訊息","這片地域好像沒有礦脈及石場。"
24,60,65535,65535,2,5,1,"錯誤訊息","向克勞德發送悄悄話失敗。"
25,56,65535,65535,2,6,1,"默語","默語"
26,61,65535,65535,2,16,4,"非玩家角色對話","巴德龍：有什麼我可以幫你的？"
27,62,65535,65535,2,20,1,"掉落品訊息","斯考爾得到了玉者之劍。"
28,64,258,65535,2,25,1,"自己的成長訊息","等級提升了！  斯考爾升到了51級。"
29,64,2289,65535,2,27,1,"他人的成長訊息","等級提升了！  莉諾雅升到了52級。"
30,65,2,65535,2,30,1,"自己的戰利品訊息","斯考爾在需求條件下對「玉者之劍」擲出了1點。"
31,65,65532,65535,2,31,1,"他人的戰利品訊息","莉諾雅在需求條件下對「玉者之劍」擲出了99點。"
32,66,2,65535,2,35,1,"自己的製作訊息","斯考爾製作「英雄之藥」成功！"
33,66,28,65535,2,36,1,"他人的製作訊息","莉諾雅製作「聖戰之藥」成功！"
34,79,65535,65535,2,49,1,"交流簿的新留言","部隊房屋的交流簿有新的留言。"
35,67,3,65535,2,40,1,"自己的採集訊息","斯考爾開始了採掘作業。"
36,67,252,65535,2,41,0,"他人的釣魚成果","垂釣老人成功釣上了<hex:024804F2022503><hex:024904F2022603>羅敏薩鯷魚<hex:0249020103><hex:0248020103>（3.3星寸）。"
37,58,1807,65535,2,2,2,"自己的戰鬥系統訊息","斯考爾將魔界花打倒了。"
38,58,2193,65535,2,3,0,"他人的戰鬥系統訊息","莉諾雅將魔界花打倒了。"
39,68,65535,65535,2,17,1,"非玩家角色通告","布萊蒙達：我是在這一帶行商的旅行商人。"
40,69,65535,65535,2,11,1,"部隊通告","部隊消息：更改了階級的序列。"
41,70,65535,65535,2,13,1,"部隊成員上線通知","部隊消息：克勞德上線了。"
42,64,1548,65535,2,26,1,"隊友的成長訊息","等級提升了！  克勞德升到了51級。"
43,71,65535,65535,2,15,1,"市場出售訊息","在烏爾達哈市場以100金幣的價格出售的「緞帶」成功售出，獲得了95金幣。"
44,72,65535,65535,2,45,1,"隊員招募的通知訊息","當前共有12個隊伍正在招募隊員，其中有3個符合搜索條件。"
45,73,65535,65535,2,46,1,"標記設定訊息","斯考爾對塞爾標註了「萬事通1」標記。"
46,74,65535,65535,2,47,1,"擲骰的訊息","西捷亞擲出了<hex:0212024A03>666點！"
47,75,65535,65535,2,10,1,"新人頻道通知","加入了新人頻道。<hex:02100103>當前參加人數：<hex:0212024F03>指導者10人/<hex:0212024E03>新人30人"
48,76,65535,65535,2,48,1,"管弦樂琴的播放訊息","播放了«水晶序曲　～冒險的序章～»。"
49,77,65535,65535,2,12,1,"戰隊通告","戰隊消息：梵加入了戰隊。"
50,78,65535,65535,2,14,1,"戰隊成員上線通知","戰隊消息：吉坦上線了。"
51,41,2,65535,4,1,2,"自己造成傷害","斯考爾發動攻擊  魔界花受到了9999點傷害。"
52,42,2,65535,4,2,2,"自己的攻擊落空","斯考爾發動攻擊  失誤了！"
53,43,2,65535,4,3,2,"自己的技能","斯考爾正在詠唱「核爆」。<hex:02100103>斯考爾中斷了詠唱「核爆」。"
54,44,2,65535,4,4,2,"自己的道具","斯考爾正在使用「聖靈藥」。<hex:02100103>斯考爾中斷了使用「聖靈藥」。"
55,45,2,65535,4,5,2,"自己進行恢復","   斯考爾恢復了9999點體力。"
56,46,2,65535,4,6,2,"自己給他人附加強化狀態","   對斯考爾附加了「護盾」的效果。"
57,47,2,65535,4,7,2,"自己給他人附加弱化狀態","   對魔界花附加了「失明」的效果。"
58,41,65535,2,4,8,2,"自己受到傷害","魔界花發動攻擊  斯考爾受到了9999點傷害。"
59,42,65535,2,4,9,2,"自己迴避了攻擊","魔界花發動攻擊  失誤了！"
60,43,65535,2,4,10,2,"對自己發動的技能","莉諾雅正在詠唱「護盾」。<hex:02100103>莉諾雅中斷了詠唱「護盾」。"
61,44,65535,2,4,11,2,"對自己使用的道具","莉諾雅使用了「聖靈藥」。<hex:02100103>莉諾雅中斷了使用「聖靈藥」。"
62,45,65535,2,4,12,2,"自己接受恢復","   斯考爾恢復了9999點體力。"
63,46,65535,2,4,13,2,"自己接收他人的強化狀態","   對斯考爾附加了「護盾」的效果。"
64,47,65535,2,4,14,2,"自己接收他人的弱化狀態","   對斯考爾附加了「沉默」的效果。"
65,48,65535,2,4,15,2,"自己的強化狀態效果消失","斯考爾的「護盾」狀態效果消失了。"
66,49,65535,2,4,16,2,"自己的弱化狀態效果消失","斯考爾的「沉默」狀態效果消失了。"
67,55,65535,65535,2,50,1,"鬧鐘通知訊息","<hex:0212026903> 鬧鐘 -  12:34 "
68,0,0,0,0,0,0,"",""
69,0,0,0,0,0,0,"",""
70,0,0,0,0,0,0,"",""
71,41,4,65535,5,1,2,"隊友造成傷害","克勞德發動攻擊  魔界花受到了9999點傷害。"
72,42,4,65535,5,2,2,"隊友的攻擊落空","克勞德發動攻擊  失誤了！"
73,43,4,65535,5,3,2,"隊友的技能","克勞德正在詠唱「核爆」。<hex:02100103>克勞德中斷了詠唱「核爆」。"
74,44,4,65535,5,4,2,"隊友的道具","克勞德正在使用「聖靈藥」。<hex:02100103>克勞德中斷了使用「聖靈藥」。"
75,45,4,65535,5,5,2,"隊友進行恢復","   克勞德恢復了9999點體力。"
