key,0
#,Text
offset,0
int32,str
0,""
1,"樂器演奏<hex:02100103>用豎琴的音色進行演奏。"
2,"樂器演奏<hex:02100103>用鋼琴的音色進行演奏。"
3,"樂器演奏<hex:02100103>用魯特琴的音色進行演奏。"
4,"樂器演奏<hex:02100103>用提琴撥弦的音色進行演奏。"
5,"樂器演奏<hex:02100103>用長笛的音色進行演奏。"
6,"樂器演奏<hex:02100103>用雙簧管的音色進行演奏。"
7,"樂器演奏<hex:02100103>用單簧管的音色進行演奏。"
8,"樂器演奏<hex:02100103>用橫笛的音色進行演奏。"
9,"樂器演奏<hex:02100103>用排簫的音色進行演奏。"
10,"樂器演奏<hex:02100103>用定音鼓的音色進行演奏。"
11,"樂器演奏<hex:02100103>用邦戈鼓的音色進行演奏。"
12,"樂器演奏<hex:02100103>用低音鼓的音色進行演奏。"
13,"樂器演奏<hex:02100103>用小軍鼓的音色進行演奏。"
14,"樂器演奏<hex:02100103>用鑔的音色進行演奏。"
15,"樂器演奏<hex:02100103>用小號的音色進行演奏。"
16,"樂器演奏<hex:02100103>用長號的音色進行演奏。"
17,"樂器演奏<hex:02100103>用大號的音色進行演奏。"
18,"樂器演奏<hex:02100103>用圓號的音色進行演奏。"
19,"樂器演奏<hex:02100103>用薩克斯管的音色進行演奏。"
20,"樂器演奏<hex:02100103>用小提琴的音色進行演奏。"
21,"樂器演奏<hex:02100103>用中提琴的音色進行演奏。"
22,"樂器演奏<hex:02100103>用大提琴的音色進行演奏。"
23,"樂器演奏<hex:02100103>用低音提琴的音色進行演奏。"
24,"楽器演奏<hex:02100103>エレキギター（ドライブの音色）で演奏する"
25,"楽器演奏<hex:02100103>エレキギター（クリーンの音色）で演奏する"
26,"楽器演奏<hex:02100103>エレキギター（ミュート奏法）で演奏する"
27,"楽器演奏<hex:02100103>エレキギター（パワーコード）で演奏する"
28,"楽器演奏<hex:02100103>エレキギター（特殊奏法）で演奏する"
