key,0,1
#,ContentTalkParam,Text
offset,4,0
int32,ContentTalkParam,str
0,4,""
1,1,"テスト用トークテキスト1"
2,2,"テスト用トークテキスト2"
3,3,"テスト用トークテキスト3"
4,1,"テスト用トークテキスト4"
5,2,"テスト用トークテキスト5"
20,4,"我是冒險者公會的人。<hex:02100103>負責管理「公會令」，發放單槍匹馬無法解決的特殊任務。"
21,4,"你是第一次挑戰公會令吧？<hex:02100103>此任務不可能靠一個人的力量達成，<hex:02100103>需要多人配合進行。"
22,4,"因為都是從周邊居民和各組織的委託中挑選出的特殊任務嘛。<hex:02100103>同時也是對你們冒險者團結力的考驗。"
23,4,"完成任務就可以獲取相應的報酬。<hex:02100103>第一次完成該任務時還會獲得額外的報酬。<hex:02100103>多多努力吧。"
24,4,"我是冒險者公會的人。<hex:02100103>負責管理「公會令」，發放單槍匹馬無法解決的特殊任務。"
25,4,"但是看來你的實力還不夠，<hex:02100103>還不能放心交給你這個任務。<hex:02100103>你再去練練功夫吧。"
26,4,"怎麼了？現在還在執行任務！<hex:02100103>難道你想要放棄戰鬥，落荒而逃嗎？"
27,4,"幹得漂亮。<hex:02100103>這是你這次任務的報酬。"
28,4,"幹得漂亮，真是身手了得！<hex:02100103>這回會多給你些報酬的。"
29,4,"喂喂，你的背包已經裝滿了啊。"
30,4,"正在發放任務的報酬。<hex:02100103>請等一下。"
31,4,"準備戰鬥！<hex:02100103>確認是否全員都到齊了！"
40,4,"我是冒險者公會的特務隊長。<hex:02100103>負責管理「公會令」，發放這附近的多人特殊任務。"
41,4,"你是第一次接受公會令吧？<hex:02100103>此任務不可能靠一個人的力量達成，<hex:02100103>是十分特殊的任務。"
42,4,"此類任務極其困難，<hex:02100103>沒有同伴幫忙，很難完成。"
43,4,"而相對的，完成任務後的報酬也十分可觀。<hex:02100103>特別是第一次完成該任務時，還會獲得額外的報酬。"
44,4,"我是冒險者公會的特務隊長。<hex:02100103>負責管理「公會令」，發放這附近的多人特殊任務。"
45,4,"但是看來你的實力還不夠，<hex:02100103>等你有了實力，能完成我的任務了，<hex:02100103>再來找我。"
46,4,"別放鬆，現在還在執行任務！<hex:02100103>難道你想要放棄任務，落荒而逃嗎？"
47,4,"幹得漂亮，和同伴的合作也很出色。<hex:02100103>這是你這次任務的報酬，快收下吧。"
48,4,"幹得漂亮，和同伴的合作也很出色。<hex:02100103>這次多給你些報酬，快收下吧。"
49,4,"做人可別太貪婪啊。<hex:02100103>瞧你那鼓鼓的背包，哪裡還裝得下報酬！"
