key,0
#,Name
offset,0
int32,str
0,""
1,""
2,""
3,""
4,""
5,"確認第一次定期報告"
6,"講述「妖靈王緹坦妮雅」的故事"
7,"講述「完美神無瑕靈君」的故事"
8,"講述「哈迪斯」的故事"
9,"講述「美神吉祥天女」的故事"
10,"講述「豪神須佐之男」的故事"
11,"講述「神龍」的故事"
12,"講述「夜神月讀」的故事"
13,"講述「白虎」的故事"
14,"講述「朱雀」的故事"
15,"講述「青龍」的故事"
16,"講述「龍神巴哈姆特」的故事"
17,"講述「究極神兵」的故事"
18,"講述「亞歷山大」的故事"
19,"確認第二次定期報告"
20,"紅寶石神兵"
21,"講述「瓦厲斯皇帝」的故事"
22,"啟動零式項目"
23,"啟動零式項目第2期"
24,"啟動零式項目第3期"
25,"講述「光之戰士」的故事"
26,"確認最終報告"
27,"綠寶石神兵"
28,"鑽石神兵"
29,"講述「佐迪亞克」的故事"
30,"講述「海德林」的故事"
31,"關於「邊獄」的證詞"
