key,0,1,2,3,4,5
#,PlayerLevel,PlaceName,Icon,Order,Name,Description
offset,12,14,8,16,0,4
int32,uint16,PlaceName,Image,uint16,str,str
0,0,0,0,1,"",""
1,60,2089,112145,1,"挑戰木人殲滅戰","身處通天巨石，遙望無際雲海。唯木人相伴，切磋武藝，陶冶心靈，只求功夫之路上更進一步。遵循古代武人的教誨，以木人為伍，日益精進！在時間限制內殲滅木人！"
2,60,2089,112146,2,"挑戰俾斯麥殲殛戰","為了應對再次召喚出的雲神，我們準備了木人作為假想戰的敵人。要想打倒獲得登峰造極之力的雲神，就在此努力修行吧！"
3,60,2089,112147,3,"挑戰亞歷山大機神城啟動之章","聽說你攻入了突然活動起來的「機械巨人」內部啊。我們也幫不上別的什麼忙，給你準備了木人，放手去練吧！"
4,60,2089,112148,4,"挑戰亞歷山大零式機神城啟動之章1","我經常聽異國的詩人講述你們的事跡，聽說這次又在亞歷山大機神城裡大顯身手了是嗎。麻煩務必以木人為對手來展現一下你們的實力！"
5,60,2089,112149,5,"挑戰亞歷山大零式機神城啟動之章2","我經常聽異國的詩人講述你們的事跡，聽說這次又在亞歷山大機神城裡大顯身手了是嗎。麻煩務必以木人為對手來展現一下你們的實力！"
6,60,2089,112150,6,"挑戰亞歷山大零式機神城啟動之章3","我經常聽異國的詩人講述你們的事跡，聽說這次又在亞歷山大機神城裡大顯身手了是嗎。麻煩務必以木人為對手來展現一下你們的實力！"
7,60,2089,112151,7,"挑戰亞歷山大零式機神城啟動之章4","我經常聽異國的詩人講述你們的事跡，聽說這次又在亞歷山大機神城裡大顯身手了是嗎。麻煩務必以木人為對手來展現一下你們的實力！"
8,60,2089,112152,8,"挑戰圓桌騎士幻想殲滅戰","你們在魔大陸的死鬥略有耳聞，聽說是和蠻神圓桌騎士之間展開了一場生死對決啊。請務必也讓我們見識見識你們的英勇身姿！"
9,60,2089,112153,9,"挑戰薩菲洛特殲殛戰","聽說你們已經開始著手討伐「三鬪神」，而且已經打倒了魔神薩菲洛特？很好，為了應對接下來的戰鬥，就努力在這裡訓練吧！"
10,60,2089,112154,10,"挑戰亞歷山大機神城律動之章","我們已經得知了亞歷山大再次啟動的事實。為了應對接下來更加嚴酷的戰鬥，我們引入了新的木人，請務必將其作為對手來測試自己的實力吧！"
11,60,2089,112155,11,"挑戰亞歷山大零式機神城律動之章1","我們聽了異國的詩人描寫你們在機神城左腕部「彌達斯」出色表現的詩歌以後，深受感動，於是就以此為藍本試作了新的木人，請務必跟它過過招！"
12,60,2089,112156,12,"挑戰亞歷山大零式機神城律動之章2","我們聽了異國的詩人描寫你們在機神城左腕部「彌達斯」出色表現的詩歌以後，深受感動，於是就以此為藍本試作了新的木人，請務必跟它過過招！"
13,60,2089,112157,13,"挑戰亞歷山大零式機神城律動之章3","我們聽了異國的詩人描寫你們在機神城左腕部「彌達斯」出色表現的詩歌以後，深受感動，於是就以此為藍本試作了新的木人，請務必跟它過過招！"
14,60,2089,112158,14,"挑戰亞歷山大零式機神城律動之章4","我們聽了異國的詩人描寫你們在機神城左腕部「彌達斯」出色表現的詩歌以後，深受感動，於是就以此為藍本試作了新的木人，請務必跟它過過招！"
15,60,2089,112159,15,"挑戰尼德霍格傳奇征龍戰","聽說在皇都伊修加德展開了與邪龍勢力的戰鬥，這個消息也傳遍了整個艾歐澤亞。拿出打倒邪龍時的那股勁，奮力擊打木人！"
16,60,2089,112205,16,"挑戰索菲婭殲殛戰","聽說你們成功討伐了女神索菲婭，但是戰鬥還遠沒有結束。接下來就請以強化後的木人為對手繼續進行訓練吧！"
17,60,2089,112206,17,"挑戰亞歷山大機神城天動之章","終於要前往亞歷山大的最終決戰之地了啊。我們能為你做的就只有準備更加堅固的木人讓你訓練……接下來看你的了！"
18,60,2089,112207,18,"挑戰亞歷山大零式機神城天動之章1","你們解決了亞歷山大這一大事件，太讓人佩服了！為了對你解除了龍堡內陸低地的危機一事表示感謝，我們製作了最強的木人給你。請務必一試身手！"
19,60,2089,112208,19,"挑戰亞歷山大零式機神城天動之章2","你們解決了亞歷山大這一大事件，太讓人佩服了！為了對你解除了龍堡內陸低地的危機一事表示感謝，我們製作了最強的木人給你。請務必一試身手！"
20,60,2089,112209,20,"挑戰亞歷山大零式機神城天動之章3","你們解決了亞歷山大這一大事件，太讓人佩服了！為了對你解除了龍堡內陸低地的危機一事表示感謝，我們製作了最強的木人給你。請務必一試身手！"
21,60,2089,112210,21,"挑戰亞歷山大零式機神城天動之章4","你們解決了亞歷山大這一大事件，太讓人佩服了！為了對你解除了龍堡內陸低地的危機一事表示感謝，我們製作了最強的木人給你。請務必一試身手！"
22,60,2089,112211,22,"挑戰祖爾宛殲殛戰","聽說你們成功討伐了鬼神祖爾宛，但是還遠遠不能安心。接下來就請以強化後的木人為對手繼續進行訓練，挑戰究極的強度吧！"
23,70,2628,112247,23,"挑戰神龍殲滅戰","阿拉米格的解放者啊，你們推翻了芝諾斯·耶·加爾烏斯的暴政，甚至消滅了神龍！為表感謝，我們製作了特別的木人給你。今後你還會越走越遠，就請以特製的木人為對手繼續進行訓練，來迎接更多的冒險吧！"
24,70,2628,112249,24,"挑戰吉祥天女殲殛戰","聽說打倒阿難陀族召喚出的美神吉祥天女的人又是你啊！但是，如果那個蠻神得到了登峰造極的力量又該如何呢？我們設想了這種最糟糕的事態，對木人進行了強化。請務必一試身手！"
25,70,2628,112248,25,"挑戰須佐之男殲殛戰","聽說你們在遙遠東方的海洋，也成功討伐了蠻神啊！但是，如果那個須佐之男得到了登峰造極的力量又該如何呢？我們設想了這種最緊急的事態，對木人進行了強化。請務必一試身手！"
26,70,2628,112250,26,"挑戰歐米茄德爾塔幻境","溢出詭異顏色液體的呵欠洞……聽說你們已經開始著手調查裡面的情況！為了能夠助你一臂之力，在加隆德煉鐵廠超高能力新人的幫助下，我進一步改良了木人。請你一定要試一試！"
27,70,2628,112251,27,"挑戰歐米茄零式德爾塔幻境1","聽說你為了解決歐米茄在呵欠洞引發的事件在德爾塔幻境拚死戰鬥，我們十分感謝！為了守護基拉巴尼亞的和平，在加隆德煉鐵廠的幫助下，我們改進了木人，請用它來一試身手吧！"
28,70,2628,112252,28,"挑戰歐米茄零式德爾塔幻境2","聽說你為了解決歐米茄在呵欠洞引發的事件在德爾塔幻境拚死戰鬥，我們十分感謝！為了守護基拉巴尼亞的和平，在加隆德煉鐵廠的幫助下，我們改進了木人，請用它來一試身手吧！"
29,70,2628,112253,29,"挑戰歐米茄零式德爾塔幻境3","聽說你為了解決歐米茄在呵欠洞引發的事件在德爾塔幻境拚死戰鬥，我們十分感謝！為了守護基拉巴尼亞的和平，在加隆德煉鐵廠的幫助下，我們改進了木人，請用它來一試身手吧！"
