key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Model,Scale,InactiveIdle[0],InactiveIdle[1],InactiveBattle,InactiveWandering,Behavior,Special,WanderingWait,Priority,Handover,Pet,Beckon,Poke,Slap,Enemy,Battle,Roulette,Icon,Order,IdleAnimation,,Cost,HP,,Skill{Angle},Skill{Cost},,,MinionRace
offset,0,8,4,9,10,11,12,13,16,32,33,34,35,36,37,38,39,18,46,46,46,46,46,20,46,46,22,24,46,40,41,26,42,28,43,44,30,45
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,ModelChara,byte,byte,byte,byte,byte,CompanionMove,byte,byte,uint16,bit&01,bit&02,bit&04,bit&08,bit&10,uint16,bit&20,bit&40,Image,uint16,bit&80,byte,byte,uint16,byte,uint16,byte,byte,uint16,MinionRace
0,"",0,"",0,0,1,0,0,0,100,0,0,0,0,0,0,8,0,False,False,False,False,False,0,False,True,0,0,False,0,10,100,0,0,20,0,0,0
1,"爆彈仔",0,"",0,0,1,0,0,427,100,30,0,0,0,2,0,8,1,True,False,True,False,False,0,False,True,4403,1001,True,0,10,390,5,360,30,1,600,2
2,"自走人偶001號",0,"",0,0,1,0,0,419,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4401,10001,True,0,10,410,37,0,20,1,620,3
3,"巧兒陸行鳥",0,"",0,0,1,0,0,423,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4402,1,True,0,15,410,23,30,20,1,601,1
4,"凱特西娃娃",0,"",0,0,1,0,0,430,100,30,0,0,0,1,0,8,201,False,True,False,False,False,0,False,True,4404,10006,True,0,20,400,25,360,20,1,625,3
5,"貝希摩斯寶寶",0,"",0,0,1,0,0,428,100,30,0,0,0,2,0,8,5,True,False,True,False,True,0,False,True,4405,1002,True,90,15,430,1,30,20,1,601,2
6,"碧海人偶003號",0,"",0,0,1,0,0,420,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4406,10002,True,0,10,365,14,30,20,1,607,3
7,"密林人偶003號",0,"",0,0,1,0,0,421,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4407,10003,True,0,10,280,25,360,20,1,625,3
8,"黃沙人偶003號",0,"",0,0,1,0,0,422,100,30,0,0,0,1,0,8,200,False,True,False,False,False,0,False,True,4408,10004,True,0,10,420,13,120,20,1,631,3
9,"黑渦團巧兒陸行鳥",0,"",0,0,1,0,0,424,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4409,2,True,0,10,315,19,30,30,1,601,1
10,"雙蛇黨巧兒陸行鳥",0,"",0,0,1,0,0,425,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4410,3,True,0,10,350,30,360,20,1,623,1
11,"恆輝隊巧兒陸行鳥",0,"",0,0,1,0,0,426,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4411,4,True,0,10,320,26,120,20,1,622,1
12,"魔界花骨朵",0,"",0,0,1,0,0,429,100,30,0,0,0,2,0,8,6,True,False,True,False,False,0,False,True,4412,1003,True,0,30,560,20,120,20,1,602,2
13,"小松鼠",0,"",0,0,1,0,0,431,100,30,0,0,0,2,0,8,7,True,False,False,False,True,0,False,True,4413,1004,True,0,10,400,14,120,20,1,622,1
14,"魔菇寶",0,"",0,0,1,0,0,432,100,30,0,0,0,2,0,8,8,True,False,False,True,False,0,False,True,4414,1005,True,0,10,395,4,120,20,1,602,2
15,"沙蚤蟲蟲",0,"",0,0,1,0,0,433,100,30,0,0,0,2,0,8,9,True,False,True,True,False,0,False,True,4415,1006,True,130,10,420,9,0,20,1,620,1
16,"青鳥",0,"",0,0,1,0,0,434,80,30,0,0,0,2,3,8,10,True,False,True,False,True,0,False,True,4416,5001,True,100,15,460,1,120,20,1,605,1
17,"幼羚羊",0,"",0,0,1,0,0,435,100,20,10,0,30,2,0,8,11,True,False,False,False,True,0,False,True,4417,1007,True,0,15,400,22,360,20,2,632,1
18,"小小魔精",0,"",0,0,1,0,0,436,100,20,10,0,0,2,0,8,12,True,False,False,False,True,0,False,True,4418,1008,True,0,20,380,1,120,20,2,608,2
19,"長須小豹",0,"",0,0,1,0,0,437,85,10,10,0,0,2,0,8,13,True,False,True,False,True,35,True,True,4452,1009,True,0,10,365,1,30,30,3,603,1
20,"長須小黑豹",0,"",0,0,1,0,0,438,75,10,10,0,0,2,0,8,13,True,False,True,False,True,35,True,True,4514,1010,True,0,15,380,31,0,30,3,620,1
21,"非正宗調查員",0,"",0,0,1,0,0,882,100,10,0,0,0,1,0,8,268,False,True,False,False,False,0,False,True,4515,9014,True,0,30,400,16,360,60,2,630,3
22,"砂礫小像兵",0,"",0,0,1,0,0,440,100,20,10,0,0,1,0,8,202,False,True,False,True,False,0,False,True,4419,1011,True,0,20,480,10,0,20,2,620,2
23,"冬貝利玩偶",0,"",0,0,1,0,0,441,100,30,0,0,0,1,0,8,203,False,True,False,True,False,0,True,True,4453,1012,True,0,20,470,16,360,60,1,630,2
24,"精金幼龜",0,"",0,0,1,0,0,442,100,10,10,0,0,2,0,8,18,True,False,False,False,True,0,False,True,4420,1013,True,0,20,480,14,120,20,2,622,2
25,"盜龍小寶",0,"",0,0,1,0,0,443,100,20,20,0,0,2,0,8,19,True,False,False,False,True,0,False,True,4421,1014,True,0,10,400,21,0,20,2,620,2
26,"小蝙蝠",0,"",0,0,1,0,0,444,100,30,0,0,0,2,0,8,20,True,False,False,False,False,0,False,True,4422,1015,True,0,10,420,20,120,20,1,631,2
27,"樹苗精",0,"",0,0,1,0,0,445,100,30,0,0,0,2,0,8,21,True,False,False,False,False,0,False,True,4423,1016,True,0,25,480,35,360,25,1,634,2
28,"灰塵兔",0,"",0,0,1,0,0,446,100,10,10,0,30,2,0,8,22,True,False,False,True,False,0,False,True,4424,1017,True,0,10,340,1,120,20,2,609,1
29,"無頭騎士模型",0,"",0,0,1,0,0,447,100,30,0,0,0,1,0,8,204,False,True,True,False,False,0,False,True,4425,1018,True,0,20,445,35,360,30,1,634,2
30,"巨蝌蚪",0,"",0,0,1,0,0,448,100,30,0,0,0,2,0,8,24,True,False,False,False,False,0,False,True,4426,1019,True,0,20,495,13,30,20,1,607,2
31,"胖墩跳蜥",0,"",0,0,1,0,0,449,100,20,10,0,0,2,0,8,25,True,False,False,False,True,0,False,True,4427,1020,True,0,15,460,23,30,20,2,606,2
32,"小牛犢",0,"",0,0,1,0,0,450,100,30,0,0,0,2,0,8,26,True,False,True,False,True,0,False,True,4428,1021,True,0,10,440,9,0,20,1,620,2
33,"幼小仙人掌",0,"",0,0,1,0,0,451,100,20,0,0,20,2,0,3,27,True,False,True,False,False,0,False,True,4429,1022,True,0,10,380,17,0,30,1,620,2
34,"小殼蟹",0,"",0,0,1,0,0,452,100,30,0,0,0,2,0,8,28,True,False,True,False,False,0,False,True,4430,1023,True,0,10,420,28,120,20,1,605,2
35,"小狼",0,"",0,0,1,0,0,453,100,10,10,0,0,2,0,8,29,True,False,True,True,True,19,True,True,4450,1024,True,0,15,385,11,360,20,3,617,1
36,"小亮眼",0,"",0,0,1,0,0,454,100,30,0,0,0,2,0,8,30,True,False,False,True,True,0,False,True,4431,1024,True,0,10,440,1,30,20,1,613,2
37,"渡渡鳥雛",0,"",0,0,1,0,0,455,100,20,10,0,30,2,0,8,31,True,False,False,False,True,0,False,True,4432,1025,True,0,25,500,39,0,20,2,620,2
38,"礦爬蟲蟲",0,"",0,0,1,0,0,456,100,20,10,0,0,2,0,8,32,True,False,False,False,False,0,False,True,4433,1026,True,0,15,400,12,360,20,2,626,2
39,"小山羊玩偶",0,"",0,0,1,0,0,457,85,30,0,0,0,1,0,8,205,False,True,True,False,False,0,False,True,4434,1027,True,0,10,340,29,360,20,1,623,1
40,"幼碧企鵝",0,"",0,0,1,0,0,458,100,20,10,0,0,2,0,8,34,True,False,True,False,True,0,False,True,4435,1028,True,0,30,510,41,0,20,2,620,1
41,"發芽小猩猩",0,"",0,0,1,0,0,459,100,10,0,0,0,2,0,8,35,True,False,False,False,False,0,False,True,4436,1029,True,0,20,410,37,0,20,1,620,2
42,"一口小果凍",0,"",0,0,1,0,0,460,100,30,0,0,0,2,0,8,36,True,False,False,True,False,0,False,True,4437,1030,True,0,10,400,21,0,20,1,620,2
43,"魔導先鋒追蹤型",0,"",0,0,1,0,0,461,100,30,0,0,0,1,0,8,221,False,True,False,True,False,0,False,True,4438,11003,True,0,10,340,25,360,20,1,625,2
44,"惡魔磚塊",0,"",0,0,1,0,0,462,100,10,5,0,30,2,0,8,38,True,False,False,True,False,0,False,True,4439,1031,True,0,15,390,38,120,20,2,609,2
45,"大頭小鼴鼠",0,"",0,0,1,0,0,463,100,20,10,0,0,2,0,8,39,True,False,False,False,True,0,False,True,4440,1032,True,0,25,430,9,0,20,2,620,1
46,"睡羊羊",0,"",0,0,1,0,0,464,100,30,0,0,0,2,0,10,40,True,False,True,False,True,0,False,True,4441,1033,True,0,20,680,10,0,20,1,620,1
47,"粘液膠",0,"",0,0,1,0,0,465,100,30,0,0,0,2,0,8,41,True,False,False,True,False,0,False,True,4451,1034,True,0,10,430,23,30,20,1,606,2
48,"小小蔓德拉",0,"",0,0,1,0,0,466,90,10,10,30,0,2,0,8,42,True,False,True,False,True,0,False,True,4442,1025,True,0,15,360,1,120,20,2,609,1
49,"哥布林玩偶",0,"",0,0,1,0,0,467,100,10,5,0,0,1,0,8,207,False,True,False,True,False,0,False,True,4443,7001,True,0,15,435,26,120,20,2,622,3
50,"妖精娃娃",0,"",0,0,1,0,0,468,100,30,0,0,0,1,0,8,208,False,True,True,False,False,0,False,True,4449,7002,True,0,15,490,13,30,20,1,621,3
51,"手指游標",0,"",0,0,1,0,0,469,100,20,0,0,0,1,0,8,0,False,False,False,False,False,0,False,True,4444,11501,True,0,15,400,14,30,20,2,621,4
52,"無敵號模型",0,"",0,0,1,0,0,470,100,30,0,0,0,1,0,8,0,False,False,False,False,False,0,False,True,4445,11001,True,0,25,465,11,360,20,2,617,4
53,"盧恩人玩偶",0,"",0,0,1,0,0,471,90,30,0,0,0,1,0,8,206,False,True,True,False,False,0,False,True,4446,6001,True,0,15,380,44,0,30,1,620,3
54,"巧兒黑陸行鳥",0,"",0,0,1,0,0,505,100,30,0,30,0,2,0,8,3,True,False,True,False,True,0,False,True,4448,5,True,0,25,450,35,360,25,1,634,1
55,"發條衛月",0,"",0,0,1,0,0,472,100,30,0,0,0,1,0,8,0,False,False,False,False,False,0,False,True,4447,11004,True,0,20,520,17,0,30,1,620,4
56,"奪心小魔",0,"",0,0,1,0,0,578,100,30,0,0,0,2,0,8,49,True,False,False,False,True,0,False,True,4461,1035,True,0,25,455,13,120,20,2,616,2
57,"不說話的蜂鳥",0,"",0,0,1,0,0,579,55,30,0,0,0,2,3,8,50,True,False,True,False,True,0,False,True,4462,1036,True,0,10,365,40,0,30,1,631,1
58,"蜥蜴人玩偶",0,"",0,0,1,0,0,580,100,30,0,0,0,1,0,8,213,False,True,False,True,False,0,False,True,4454,7003,True,0,10,465,12,360,20,2,626,3
59,"鳥人玩偶",0,"",0,0,1,0,0,581,100,30,0,30,0,1,0,8,214,False,True,False,True,False,0,False,True,4474,7005,True,0,10,390,10,0,20,1,620,3
60,"地靈娃娃",0,"",0,0,1,0,0,699,100,30,0,0,0,1,0,8,215,False,True,False,True,False,0,False,True,4463,7006,True,0,10,440,13,120,20,1,622,3
61,"魚人玩偶",0,"",0,0,1,0,0,700,100,30,0,0,0,1,0,8,216,False,True,False,True,False,0,False,True,4464,7007,True,0,15,435,28,120,20,1,605,3
62,"巨像丙",0,"",0,0,1,0,0,577,100,30,0,0,0,2,0,8,51,True,False,False,False,True,0,False,True,4455,13001,True,0,10,410,10,0,20,1,620,2
63,"香托託人偶",0,"",0,0,1,0,0,527,100,20,0,0,0,1,0,8,358,False,True,False,False,False,0,False,True,4456,12111,True,0,25,525,9,0,20,1,620,3
