key,0,1,2
#,Name,Description,Icon
offset,0,4,8
int32,str,str,Image
0,"","",0
1,"戰爭神·哈羅妮","哈羅妮是司掌冰河與戰爭的女神，同時也是伊修加德城邦的守護神。她有著冰屬性的神力，負責管理星一月的運行。
據傳說，哈羅妮是破壞神拉爾戈的女兒，也是大地神諾菲卡的敵人。
她經常被描繪為一位裝備著青銅巨盾的強大戰士。象徵符號則是三把並列的尖槍。",61601
2,"慈愛神·梅茵菲娜","梅茵菲娜是司掌雙月與慈愛的女神。她有著冰屬性的神力，負責管理靈一月的運行。
據傳說，梅茵菲娜是太陽神阿澤瑪同父異母的妹妹，也是山嶽神奧修昂的戀人。
她經常被描繪為一位手持平底鍋的侍女。象徵符號則是一輪滿月。",61602
3,"知識神·沙利亞克","沙利亞克是司掌河流與知識的男神，同時也是薩雷安城邦的守護神。他有著水屬性的神力，負責管理星二月的運行。
據傳說，沙利亞克是海洋神利姆萊茵的父親，也是工藝神比爾格的師傅。
他經常被描繪為一位手持白蠟木手杖的學者。象徵符號則是一個捲軸。",61603
4,"命運神·妮美雅","妮美雅是司掌行星與命運的女神。她有著水屬性的神力，負責管理靈二月的運行。
據傳說，妮美雅是光陰神阿爾基克的妹妹，也是破壞神拉爾戈的主人。
她經常被描繪為一位披戴著白色面紗的紡織人。象徵符號則是一架紡車。",61604
5,"海洋神·利姆萊茵","利姆萊茵是司掌海洋與航海的女神，同時也是利姆薩·羅敏薩城邦的守護神。她有著風屬性的神力，負責管理星三月的運行。
據傳說，利姆萊茵是河川神沙利亞克的女兒，也是大地神諾菲卡的姐姐。
她經常被描繪為一位手持長尖魚叉的健壯漁民。象徵符號則是一朵浪花。",61605
6,"放浪神·奧修昂","奧修昂是司掌山嶽及放浪的男神。他有著風屬性的神力，負責管理靈三月的運行。
據傳說，奧修昂是商貿神納爾札爾的結義兄弟，也是戰爭神哈羅妮的摯友。
他經常被描繪為一位手持紫杉木弓的悠閒獵人。象徵符號則是一把登山手杖。",61606
7,"工藝神·比爾格","比爾格是司掌建築及工藝的男神。他有著雷屬性的神力，負責管理星四月的運行。
據傳說，比爾格是河川神沙利亞克的弟子，也是戰爭神哈羅妮的兄長。
他經常被描繪為一位手持雙頭鐵錘的老實鐵匠。象徵符號則是一隻靈巧的手。",61607
8,"破壞神·拉爾戈","拉爾戈是司掌彗星與破壞的男神，同時也是阿拉米格城邦的守護神。他有著雷屬性的神力，負責管理靈四月的運行。
據傳說，拉爾戈是行星神妮美雅的僕人，也是工藝神比爾格和戰爭神哈羅妮的養父。
他經常被描繪為一位手持黃銅手杖的魔法師。象徵符號則是一顆流星。",61608
9,"審理神·阿澤瑪","阿澤瑪是司掌太陽與審理的女神。她有著火屬性的神力，負責管理星五月的運行。
據傳說，阿澤瑪是光陰神阿爾基克的女兒，也是慈愛神梅茵菲娜的姐姐。
她經常被描繪為一位手持黃金扇的貴婦。象徵符號則是一輪旭日。",61609
10,"商貿神·納爾札爾","納爾札爾是司掌地底與商貿的男神，同時也是烏爾達哈城邦的守護神。他有著火屬性的神力，負責管理靈五月的運行。
據傳說，納爾札爾有著名為納爾和札爾的兩張面孔，是一個雙子神。
他經常被描繪為一位手持天平的機敏商人。象徵符號則是貝殼貨幣。",61610
11,"豐饒神·諾菲卡","諾菲卡是司掌大地與豐饒的女神，同時也是格里達尼亞城邦的守護神。她有著土屬性的神力，負責管理星六月的運行。
據傳說，諾菲卡是太陽神阿澤瑪的女兒，也是海洋神利姆萊茵的妹妹。
她經常被描繪為一位手持鋼鐵鐮刀的開朗農民。象徵符號則是表示春天的綠葉。",61611
12,"光陰神·阿爾基克","阿爾基克是司掌重力與光陰的男神。他有著土屬性的神力，負責管理靈六月的運行。
據傳說，阿爾基克是行星神妮美雅的兄長，也是太陽神阿澤瑪與月亮神梅茵菲娜的父親。
他經常被描繪為一位手持秘銀大斧的帝王。象徵符號則是一個沙漏。",61612
