key,0,1,2,3,4,5
#,Name,Icon,Quest,AcceptTalk,FailTalk,
offset,0,4,8,12,16,20
int32,str,Image,Quest,DefaultTalk,DefaultTalk,bit&01
262144,"",0,0,0,0,False
262145,"",0,0,0,0,False
262151,"道具交易",0,0,0,0,True
262152,"拉拉菲爾服裝交易",0,0,0,0,True
262153,"魯加服裝交易",0,0,0,0,True
262154,"精靈服裝交易",0,0,0,0,True
262155,"人族服裝交易",0,0,0,0,True
262156,"貓魅服裝交易",0,0,0,0,True
262157,"",0,0,0,0,True
262158,"道具交易",0,0,0,0,True
262159,"拉拉菲爾服裝交易",0,0,0,0,True
262160,"魯加服裝交易",0,0,0,0,True
262161,"精靈服裝交易",0,0,0,0,True
262162,"人族服裝交易",0,0,0,0,True
262163,"貓魅服裝交易",0,0,0,0,True
262164,"道具交易",0,0,0,0,True
262165,"拉拉菲爾服裝交易",0,0,0,0,True
262166,"魯加服裝交易",0,0,0,0,True
262167,"精靈服裝交易",0,0,0,0,True
262168,"人族服裝交易",0,0,0,0,True
262169,"貓魅服裝交易",0,0,0,0,True
262170,"",0,0,0,0,True
262171,"",0,0,0,0,True
262172,"",0,0,0,0,True
262173,"",0,0,0,0,True
262174,"",0,0,0,0,True
262175,"",0,0,0,0,True
262176,"",0,0,0,0,True
262177,"",0,0,0,0,True
262178,"戰鬥飾品交易",0,0,0,0,True
262179,"作業飾品交易",0,0,0,0,True
262180,"",0,0,0,0,True
262181,"道具交易",0,0,0,0,True
262182,"",0,0,0,0,True
262183,"工具交易",0,0,0,0,True
262184,"武器交易",0,0,0,0,True
262185,"",0,0,0,0,True
262186,"戰鬥防具交易",0,0,0,0,True
262187,"作業防具交易",0,0,0,0,True
262188,"戰鬥飾品交易",0,0,0,0,True
262189,"作業飾品交易",0,0,0,0,True
262190,"",0,0,0,0,True
262191,"道具交易",0,0,0,0,True
262192,"",0,0,0,0,True
262193,"工具交易",0,0,0,0,True
262194,"武器交易",0,0,0,0,True
262195,"戰鬥防具交易",0,0,0,0,True
262196,"作業防具交易",0,0,0,0,True
262197,"",0,0,0,0,True
262198,"戰鬥飾品交易",0,0,0,0,True
262199,"作業飾品交易",0,0,0,0,True
262200,"",0,0,0,0,True
262201,"道具交易",0,0,0,0,True
262202,"",0,0,0,0,True
262203,"工具交易",0,0,0,0,True
262204,"武器交易",0,0,0,0,True
262205,"戰鬥防具交易",0,0,0,0,True
262206,"作業防具交易",0,0,0,0,True
262207,"",0,0,0,0,True
262208,"",0,0,0,0,True
262209,"武器交易",0,0,0,0,True
262210,"",0,0,0,0,True
262211,"",0,0,0,0,True
262212,"戰鬥飾品交易",0,0,0,0,True
262213,"戰鬥防具交易",0,0,0,0,True
262214,"作業防具交易",0,0,0,0,True
262215,"武器交易",0,0,0,0,True
262216,"工具交易",0,0,0,0,True
262217,"武器交易",0,0,0,0,True
262218,"戰鬥防具交易",0,0,0,0,True
262219,"作業防具交易",0,0,0,0,True
262221,"工具交易",0,0,0,0,True
262222,"武器交易",0,0,0,0,True
262223,"戰鬥防具交易",0,0,0,0,True
262224,"作業防具交易",0,0,0,0,True
262225,"工具交易",0,0,0,0,True
262226,"武器交易",0,0,0,0,True
262227,"戰鬥防具交易",0,0,0,0,True
262228,"作業防具交易",0,0,0,0,True
262229,"工具交易",0,0,0,0,True
262230,"武器交易",0,0,0,0,True
262231,"戰鬥防具交易",0,0,0,0,True
262232,"作業防具交易",0,0,0,0,True
262233,"工具交易",0,0,0,0,True
262234,"武器交易",0,0,0,0,True
262235,"戰鬥防具交易",0,0,0,0,True
262236,"作業防具交易",0,0,0,0,True
262237,"工具交易",0,0,0,0,True
262238,"武器交易",0,0,0,0,True
262239,"戰鬥防具交易",0,0,0,0,True
262240,"作業防具交易",0,0,0,0,True
262241,"工具交易",0,0,0,0,True
262242,"武器交易",0,0,0,0,True
262243,"戰鬥防具交易",0,0,0,0,True
262244,"作業防具交易",0,0,0,0,True
262245,"工具交易",0,0,0,0,True
262246,"武器交易",0,0,0,0,True
262247,"戰鬥防具交易",0,0,0,0,True
262248,"作業防具交易",0,0,0,0,True
262249,"工具交易",0,0,0,0,True
262250,"武器交易",0,0,0,0,True
262251,"戰鬥防具交易",0,0,0,0,True
262252,"作業防具交易",0,0,0,0,True
262253,"工具交易",0,0,0,0,True
262254,"武器交易",0,0,0,0,True
262255,"戰鬥防具交易",0,0,0,0,True
262256,"作業防具交易",0,0,0,0,True
262257,"",0,0,0,0,True
262258,"工具交易",0,0,0,0,True
262259,"武器交易",0,0,0,0,True
262260,"戰鬥防具交易",0,0,0,0,True
262261,"作業防具交易",0,0,0,0,True
262262,"工具交易",0,0,0,0,True
262263,"武器交易",0,0,0,0,True
262264,"戰鬥防具交易",0,0,0,0,True
262265,"作業防具交易",0,0,0,0,True
262266,"工具交易",0,0,0,0,True
262267,"武器交易",0,0,0,0,True
262268,"戰鬥防具交易",0,0,0,0,True
262269,"作業防具交易",0,0,0,0,True
262270,"武器交易",0,0,0,0,True
262271,"工具交易",0,0,0,0,True
262272,"戰鬥防具交易",0,0,0,0,True
262273,"作業防具交易",0,0,0,0,True
262274,"工具交易",0,0,0,0,True
262275,"武器交易",0,0,0,0,True
262276,"戰鬥防具交易",0,0,0,0,True
262277,"作業防具交易",0,0,0,0,True
262278,"武器交易",0,0,0,0,True
262279,"工具交易",0,0,0,0,True
262280,"戰鬥防具交易",0,0,0,0,True
262281,"作業防具交易",0,0,0,0,True
262282,"工具交易",0,0,0,0,True
262283,"武器交易",0,0,0,0,True
262284,"戰鬥防具交易",0,0,0,0,True
262285,"作業防具交易",0,0,0,0,True
262286,"武器交易",0,0,0,0,True
262287,"工具交易",0,0,0,0,True
262288,"戰鬥防具交易",0,0,0,0,True
262289,"作業防具交易",0,0,0,0,True
262290,"工具交易",0,0,0,0,True
262291,"武器交易",0,0,0,0,True
262292,"戰鬥防具交易",0,0,0,0,True
262293,"作業防具交易",0,0,0,0,True
262294,"工具交易",0,0,0,0,True
262295,"武器交易",0,0,0,0,True
262296,"戰鬥防具交易",0,0,0,0,True
262297,"作業防具交易",0,0,0,0,True
262298,"工具交易",0,0,0,0,True
262299,"武器交易",0,0,0,0,True
262300,"戰鬥防具交易",0,0,0,0,True
262301,"作業防具交易",0,0,0,0,True
262302,"工具交易",0,0,0,0,True
262303,"武器交易",0,0,0,0,True
262304,"戰鬥防具交易",0,0,0,0,True
262305,"作業防具交易",0,0,0,0,True
262306,"工具交易",0,0,0,0,True
262307,"武器交易",0,0,0,0,True
262308,"戰鬥防具交易",0,0,0,0,True
262309,"作業防具交易",0,0,0,0,True
262310,"工具交易",0,0,0,0,True
262311,"武器交易",0,0,0,0,True
262312,"戰鬥防具交易",0,0,0,0,True
262313,"作業防具交易",0,0,0,0,True
262314,"工具交易",0,0,0,0,True
262315,"武器交易",0,0,0,0,True
262316,"戰鬥防具交易",0,0,0,0,True
262317,"作業防具交易",0,0,0,0,True
262318,"工具交易",0,0,0,0,True
262319,"武器交易",0,0,0,0,True
262320,"戰鬥防具交易",0,0,0,0,True
262321,"作業防具交易",0,0,0,0,True
262322,"工具交易",0,0,0,0,True
262323,"武器交易",0,0,0,0,True
262324,"戰鬥防具交易",0,0,0,0,True
262325,"作業防具交易",0,0,0,0,True
262326,"工具交易",0,0,0,0,True
262327,"武器交易",0,0,0,0,True
262328,"戰鬥防具交易",0,0,0,0,True
262329,"作業防具交易",0,0,0,0,True
262330,"工具交易",0,0,0,0,True
262331,"武器交易",0,0,0,0,True
262332,"戰鬥防具交易",0,0,0,0,True
262333,"作業防具交易",0,0,0,0,True
262334,"工具交易",0,0,0,0,True
262335,"武器交易",0,0,0,0,True
262336,"戰鬥防具交易",0,0,0,0,True
262337,"作業防具交易",0,0,0,0,True
262338,"工具交易",0,0,0,0,True
262339,"武器交易",0,0,0,0,True
262340,"戰鬥防具交易",0,0,0,0,True
262341,"作業防具交易",0,0,0,0,True
262342,"工具交易",0,0,0,0,True
262343,"武器交易",0,0,0,0,True
262344,"戰鬥防具交易",0,0,0,0,True
262345,"作業防具交易",0,0,0,0,True
262346,"武器交易",0,0,0,0,True
262347,"工具交易",0,0,0,0,True
262348,"戰鬥防具交易",0,0,0,0,True
262349,"作業防具交易",0,0,0,0,True
262350,"",0,0,0,0,True
262351,"工具交易",0,0,0,0,True
262352,"武器交易",0,0,0,0,True
262353,"戰鬥防具交易",0,0,0,0,True
262354,"作業防具交易",0,0,0,0,True
262355,"工具交易",0,0,0,0,True
262356,"武器交易",0,0,0,0,True
262357,"戰鬥防具交易",0,0,0,0,True
262358,"作業防具交易",0,0,0,0,True
262359,"工具交易",0,0,0,0,True
262360,"武器交易",0,0,0,0,True
262361,"戰鬥防具交易",0,0,0,0,True
262362,"作業防具交易",0,0,0,0,True
262363,"工具交易",0,0,0,0,True
262364,"武器交易",0,0,0,0,True
262365,"戰鬥防具交易",0,0,0,0,True
262366,"作業防具交易",0,0,0,0,True
262367,"工具交易",0,0,0,0,True
262368,"武器交易",0,0,0,0,True
262369,"戰鬥防具交易",0,0,0,0,True
262370,"作業防具交易",0,0,0,0,True
262371,"工具交易",0,0,0,0,True
262372,"工具交易",0,0,0,0,True
262373,"武器交易",0,0,0,0,True
262374,"戰鬥防具交易",0,0,0,0,True
262375,"作業防具交易",0,0,0,0,True
262376,"",0,0,0,0,True
262377,"",0,0,0,0,True
262378,"工具交易",0,0,0,0,True
262379,"武器交易",0,0,0,0,True
262380,"戰鬥防具交易",0,0,0,0,True
262381,"作業防具交易",0,0,0,0,True
262382,"工具交易",0,0,0,0,True
262383,"武器交易",0,0,0,0,True
262384,"戰鬥防具交易",0,0,0,0,True
262385,"作業防具交易",0,0,0,0,True
262386,"工具交易",0,0,0,0,True
262387,"武器交易",0,0,0,0,True
262388,"戰鬥防具交易",0,0,0,0,True
262389,"作業防具交易",0,0,0,0,True
262390,"工具交易",0,0,0,0,True
262391,"工具交易",0,0,0,0,True
262392,"工具交易",0,0,0,0,True
262393,"武器交易",0,0,0,0,True
262394,"戰鬥防具交易",0,0,0,0,True
262395,"作業防具交易",0,0,0,0,True
262396,"工具交易",0,0,0,0,True
262397,"武器交易",0,0,0,0,True
262398,"戰鬥防具交易",0,0,0,0,True
262399,"作業防具交易",0,0,0,0,True
262400,"工具交易",0,0,0,0,True
262401,"武器交易",0,0,0,0,True
262402,"戰鬥防具交易",0,0,0,0,True
262403,"作業防具交易",0,0,0,0,True
262404,"",0,0,0,0,True
262405,"",0,0,0,0,True
262406,"",0,0,0,0,True
262407,"",0,0,0,0,True
262408,"武器交易",0,0,0,0,True
262409,"戰鬥防具交易",0,0,0,0,True
262410,"武器交易",0,0,0,0,True
262411,"戰鬥防具交易",0,0,0,0,True
262412,"武器交易",0,0,0,0,True
262413,"戰鬥防具交易",0,0,0,0,True
262414,"",0,0,0,0,True
262415,"",0,0,0,0,True
262419,"道具交易（室外建材、庭具、樂譜）",0,0,0,0,True
262420,"道具交易（室外建材、庭具、樂譜）",0,0,0,0,True
262421,"道具交易（室外建材、庭具、樂譜）",0,0,0,0,True
262422,"道具交易",0,0,0,0,True
262423,"",0,0,0,0,True
262424,"",0,0,0,0,True
262425,"",0,0,0,0,True
262426,"道具交易（中立）",0,0,0,0,True
262427,"道具交易（承認）",0,0,0,0,True
262428,"道具交易（友好）",0,0,0,0,True
262429,"道具交易（信賴）",0,0,0,0,True
262430,"道具交易（中立）",0,0,0,0,True
262431,"道具交易（承認）",0,0,0,0,True
