key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,,Name,Icon,Action,StackSize,,Quest,CastTime,CastTimeline,Timeline
offset,0,12,4,13,14,15,16,17,18,8,24,26,28,29,20,30,31,32
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,bit&01,str,Image,Action,byte,byte,Quest,byte,EventItemCastTimeline,byte
2000000,"",0,"",0,0,1,0,0,False,"",0,0,1,1,0,0,0,0
2000021,"奧妮莉的髮飾",0,"オニィーの髪飾り",0,0,1,0,0,False,"",22623,1,1,1,0,3,0,0
2000024,"嶄新的工具箱",0,"真新しい工具箱",0,0,1,0,0,False,"",21002,1,1,1,65563,3,0,0
2000028,"阿澤瑪玫瑰",0,"アーゼマローズ",0,0,1,0,0,False,"",25919,1,1,1,65562,3,0,0
2000029,"小型金具",0,"小さな金具",0,0,1,0,0,False,"",21007,1,1,1,65568,3,0,0
2000038,"烈火糖果",0,"ファイアキャンディ",0,0,1,0,0,False,"",22624,1,1,1,66704,3,0,0
2000039,"疾風糖果",0,"ウィンドキャンディ",0,0,1,0,0,False,"",22625,1,1,1,66704,3,0,0
2000040,"厚土糖果",0,"アースキャンディ",0,0,1,0,0,False,"",22626,1,1,1,66704,3,0,0
2000041,"爆彈怪的拇指",0,"ボムの親指",0,0,1,0,0,False,"",30351,1,5,1,66705,3,0,0
2000042,"守護天燈籠",0,"守護天節のランタン",0,0,1,0,0,False,"",24153,1,1,1,66706,5,0,0
2000043,"爆彈怪的拇指",0,"ボムの親指",0,0,1,0,0,False,"",30351,1,1,1,66706,3,0,0
2000044,"搗蛋鬼煙花棒",0,"いたずらスパークラー",0,0,1,0,0,False,"",22647,1,1,1,66706,3,0,0
2000045,"烈火糖果",0,"ファイアキャンディ",0,0,1,0,0,False,"",22624,1,1,1,66700,3,0,0
2000046,"疾風糖果",0,"ウィンドキャンディ",0,0,1,0,0,False,"",22625,1,1,1,66700,3,0,0
2000047,"厚土糖果",0,"アースキャンディ",0,0,1,0,0,False,"",22626,1,1,1,66700,3,0,0
2000048,"爆彈怪的拇指",0,"ボムの親指",0,0,1,0,0,False,"",30351,1,5,1,66701,3,0,0
2000049,"守護天燈籠",0,"守護天節のランタン",0,0,1,0,0,False,"",24153,1,1,1,66702,5,0,0
2000050,"爆彈怪的拇指",0,"ボムの親指",0,0,1,0,0,False,"",30351,1,1,1,66702,3,0,0
2000051,"搗蛋鬼煙花棒",0,"いたずらスパークラー",0,0,1,0,0,False,"",22646,1,1,1,66702,3,0,0
2000052,"烈火糖果",0,"ファイアキャンディ",0,0,1,0,0,False,"",22624,1,1,1,66708,3,0,0
2000053,"疾風糖果",0,"ウィンドキャンディ",0,0,1,0,0,False,"",22625,1,1,1,66708,3,0,0
2000054,"厚土糖果",0,"アースキャンディ",0,0,1,0,0,False,"",22626,1,1,1,66708,3,0,0
2000055,"爆彈怪的拇指",0,"ボムの親指",0,0,1,0,0,False,"",30351,1,5,1,66709,3,0,0
2000056,"守護天燈籠",0,"守護天節のランタン",0,0,1,0,0,False,"",24153,1,1,1,66710,5,0,0
2000057,"爆彈怪的拇指",0,"ボムの親指",0,0,1,0,0,False,"",30351,1,1,1,66710,3,0,0
2000058,"搗蛋鬼煙花棒",0,"いたずらスパークラー",0,0,1,0,0,False,"",22645,1,1,1,66710,3,0,0
2000061,"琥珀色藥水",0,"琥珀色の薬液",0,0,1,0,0,False,"",20661,1,3,1,65663,3,0,0
2000062,"沙蚤的卵囊",0,"チゴーの卵袋",0,0,1,0,0,False,"",22623,1,8,1,65664,3,0,0
2000071,"變色龍蛋",0,"アノールの卵",0,0,1,0,0,False,"",25251,1,4,1,65661,3,0,0
2000074,"手工鰻魚派",0,"お手製のイールパイ",0,0,1,0,0,False,"",24305,1,1,1,65621,3,0,0
2000075,"達梅塔的豆子袋",0,"アメッタの豆袋",0,0,1,0,0,False,"",22623,1,6,1,65639,3,0,0
2000076,"給艾美利亞的信",0,"エメリア宛ての手紙",0,0,1,0,0,False,"",26151,1,1,1,65635,3,0,0
2000077,"小口花的嫩葉",0,"コチューの若葉",0,0,1,0,0,False,"",25201,1,4,1,65634,0,0,0
2000079,"約恩娜的密封信",0,"フ・ミバスの封書",0,0,1,0,0,False,"",25918,0,1,1,65560,0,0,0
2000080,"糧草袋",0,"糧秣袋",0,0,1,0,0,False,"",22623,0,1,1,65570,0,0,0
2000081,"骨製槍尖",0,"骨製の穂先",0,0,1,0,0,False,"",22303,0,1,1,65574,0,0,0
2000082,"蜂蠟保革油",0,"蜜蝋の保革油",0,0,1,0,0,False,"",22636,0,1,1,65574,0,0,0
2000083,"強韌的粗草繩",0,"丈夫な荒縄",0,0,1,0,0,False,"",26103,0,1,1,65574,0,0,0
2000084,"阿澤瑪玫瑰果",0,"アーゼマローズの実",0,0,1,0,0,False,"",25302,1,6,1,65577,0,0,0
2000085,"新鮮的基薩爾野菜",0,"新鮮なギサールの野菜",0,0,1,0,0,False,"",25218,1,1,1,66698,3,0,0
2000092,"小紅花的種子",0,"ローズレットの種子",0,0,1,0,0,False,"",22623,1,6,1,65692,3,0,0
2000093,"新鮮的蛛蠍網",0,"新鮮なダイアマイトウェブ",0,0,1,0,0,False,"",21664,1,6,1,65693,3,0,0
2000094,"蜂毒酒",0,"蜂漬けの毒酒",0,0,1,0,0,False,"",24403,1,1,1,65694,3,0,0
2000095,"小火種",0,"小さな火種",0,0,1,0,0,False,"",30352,1,1,1,65695,3,0,0
2000096,"蕾亞的蛋",0,"レイアの卵",0,0,1,0,0,False,"",25252,1,1,1,65697,3,0,0
2000097,"凱夏的密封信",0,"ケーシャの封書",0,0,1,0,0,False,"",25918,1,1,1,0,3,0,0
2000098,"緋紅色蟲油",0,"緋色の蟲油",0,0,1,0,0,False,"",20641,1,6,1,65567,0,0,0
2000099,"黃蜂屍骸",0,"蜂の死骸",0,0,1,0,0,False,"",22623,1,4,1,65694,3,0,0
2000100,"走味的麥酒",0,"気の抜けたエール",0,0,1,0,0,False,"",20643,1,3,1,65696,3,0,0
2000101,"阿澤瑪玫瑰精油",0,"アーゼマローズの香油",0,0,1,0,0,False,"",20663,1,2,1,65556,3,0,0
