key,0,1,2,3
#,Name,ENPC,,
offset,0,4,8,9
int32,str,ENpcResident,byte,byte
0,"",0,0,0
1,"",0,0,0
2,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,8
3,"預計在下次工程中完成第一次整備區域的設施建設。<hex:02100103>工程的開始時間請前往重建公告板進行確認！",1032493,3,8
4,"辛苦了，第一次的整備計劃宣告完成。<hex:02100103>為了接下來的第二次整備計劃，請前往物資窗口交納資材！",1032493,3,8
5,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,8
6,"預計在下次工程中完成第二次整備區域的設施建設。<hex:02100103>工程的開始時間請前往重建公告板進行確認！",1032493,3,8
7,"辛苦了，第二次的整備計劃宣告完成。<hex:02100103>為了接下來的第三次整備計劃，請前往物資窗口交納資材！",1032493,3,8
8,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,8
9,"預計在下次工程中完成第三次整備區域的設施建設。<hex:02100103>工程的開始時間請前往重建公告板進行確認！",1032493,3,8
10,"「無名眾人廣場」的整備計劃全工程就此竣工！<hex:02100103>各位辛苦了！",1032493,8,8
11,"",0,0,0
12,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,10
13,"辛苦了，十字鎬大街第一次的整備計劃宣告完成。<hex:02100103>為了接下來的第二次整備計劃，請前往物資窗口交納資材！",1032493,3,10
14,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,10
15,"辛苦了，十字鎬大街第二次的整備計劃宣告完成。<hex:02100103>為了接下來的第三次整備計劃，請前往物資窗口交納資材！",1032493,3,10
16,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,10
17,"預計在下次工程中完成十字鎬大街第三次的整備計劃。<hex:02100103>工程的開始時間請前往重建公告板進行確認！",1032493,3,10
18,"辛苦了，十字鎬大街第三次的整備計劃宣告完成。<hex:02100103>為了接下來的第四次整備計劃，請前往物資窗口交納資材！",1032493,3,10
19,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,10
20,"預計在下次工程中完成十字鎬大街第四次的整備計劃。<hex:02100103>工程的開始時間請前往重建公告板進行確認！",1032493,3,10
21,"十字鎬大街的整備計劃全工程就此竣工！各位辛苦了！<hex:02100103>為了接下來的聖羅埃勒廣場整備計劃，請前往物資窗口交納資材！",1032493,8,10
22,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,10
23,"辛苦了，聖羅埃勒廣場第一次的整備計劃宣告完成。<hex:02100103>為了接下來的第二次整備計劃，請前往物資窗口交納資材！",1032493,3,10
24,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,10
25,"辛苦了，聖羅埃勒廣場第二次的整備計劃宣告完成。<hex:02100103>為了接下來的第三次整備計劃，請前往物資窗口交納資材！",1032493,3,10
26,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,10
27,"預計在下次工程中完成聖羅埃勒廣場第三次的整備計劃。<hex:02100103>工程的開始時間請前往重建公告板進行確認！",1032493,3,10
28,"辛苦了，聖羅埃勒廣場第三次的整備計劃宣告完成。<hex:02100103>為了接下來的第四次整備計劃，請前往物資窗口交納資材！",1032493,3,10
29,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,10
30,"聖羅埃勒廣場的整備計劃全工程就此竣工！各位辛苦了！<hex:02100103>為了接下來的新巢居住區整備計劃，請前往物資窗口交納資材！",1032493,8,10
31,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,10
32,"辛苦了，新巢居住區第一次的整備計劃宣告完成。<hex:02100103>為了接下來的第二次整備計劃，請前往物資窗口交納資材！",1032493,3,10
33,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,10
34,"辛苦了，新巢居住區第二次的整備計劃宣告完成。<hex:02100103>為了接下來的第三次整備計劃，請前往物資窗口交納資材！",1032493,3,10
35,"資材已準備充足，計劃開啟聯合重建工程。<hex:02100103>請利用重建公告板，確認工程的開始時間。",0,0,10
