key,0,1,2,3,4,5,6,7,8,9
#,Masculine,Feminine,Hp,Mp,STR,VIT,DEX,INT,MND,PIE
offset,0,4,8,9,10,11,12,13,14,15
int32,str,str,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte
0,"","",0,0,0,0,0,0,0,0
1,"中原之民","中原之民",0,0,2,0,-1,3,-1,0
2,"高地之民","高地之民",0,0,3,2,0,-2,0,0
3,"森林之民","森林之民",0,0,0,-1,3,2,-1,0
4,"黑影之民","黑影之民",0,0,0,-1,0,3,1,0
5,"平原之民","平原之民",0,0,-1,-1,3,2,0,0
6,"沙漠之民","沙漠之民",0,0,-1,-2,1,2,3,0
7,"逐日之民","逐日之民",0,0,2,0,3,-1,-1,0
8,"護月之民","護月之民",0,0,-1,-2,2,1,3,0
9,"北洋之民","北洋之民",0,0,2,3,-1,-2,1,0
10,"紅焰之民","紅焰之民",0,0,0,3,-2,0,2,0
11,"晨曦之民","晨曦之民",0,0,-1,-1,2,0,3,0
12,"暮暉之民","暮暉之民",0,0,3,2,0,0,-2,0
13,"掠日之民","掠日之民",0,0,3,3,-3,-3,3,0
14,"迷蹤之民","迷蹤之民",0,0,3,3,-3,-3,3,0
15,"密林之民","密林之民",0,0,0,-2,3,1,1,0
16,"山林之民","山林之民",0,0,-1,-1,0,3,2,0
