key,0,1
#,,
offset,4,0
int32,byte,str
0,0,""
1,7,"釣到水母或螃蟹"
2,5,"釣到★★★以上的魚"
3,3,"●★★★★を3匹釣る。"
4,34,"釣到咬鉤強度低（！）的魚"
5,18,"釣到咬鉤強度高（！！）的魚"
6,6,"釣到咬鉤強度非常高（！！！）的魚"
7,5,"釣到鯊魚"
8,5,"釣到★★★以上的魚"
9,3,"●★★★★を3匹釣る。"
10,34,"釣到咬鉤強度低（！）的魚"
11,11,"釣到咬鉤強度高（！！）的魚"
12,13,"釣到咬鉤強度非常高（！！！）的魚"
13,13,"釣到螃蟹"
14,5,"釣到★★★以上的魚"
15,3,"●★★★★を3匹釣る。"
16,31,"釣到咬鉤強度低（！）的魚"
17,27,"釣到咬鉤強度高（！！）的魚"
18,5,"釣到咬鉤強度非常高（！！！）的魚"
19,13,"釣到魨類"
20,5,"釣到★★★以上的魚"
21,3,"●★★★★を3匹釣る。"
22,39,"釣到咬鉤強度低（！）的魚"
23,18,"釣到咬鉤強度高（！！）的魚"
24,8,"釣到咬鉤強度非常高（！！！）的魚"
