key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5],Talk[6],Talk[7]
offset,11,23,35,47,59,8,20,32,44,56,0,12,24,36,48,9,21,33,45,57,10,22,34,46,58,4,16,28,40,52,60,64,68,72,76,80,84,88
int32,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,int32,int32,int32,int32,int32,str,str,str,str,str,str,str,str
0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
1,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,"向您問好，冒險者。要接受公會理符任務嗎？","很抱歉，我還不能提供公會理符任務給您這樣初出茅廬的冒險者。","您所接任務意義重大，願大地母神見證您的成功。","予備","報酬やで！","まだどのグランドカンパニーにも所属してない","グランドカンパニーのランクが一定以上に達していない","賞金首を討伐した"
2,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"這裡是公會理符受領處。<hex:02100103>一定可以為您找到一份合適的工作。","這裡是公會理符受領處。<hex:02100103>冒險者公會的成員們都會到這裡來領取公會理符任務。<hex:02100103><hex:02170103>如果您能在冒險者公會中得到<hex:02093EE802FF15>茶·莫克莉小姐<hex:FF10>貢特朗先生<hex:FF13>尤斯塔斯先生<hex:03>的許可，<hex:02100103>我就可以給您介紹任務了。","那麼這個任務就拜託您了。","這裡是公會理符受領處。<hex:02100103>冒險者公會的成員們都會到這裡來領取公會理符任務。<hex:02100103><hex:02170103>如果您能在冒險者公會中得到<hex:02093EE802FF15>茶·莫克莉小姐<hex:FF10>貢特朗先生<hex:FF13>尤斯塔斯先生<hex:03>的許可，<hex:02100103>我就可以給您介紹任務了。","您平安完成任務了嗎？<hex:02100103>看來把這個任務拜託給您是正確的選擇。<hex:02100103>這是準備好的報酬，請收下吧。","0","0","您竟然討伐了懸賞魔物？<hex:02100103>真是讓人吃驚……<hex:02100103>當然，您可以獲得追加的報酬。"
3,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"這裡發行的公會理符任務中，<hex:02100103>也有很多是來自附近居民的委託。<hex:02100103>如果您有興趣，請幫幫他們吧。","您在找工作嗎？<hex:02100103>不過我們只對有一定經驗的冒險者發行公會理符任務。<hex:02100103>如果是<hex:020921E802FF0A>巴德龍<hex:FF07>繆恩<hex:FF0A>莫莫蒂<hex:03>老闆介紹來的我們也可以放心了。","那麼就拜託您了。<hex:02100103>希望看到您早日凱旋。","您在找工作嗎？<hex:02100103>不過我們只對有一定經驗的冒險者發行公會理符任務。<hex:02100103>等您的實力可以匹敵這附近的魔物後再來吧。","是來報告任務完成的嗎？<hex:02100103>真是辛苦您了。這是給您的報酬。<hex:02100103>這樣一來委託人應該也滿足了吧。","0","0","哎呀，您竟然打倒了懸賞魔物啊？<hex:02100103>那請您收下追加的報酬。"
4,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"你看上去頭腦和身體素質都不錯嘛。<hex:02100103>對公會理符任務有興趣嗎？<hex:02100103>我可以給你介紹些不錯的工作。","我是冒險者公會的一員。<hex:02100103>主要負責為冒險者們發行實力相符的公會理符任務。<hex:02100103><hex:02170103>如果你能取得<hex:020921E802FF0A>巴德龍<hex:FF07>繆恩<hex:FF0A>莫莫蒂<hex:03>老闆的認可的話，<hex:02100103>到時候我可以介紹一些好工作給你。","好好幹吧，等你回來！","我是冒險者公會的一員。<hex:02100103>主要負責為冒險者們發行實力相符的公會理符任務。<hex:02100103><hex:02170103>如果你有能力收拾這附近的魔物時，<hex:02100103>到時候我可以介紹一些好工作給你。","已經回來了嗎？你辦事可真快。<hex:02100103>能夠這麼迅速地完成任務真是幫了我們大忙了。<hex:02100103>以後要是還有機會還要拜託你嘍。","0","0","什麼？你幹掉了通緝中的懸賞魔物？<hex:02100103>真是做得太棒了。<hex:02100103>那就收下追加的報酬吧。"
5,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"這裡為冒險者們發行公會理符任務。<hex:02100103>任務內容基本是黑衣森林各地發來的委託工作。","這裡是發行公會理符的窗口，會為冒險者介紹各種工作。<hex:02100103>你看上去是一個新人冒險者啊。<hex:02100103><hex:02170103>如果你有<hex:020921E802FF0A>巴德龍<hex:FF07>繆恩<hex:FF0A>莫莫蒂<hex:03>老闆的介紹，<hex:02100103>那麼我們會很樂意交給你一些工作的。","0","這裡是發行公會理符的窗口，會為冒險者介紹各種工作。<hex:02100103>你看上去是一個新人冒險者啊。<hex:02100103><hex:02170103>如果你有<hex:020921E802FF0A>巴德龍<hex:FF07>繆恩<hex:FF0A>莫莫蒂<hex:03>老闆的介紹，<hex:02100103>那麼我們會很樂意交給你一些工作的。","你是來領取任務報酬的？<hex:02100103>竟然能完成這個任務……幹得漂亮。<hex:02100103>這裡是這次的報酬，請收下吧。","0","0","你竟然打倒了通緝中的懸賞魔物啊，<hex:02100103>真是太了不起了。<hex:02100103>當然，你獲得的報酬也會有所追加。"
6,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"這裡為冒險者們發行公會理符，<hex:02100103>任務內容基本是利姆薩·羅敏薩市民及周圍居民的一些委託。","你要是想找工作的話那就來對了。<hex:02100103>這裡會為有實力的冒險者發行公會理符。<hex:02100103><hex:02170103>不過得有冒險者公會的負責人<hex:020921E802FF0A>巴德龍<hex:FF07>繆恩<hex:FF0A>莫莫蒂<hex:03>老闆的介紹才行，<hex:02100103>這樣就可以為你提供各種各樣的工作了。","很好，祝你好運！","你要是想找工作的話那就來對了。<hex:02100103>這裡會為有實力的冒險者發行公會理符。<hex:02100103><hex:02170103>不過你起碼得有本事對付這附近的魔物才行。<hex:02100103>這樣的話就可以為你提供各種各樣的工作了。","你是來報告公會理符完成情況的吧？<hex:02100103>辛苦你了，請收下這份報酬。<hex:02100103>我想委託人也一定會很滿意的。","0","0","是公會理符的完成報告啊……<hex:02100103>什麼？你竟然討伐了通緝中的懸賞魔物？<hex:02100103>好厲害啊，那報酬也會給你加成的。"
