key,0
#,Name
offset,0
int32,str
0,""
1,""
2,"50～60級"
3,"61～70級"
4,"71～80級"
5,"50～60級"
6,"61～70級"
7,"71～80級"
8,"50～60級"
9,"61～70級"
10,"71～80級"
11,"50～60級"
12,"61～70級"
13,"71～80級"
14,"50～60級"
15,"61～70級"
16,"71～80級"
17,"50～60級"
18,"61～70級"
19,"71～80級"
20,"50～60級"
21,"61～70級"
22,"71～80級"
23,"50～60級"
24,"61～70級"
25,"71～80級"
26,"50～60級"
27,"61～70級"
28,"71～80級"
29,"50～60級"
30,"61～70級"
31,"71～80級"
32,"50～60級"
33,"61～70級"
34,"71～80級"
35,"交換改良用材料（刻木匠）"
36,"交換改良用材料（鍛鐵匠）"
37,"交換改良用材料（鑄甲匠）"
38,"交換改良用材料（雕金匠）"
39,"交換改良用材料（製革匠）"
40,"交換改良用材料（裁衣匠）"
41,"交換改良用材料（鍊金術士）"
42,"交換改良用材料（烹調師）"
43,"交換最終改良用材料（刻木匠）"
44,"交換最終改良用材料（鍛鐵匠）"
45,"交換最終改良用材料（鑄甲匠）"
46,"交換最終改良用材料（雕金匠）"
47,"交換最終改良用材料（製革匠）"
48,"交換最終改良用材料（裁衣匠）"
49,"交換最終改良用材料（鍊金術士）"
50,"交換最終改良用材料（烹調師）"
51,"交換最終改良用材料（採礦工）"
52,"交換最終改良用材料（園藝工）"
53,"交換最終改良用材料（捕魚人）"
54,"交換素材（刻木匠）"
55,"交換素材（鍛鐵匠）"
56,"交換素材（鑄甲匠）"
57,"交換素材（雕金匠）"
58,"交換素材（製革匠）"
59,"交換素材（裁衣匠）"
60,"交換素材（鍊金術士）"
61,"交換素材（烹調師）"
62,""
63,""
64,""
65,""
66,""
67,""
68,""
69,""
70,""
