key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CMNDEFHOUSINGKICK_00206_TALK00206_000_001","我們這裡會回收在廢棄或拆除土地、房屋、個人房間之後，<hex:02100103>遺留下的資產，並暫時代為保管。"
1,"TEXT_CMNDEFHOUSINGKICK_00206_TALK00206_000_002","資產的保管設有回收期限，還望你能多加註意。"
2,"TEXT_CMNDEFHOUSINGKICK_00206_SYSTEM_001_000","沒有正在被保管的資產，無法回收。"
3,"TEXT_CMNDEFHOUSINGKICK_00206_SYSTEM_001_001","沒有部隊許可權，無法回收。<hex:02100103>回收資產需要擁有「購買或廢棄土地」的許可權。"
4,"TEXT_CMNDEFHOUSINGKICK_00206_SYSTEM_002_000","因其他玩家正在使用，故無法進行該操作。<hex:02100103>請稍後再試。"
5,"TEXT_CMNDEFHOUSINGKICK_00206_SYSTEM_002_001","沒有部隊許可權，或沒有正在被保管的資產，無法回收。"
6,"TEXT_CMNDEFHOUSINGKICK_00206_SYSTEM_003_000","金幣已經被回收，請選擇其他項目。"
7,"TEXT_CMNDEFHOUSINGKICK_00206_SYSTEM_003_001","若回收金幣後所持金幣超過上限，則無法回收。<hex:02100103>請減少所持金幣數量後再試。"
8,"TEXT_CMNDEFHOUSINGKICK_00206_TALK00206_000_000","我們這裡會回收在廢棄或拆除土地、房屋、個人房間之後，<hex:02100103>遺留下的資產，並暫時代為保管。"
9,"TEXT_CMNDEFHOUSINGKICK_00206_Q1_000_000","要回收哪裡的資產？"
10,"TEXT_CMNDEFHOUSINGKICK_00206_A1_000_001","個人房屋"
11,"TEXT_CMNDEFHOUSINGKICK_00206_A1_000_002","部隊房屋"
12,"TEXT_CMNDEFHOUSINGKICK_00206_A1_000_003","個人房間"
13,"TEXT_CMNDEFHOUSINGKICK_00206_A1_000_004","取消"
14,"TEXT_CMNDEFHOUSINGKICK_00206_Q2_000_000","要回收哪種資產？"
15,"TEXT_CMNDEFHOUSINGKICK_00206_A2_000_001","回收金幣（<hex:022206E802FF022C03>金幣）"
16,"TEXT_CMNDEFHOUSINGKICK_00206_A2_000_002","回收道具"
17,"TEXT_CMNDEFHOUSINGKICK_00206_A2_000_003","取消"
18,"TEXT_CMNDEFHOUSINGKICK_00206_Q3_000_000","回收<hex:022206E802FF022C03>金幣。回收的金幣將無法返回保管處，確定要回收嗎？"
19,"TEXT_CMNDEFHOUSINGKICK_00206_A3_000_001","是"
20,"TEXT_CMNDEFHOUSINGKICK_00206_A3_000_002","否"
21,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_000_000","（未使用/預計刪除）"
22,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_000_001","（未使用/預計刪除）"
23,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_000_002","（未使用/預計刪除）"
24,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_001_000","（未使用/預計刪除）"
25,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_001_001","（未使用/預計刪除）"
26,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_002_000","（未使用/預計刪除）"
27,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_002_001","（未使用/預計刪除）"
28,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_003_000","（未使用/預計刪除）"
29,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_003_001","（未使用/預計刪除）"
30,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_Q1_000","（未使用/預計刪除）"
31,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_A1_001","（未使用/預計刪除）"
32,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_A1_002","（未使用/預計刪除）"
33,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_A1_003","（未使用/預計刪除）"
34,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_A1_004","（未使用/預計刪除）"
35,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_Q2_000","（未使用/預計刪除）"
36,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_A2_001","（未使用/預計刪除）"
37,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_A2_002","（未使用/預計刪除）"
38,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_A2_003","（未使用/預計刪除）"
39,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_Q3_000","（未使用/預計刪除）"
40,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_A3_001","（未使用/預計刪除）"
41,"TEXT_CMNDEFHOUSINGKICK_00206_TALK_A3_002","（未使用/預計刪除）"
