key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_LUCKZI204_03563_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整<hex:0249020103><hex:0248020103><hex:02100103>圖姆拉村的佐爾圖想要傳達釀酒時不可或缺的事情。"
1,"TEXT_LUCKZI204_03563_SEQ_01",""
2,"TEXT_LUCKZI204_03563_SEQ_02",""
3,"TEXT_LUCKZI204_03563_SEQ_03",""
4,"TEXT_LUCKZI204_03563_SEQ_04",""
5,"TEXT_LUCKZI204_03563_SEQ_05",""
6,"TEXT_LUCKZI204_03563_SEQ_06",""
7,"TEXT_LUCKZI204_03563_SEQ_07",""
8,"TEXT_LUCKZI204_03563_SEQ_08",""
9,"TEXT_LUCKZI204_03563_SEQ_09",""
10,"TEXT_LUCKZI204_03563_SEQ_10",""
11,"TEXT_LUCKZI204_03563_SEQ_11",""
12,"TEXT_LUCKZI204_03563_SEQ_12",""
13,"TEXT_LUCKZI204_03563_SEQ_13",""
14,"TEXT_LUCKZI204_03563_SEQ_14",""
15,"TEXT_LUCKZI204_03563_SEQ_15",""
16,"TEXT_LUCKZI204_03563_SEQ_16",""
17,"TEXT_LUCKZI204_03563_SEQ_17",""
18,"TEXT_LUCKZI204_03563_SEQ_18",""
19,"TEXT_LUCKZI204_03563_SEQ_19",""
20,"TEXT_LUCKZI204_03563_SEQ_20",""
21,"TEXT_LUCKZI204_03563_SEQ_21",""
22,"TEXT_LUCKZI204_03563_SEQ_22",""
23,"TEXT_LUCKZI204_03563_SEQ_23",""
24,"TEXT_LUCKZI204_03563_TODO_00","向居民打聽消息"
25,"TEXT_LUCKZI204_03563_TODO_01","和佐爾圖對話"
26,"TEXT_LUCKZI204_03563_TODO_02",""
27,"TEXT_LUCKZI204_03563_TODO_03",""
28,"TEXT_LUCKZI204_03563_TODO_04",""
29,"TEXT_LUCKZI204_03563_TODO_05",""
30,"TEXT_LUCKZI204_03563_TODO_06",""
31,"TEXT_LUCKZI204_03563_TODO_07",""
32,"TEXT_LUCKZI204_03563_TODO_08",""
33,"TEXT_LUCKZI204_03563_TODO_09",""
34,"TEXT_LUCKZI204_03563_TODO_10",""
35,"TEXT_LUCKZI204_03563_TODO_11",""
36,"TEXT_LUCKZI204_03563_TODO_12",""
37,"TEXT_LUCKZI204_03563_TODO_13",""
38,"TEXT_LUCKZI204_03563_TODO_14",""
39,"TEXT_LUCKZI204_03563_TODO_15",""
40,"TEXT_LUCKZI204_03563_TODO_16",""
41,"TEXT_LUCKZI204_03563_TODO_17",""
42,"TEXT_LUCKZI204_03563_TODO_18",""
43,"TEXT_LUCKZI204_03563_TODO_19",""
44,"TEXT_LUCKZI204_03563_TODO_20",""
45,"TEXT_LUCKZI204_03563_TODO_21",""
46,"TEXT_LUCKZI204_03563_TODO_22",""
47,"TEXT_LUCKZI204_03563_TODO_23",""
48,"TEXT_LUCKZI204_03563_XORUTT_000_000","在你的幫助下，酒的封裝也完成了，下酒菜也準備好了啦哩！<hex:02100103>只是釀造要花費很長時間，<hex:02100103>我們也不能讓你乾等好幾個月啦哩。"
49,"TEXT_LUCKZI204_03563_XORUTT_000_001","所以，我要教你一些矮人族很棒的酒文化，<hex:02100103>這是最後給你上一堂課啦哩！"
50,"TEXT_LUCKZI204_03563_XORUTT_000_002","在這個地區，喝麥酒的時候，<hex:02100103>除了酒和下酒菜之外……還有一件重要的事啦哩！<hex:02100103>那就是……乾杯之歌啦哩！"
51,"TEXT_LUCKZI204_03563_XORUTT_000_003","你既然來了，就向圖姆拉村的各位<hex:02100103>打聽一下乾杯之歌是怎樣的一首歌吧啦哩！"
52,"TEXT_LUCKZI204_03563_XORUTT_000_004","你既然來了，就向圖姆拉村的各位<hex:02100103>打聽一下乾杯之歌是怎樣的一首歌吧啦哩！"
53,"TEXT_LUCKZI204_03563_GRATT_000_010","你問乾杯之歌？<hex:02100103>別在意那麼細節的事！<hex:02100103>只要最後說「啦哩吼！」就行了！"
54,"TEXT_LUCKZI204_03563_BOMOTT_000_011","乾杯之歌啊，那是非常愉快的歌呢！<hex:02100103>特別是大家一起「啦哩吼！」的時候最為開心呢！"
55,"TEXT_LUCKZI204_03563_MAGUTT_000_012","那是我從小時候就一直聽的歌了。<hex:02100103>一個人唱起來，大家就都會跟著唱起來了！<hex:02100103>最後大家一起舉杯喊出「啦哩吼！」那感覺真是太棒了！"
56,"TEXT_LUCKZI204_03563_GRATT_000_013","你問乾杯之歌？<hex:02100103>別在意那麼細節的事！<hex:02100103>只要最後說「啦哩吼！」就行了！"
57,"TEXT_LUCKZI204_03563_BOMOTT_000_014","乾杯之歌啊，那是非常愉快的歌呢！<hex:02100103>特別是大家一起「啦哩吼！」的時候最為開心呢！"
58,"TEXT_LUCKZI204_03563_MAGUTT_000_015","那是我從小時候就一直聽的歌了。<hex:02100103>一個人唱起來，大家就都會跟著唱起來了！<hex:02100103>最後大家一起舉杯喊出「啦哩吼！」那感覺真是太棒了！"
59,"TEXT_LUCKZI204_03563_XORUTT_000_020","誒？！<hex:02100103>大家除了啦哩吼以外什麼都沒告訴你啦哩？"
60,"TEXT_LUCKZI204_03563_XORUTT_000_021","也沒什麼，大多數情況大家都是醉醺醺隨便唱的，<hex:02100103>所以原本歌詞是什麼，誰也不知道呢啦哩！<hex:02100103>哈哈哈啦哩！"
61,"TEXT_LUCKZI204_03563_XORUTT_000_022","……但是，只要喊出「啦哩吼！」並一起乾杯，<hex:02100103>不管多麼難受的事情都能拋到腦後啦哩。"
62,"TEXT_LUCKZI204_03563_XORUTT_000_023","你要是在慘烈的戰鬥中受到了挫折，<hex:02100103>就來圖姆拉村吧。<hex:02100103>端起矮人麥酒和拿起下酒菜，高唱「啦哩吼！」吧啦哩！"
