key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_COMARMGCARMYINTERVIEW_00345_001_GRD","（★未使用／削除予定★）"
1,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_000","<hex:022903EB0203>閣下，告訴您一個好消息！<hex:02100103>有想要加入我們分隊的志願兵出現了！"
2,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_001","請您確認<hex:02280CFF05>EObj<hex:F61EA0710103>，<hex:02100103>決定是否要將其納入分隊吧！"
3,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_002","當然，我認為把那名志願兵叫來，<hex:02100103>見見本人後再做決定也是不錯的辦法！"
4,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_010","分隊員的總數已經達到4名了啊！<hex:02100103>這樣一來，我們分隊就組建成功了。"
5,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_011","此外，分隊最多可以容納8名分隊員，<hex:02100103>請您牢記這一點。"
6,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_012","那麼接下來就馬上派遣分隊執行任務吧！<hex:02100103>俗話說熟能生巧，首先就從簡單的分隊任務開始<hex:02100103>試著派遣分隊吧。"
7,"TEXT_COMARMGCARMYINTERVIEW_00345_SYSTEM_000_013","派遣你的分隊執行分隊任務吧。<hex:02100103>和<hex:020824E1E93501FF1C><hex:020818E3E93580FF10>分隊副漩士<hex:FF01><hex:03><hex:FF01><hex:03><hex:020824E1E93601FF1C><hex:020818E3E93680FF10>分隊副牙士<hex:FF01><hex:03><hex:FF01><hex:03><hex:020824E1E93701FF1C><hex:020818E3E93780FF10>分隊副耀士<hex:FF01><hex:03><hex:FF01><hex:03>對話，選擇「確認分隊任務」，<hex:02100103>即可派遣分隊員們執行任務。"
8,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_013","（★未使用／削除予定★）"
9,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_014","（★未使用／削除予定★）"
10,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_000_015","（★未使用／削除予定★）"
11,"TEXT_COMARMGCARMYINTERVIEW_00345_001_LIM","（★未使用／削除予定★）"
12,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_100_000","<hex:022903EB0203>閣下，告訴您一個好消息！<hex:02100103>有想要加入我們分隊的志願兵出現了！"
13,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_100_001","請您確認<hex:02280CFF05>EObj<hex:F61EA0720103>，<hex:02100103>決定是否要將其納入分隊吧！"
14,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_100_002","當然，我認為把那名志願兵叫來，<hex:02100103>見見本人後再做決定也是不錯的辦法！"
15,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_100_010","分隊員的總數已經達到4名了啊！<hex:02100103>這樣一來，我們分隊就組建成功了。"
16,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_100_011","此外，分隊最多可以容納8名分隊員，<hex:02100103>請您牢記這一點。"
17,"TEXT_COMARMGCARMYINTERVIEW_00345_PLATOONINSTRUCTOR_100_012","那麼接下來就馬上派遣分隊執行任務吧！<hex:02100103>俗話說熟能生巧，首先就從簡單的分隊任務開始<hex:02100103>試著派遣分隊吧。"
